"title","wikibase_item","Distributor"
"پروانه سیاه (فیلم ۲۰۱۷)","Q29033313","distributor = | studio = "
"هفت دلاور","Q19069","distributor = [[یونایتد آرتیستس]] "
"ترساننده ۲","Q101002778","distributor = [[بلادی دیسگاستینگ]] "
"معصومیت (مجموعه تلویزیونی)","Q105998583","distributor = | network = [[فاکس]] "
"سرزمین خانه‌به‌دوش‌ها","Q61740820","distributor = [[سرچلایت پیکچرز]]<ref name=""BOM""/> "
"جک رایان (مجموعه تلویزیونی)","Q27062250","distributor = [[آمازون استودیوز]] "
"بی‌پناه (فیلم ۲۰۱۶)","Q18703022","distributor = لاینزگیت پرمیئر "
"چیزهای محرمانه","Q59722","distributor = تارتان فیلمز "
"به‌سوی ستارگان","Q38774788","distributor = [[فاکس قرن بیستم]] "
"مردی که بی‌نهایت را می‌دانست","Q20992425","distributor = [[برادران وارنر]]{{سخ}}(بریتانیا){{سخ}}[[آی‌اف‌سی فیلمز]]<ref name=Brennan20161014>{{cite web "
"زورو (مجموعه تلویزیونی ۱۹۵۷)","Q1061843","distributor = دیزنی-ای‌بی‌سی دامستیک تله‌ویژن "
"رالف اینترنت را خراب می‌کند","Q25167044","distributor = [[استودیو سینمایی والت دیزنی]] "
"نارکوها: مکزیک","Q55657276","distributor = نتفلیکس "
"سرخوشی (فیلم ۲۰۱۷)","Q27049580","distributor = {{plainlist"
"به خاطر چند دلار بیشتر","Q153677","distributor = [[یونایتد آرتیستس]] "
"سوزاندن (فیلم ۲۰۱۸)","Q27964354","distributor = سی‌جی‌وی آرتهاوس "
"گلپری (مجموعه تلویزیونی)","Q60998434","distributor = | network = [[شو تی‌وی]] "
"دختر چاق","Q59503","distributor = [[کانال +]] "
"دختران بدجنس","Q631103","distributor = [[پارامونت پیکچرز]] "
"مادرهای بد","Q22074948","distributor = اس تی ایکس اینترتیمنت "
"ونوس در پوست خز (فیلم ۱۹۶۹)","Q3430416","distributor = American International Pictures "
"کتاب جنگل (فیلم ۲۰۱۶)","Q16857406","distributor = [[استودیو سینمایی والت دیزنی]] "
"نابودی (فیلم)","Q25136228","distributor = [[پارامونت پیکچرز]] "
"غارتگر (فیلم ۲۰۱۸)","Q25461297","distributor = [[فاکس قرن بیستم]] "
"کلئوپاترا (فیلم ۱۹۶۳)","Q4430","distributor = [[فاکس قرن بیستم]] "
"دستم را رها نکن","Q60339418","distributor = | budget = "
"راکی ۲","Q478366","distributor = [[یونایتد آرتیستس]]"
"آرئی‌سی (فیلم)","Q754474","distributor = فیلمکس اینترنشنال "
"پله آخر","Q5945351","distributor = [[هدایت فیلم]] "
"رومئو و ژولیت (فیلم ۲۰۱۳)","Q1758089","distributor = [[آیکون پروداکشنز]]{{سخ}}[[Entertainment Film Distributors]] {{small"
"جزیره (مجموعه تلویزیونی کره جنوبی)","Q108735969","distributor = {{ubl"
"کیکا (فیلم)","Q1472478","distributor = | released = {{Film date"
"مصاحبه با خون‌آشام (فیلم)","Q318910","distributor = [[برادران وارنر]] "
"قضیب‌لیسی (فیلم ۱۹۶۳)","Q885485","distributor = | released = ۱۹۶۳ "
"زن جوان آتیه‌دار","Q62595383","distributor = {{فهرست ساده"
"آیا تو انسانی؟","Q30287045","distributor = [[سامانه سخن‌پراکنی کره"
"پوکر فیس (مجموعه تلویزیونی)","Q111944613","distributor = [[توزیع محتوای جهانی پارامونت]] "
"بوعلی سینا (مجموعه تلویزیونی)","Q5962709","distributor = | channel = <!-- or network --> "
"آب‌های کم‌عمق","Q21450484","distributor = [[کلمبیا پیکچرز]] "
"شیطان تمام‌وقت (فیلم)","Q61927376","distributor = [[نتفلیکس]] "
"۴۷ متر پایین","Q23709802","distributor = [[استودیو انترتینمنت]] "
"معجزه‌هایی از بهشت (فیلم)","Q20814649","distributor = [[کلمبیا پیکچرز]] "
"۱۰ دقیقه تمام شد","Q67679547","distributor = [[لاینزگیت]] "
"ایندیانا جونز و معبد مرگ","Q179215","distributor = پارامونت پیکچرز "
"کیهان: ادیسه‌ای فضازمانی","Q5174583","distributor = | channel = [[شبکه رسانه‌ای فاکس"
"استخوان‌ها و همه","Q107027721","distributor = {{فهرست ساده"
"یک جن‌زدگی در ونیز","Q114589148","distributor = [[استودیوهای قرن بیستم]] "
"مردی با قلم‌موی زرین","Q3820014","distributor = <!-- or: "
"هزار و نهصد و هشتاد و چهار (فیلم ۱۹۸۴)","Q208424","distributor = [[فاکس قرن بیستم]] <small>(UK)</small>{{سخ}}[[Atlantic Releasing]] <small>(US)</small> "
"امتیاز (فیلم ۱۹۷۴)","Q7435316","distributor = | released = ۱۹۷۴ "
"موجود (فیلم ۱۹۸۲)","Q210756","distributor = [[یونیورسال استودیوز]] "
"روزگار آدلین","Q16242543","distributor = [[لاینزگیت فیلمز]] "
"قابل","Q24238536","distributor = Filmkraft Productions Pvt. Ltd{{سخ}}B4U Motion Pictures "
"وانکا (فیلم)","Q108456719","distributor = [[برادران وارنر پیکچرز]] "
"توکیو انحطاط","Q1476266","distributor = | released = ۶ ژانویه ۱۹۹۲ "
"کری (فیلم ۲۰۱۳)","Q45384","distributor = [[مترو گلدوین مایر]]{{سخ}}[[اسکرین جمز]] "
"امیرکبیر (مجموعه تلویزیونی)","Q16045287","distributor = | channel = شبکه ۱ "
"جوخه (فیلم ۱۹۸۶)","Q190643","distributor = [[اوریون پیکچرز]] "
"فانوس دریایی (فیلم ۲۰۱۹)","Q55402791","distributor = {{فهرست ساده"
"طلوع ماه در رودخانه","Q99964768","distributor = [[سامانه سخن‌پراکنی کره"
"جواب منفی (فیلم)","Q107176162","distributor = [[یونیورسال پیکچرز]] "
"ضیافت بابت","Q797679","distributor = | released = {{Film date"
"آواتار ۳","Q29580929","distributor = [[استودیوهای قرن بیستم]] "
"جداسازی (مجموعه تلویزیونی)","Q101096725","distributor = [[اپل]] "
"مرد سیندرلایی","Q647546","distributor = '''آمریکای شمالی'''{{سخ}}[[یونیورسال استودیوز]]{{سخ}}'''بین‌المللی'''{{سخ}}[[تاچ‌استون پیکچرز]]{{سخ}}[[میراماکس فیلمز]] "
"تد ۲","Q17713411","distributor = [[یونیورسال استودیوز]] "
"خانه‌ای که جک ساخت","Q27920121","distributor = {{Plainlist"
"ترس (فیلم ۱۹۹۶)","Q1070275","distributor = [[یونیورسال استودیوز]] "
"هدف سخت","Q574993","distributor = یونیورسال پیکچرز{{سخ}}یونیورسال هوم اینترتیمنت "
"مدیر خوب","Q28021254","distributor = [[سامانه سخن‌پراکنی کره"
"پینوکیو (مجموعه تلویزیونی ۲۰۱۴)","Q17401474","distributor = | channel = [[اس‌بی‌اس]] "
"جنگجوی صلح‌طلب","Q603545","distributor = [[لاینزگیت]] "
"شاهزاده صد روزه من","Q50059386","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"پرشیاز گات تلنت","Q84040490","distributor = [[فریمنتل (شرکت)"
"مارلو (فیلم ۲۰۲۲)","Q109510942","distributor = | released = {{Film date"
"عقل و احساس (فیلم)","Q643263","distributor = [[گروه سینمای سونی پیکچرز]] "
"فروشگاه ست بیول","Q91091667","distributor = [[سیستم پخش سئول]]{{سخ}}[[لایف‌تایم]] "
"اهریمن درون دوشیزه جونز","Q248051","distributor = | released = {{Film date"
"پسرانگی","Q4103201","distributor = [[آی‌اف‌سی فیلمز]] "
"بدترین آدم دنیا","Q107089587","distributor = | released = {{film date"
"ترس (فیلم ۲۰۲۳)","Q105821128","distributor = هیدن امپایر ریلیزینگ "
"۸۸ دقیقه","Q274400","distributor = [[آوی لرنر]] "
"زن شگفت‌انگیز ۱۹۸۴","Q33408623","distributor = [[برادران وارنر پیکچرز]]<!-- HBO Max is the platform where Warner Bros. Pictures released the film, not the distributor itself --> "
"ادیسه کره‌ای","Q41948223","distributor = {{فنگ"
"سه بیلبورد خارج از ابینگ، میزوری","Q24053277","distributor = [[فاکس سرچلایت پیکچرز]] "
"ازدواج ممنوع","Q112563437","distributor = [[بنگاه پخش مونهوا"
"جرئت یا حقیقت (فیلم ۲۰۱۲)","Q2823688","distributor = سینی-بریتانیا "
"سنگینی طاقت‌فرسای استعداد فراوان","Q87220566","distributor = [[لاینزگیت فیلمز]] "
"عشق، مرگ و ربات‌ها","Q61740435","distributor = [[نتفلیکس]] "
"زنده (فیلم ۲۰۲۰)","Q85740993","distributor = [[لوته اینترتینمنت]] "
"تابستان گذشته (فیلم ۲۰۲۳)","Q117600026","distributor = پیرامید دستریبیوشن "
"تتریس (فیلم)","Q104044312","distributor = [[اپل تی‌وی پلاس]] "
"بهترین فاحشه‌خانه کوچک در تگزاس (فیلم)","Q2298633","distributor = [[یونیورسال استودیوز]] "
"سنسو ۴۵","Q3955375","distributor = ایگل پیکچرز "
"ثبت جوانی","Q97202879","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"سرگذشت نارنیا (مجموعه‌فیلم)","Q1211909","distributor = [[والت دیسنی]] (۲۰۰۵ تا ۲۰۰۸){{سخ}}[[فاکس قرن بیستم]] (۲۰۱۰ تا کنون) "
"آن در گرین گیبلز: دنباله","Q2322509","distributor = | network = "
"ویوا (فیلم ۲۰۰۷)","Q7937436","distributor = کالت اپیکس "
"تمام پول‌های جهان","Q30321629","distributor = {{فهرست ساده"
"خرس کوکائینی","Q105840301","distributor = [[یونیورسال پیکچرز]] "
"دادگاه شیکاگو هفت","Q72397975","distributor = [[پارامونت پیکچرز]] (آمریکا) "
"بوسه بر دهان","Q6417254","distributor = فیلم ۱ "
"مدفون","Q16782","distributor = [[لاینزگیت]] "
"سولو: داستانی از جنگ ستارگان","Q27038847","distributor = [[استودیو سینمایی والت دیزنی]] "
"رمپیج (فیلم ۲۰۱۸)","Q29470162","distributor = [[برادران وارنر]] "
"ملکوت (مجموعه تلویزیونی)","Q5925029","distributor = <!-- توزیع‌کننده --> "
"مینوتور (فیلم)","Q2037176","distributor = [[لاینزگیت]] "
"رجب ایودیک ۷","Q115634487","distributor = [[دیزنی پلاس]] "
"لگد (فیلم ۲۰۱۴)","Q6404200","distributor = [[UTV Motion Pictures]] "
"شکست‌ناپذیر (فیلم ۲۰۱۴)","Q15146380","distributor = [[یونیورسال استودیوز]] "
"زنان زندانی بند ۷","Q3706826","distributor = | released = {{film date"
"سبک عجیب زندگی","Q112977215","distributor = | released = {{تاریخ انتشار فیلم"
"جنگ برای سیاره میمون‌ها","Q19938437","distributor = [[فاکس قرن بیستم]] "
"لاک‌پشت‌های نینجا (فیلم ۱۹۹۰)","Q58439","distributor = [[نیو لاین سینما]] "
"هاکای (مجموعه تلویزیونی ۲۰۲۱)","Q65980843","distributor = [[Disney Platform Distribution"
"دوباره شروع کن (فیلم)","Q2935739","distributor = [[واینستین کمپانی]] "
"پوکاهانتس (فیلم ۱۹۹۵)","Q218894","distributor = [[استودیو سینمایی والت دیزنی]] "
"فرزند آب‌وهوا","Q59692464","distributor = [[توهو]] "
"پینوکیوی گیرمو دل تورو","Q73895818","distributor = [[نتفلیکس]] "
"پرستار خوب","Q106590131","distributor = [[نتفلیکس]] "
"بامبلبی (فیلم)","Q34220038","distributor = [[پارامونت پیکچرز]] "
"تولد دوباره در خانواده پولدار","Q110244733","distributor = [[جی‌تی‌بی‌سی]] "
"فاجعه (فیلم)","Q17062774","distributor = [[یونیورسال استودیوز]] "
"آخرین مأموریت فرشته: عشق","Q63067137","distributor = [[سیستم خبرپراکنی کره]] "
"همه می‌دانند","Q37816911","distributor = [[فوکس فیچرز]] "
"پاسگاه (فیلم ۲۰۲۰)","Q63927168","distributor = | studio = "
"عمارت مردگان زنده","Q945185","distributor = | released = {{Film date"
"آنت (فیلم ۲۰۲۱)","Q29168508","distributor = {{Plainlist"
"بازی بخت","Q107356050","distributor = | budget = "
"کوچه کابوس (فیلم ۲۰۲۱)","Q82430214","distributor = [[سرچلایت پیکچرز]] "
"آدم‌کش آمریکایی","Q26882523","distributor = [[لاینزگیت فیلمز]] "
"زیبایی درون (فیلم ۲۰۱۵)","Q18684331","distributor = [[نکست انترتینمنت ورلد]] "
"او (فیلم ۲۰۱۶)","Q19544495","distributor = اس‌بی‌اس "
"مجموعه سنت‌شکن","Q17512668","distributor = [[سامیت انترتینمنت]]{{سخ}}[[لاینزگیت]] "
"عاشق اینم که ازت متنفر باشم","Q110646204","distributor = [[نتفلیکس]] "
"باربارلا (فیلم)","Q41132","distributor = [[پارامونت پیکچرز]] "
"پدیده (فیلم ۱۹۹۶)","Q464716","distributor = [[استودیو سینمایی والت دیزنی"
"داستان یک شهر (مجموعه تلویزیونی)","Q5724084","distributor = | channel = شبکهٔ پنج سیما "
"خدایان مصر (فیلم)","Q15972938","distributor = [[سامیت اینترتینمنت]] "
"میهن‌پرست (فیلم ۲۰۰۰)","Q646633","distributor = [[کلمبیا پیکچرز]] "
"وضعیت زرد","Q122216280","distributor = [[صداوسیما]] "
"تماشاگر (فیلم)","Q106554940","distributor = {{فهرست ساده"
"پلی‌لیست بیمارستان","Q83625648","distributor = {{ubl"
"نیلوفر آبی سفید (مجموعه تلویزیونی)","Q106679014","distributor = [[استودیوهای تلویزیون برادران وارنر]] "
"آنچه همیشه می‌خواستید درباره سکس بدانید* (* ولی می‌ترسیدید بپرسید)","Q499697","distributor = [[یونایتد آرتیستس]] "
"احمق مرا ببوس","Q1753868","distributor = Lopert Pictures Corporation{{سخ}}[[یونایتد آرتیستس]] "
"غریبه‌هایی از جهنم","Q65332996","distributor = اوسی‌ان "
"عریان پشت میله‌های زندان","Q4860277","distributor = | released = ۱۹۸۰ "
"لندن سقوط کرده‌است","Q18350210","distributor = {{plainlist"
"یک دست لباس (فیلم ۲۰۲۲)","Q105962799","distributor = [[فوکس فیچرز]] "
"کاملاً آدم‌کش","Q115804021","distributor = [[آمازون استودیوز]] "
"ماجراهای مرداک","Q1326701","distributor = جنسیس اینترنشنال "
"چیزهای کوچک (فیلم)","Q70373108","distributor = [[برادران وارنر]] "
"بانوی انتقام","Q495134","distributor = [[سی‌جی انترتینمنت]] "
"لارا کرافت: مهاجم مقبره","Q464014","distributor = [[پارامونت پیکچرز]] "
"هملت (فیلم ۱۹۹۶)","Q898721","distributor = [[کلمبیا پیکچرز]] "
"زنبوردار (فیلم)","Q1192537","distributor = | released = ۵ اکتبر ۱۹۸۶ (جشنواره بین المللی فیلم تسالونیکی){{سخ}}۲۹ آوریل ۱۹۸۷ (فرانسه){{سخ}}۲۱ آگوست ۱۹۸۷(انگلستان) "
"عمق ۱۲ فوت","Q30754816","distributor = [[مارویستا انترتینمنت]] "
"روز گراندهاگ (فیلم)","Q488655","distributor = [[کلمبیا پیکچرز]] "
"کینگزمن: محفل طلایی","Q23780457","distributor = [[استودیوهای قرن بیستم]] "
"سوپر ۸ (فیلم ۲۰۱۱)","Q379877","distributor = [[پارامونت پیکچرز]] "
"عشق یک کتاب پاداش است","Q60174208","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"هیولایی در پاریس","Q165630","distributor = [[اروپاکورپ]] "
"فیلم باب‌اسفنجی: اسفنج فراری","Q61450772","distributor = {{plainlist"
"نجاتم بده (مجموعه تلویزیونی)","Q30147768","distributor = اوسی‌ان "
"پادشاه تالسا","Q111967146","distributor = گروه توزیع جهانی پارامونت "
"زنان روستایی کم‌حرف","Q20006339","distributor = <!-- or: "
"قطار چنای","Q2962658","distributor = [[UTV Motion Pictures]]<ref name = ""Photog"">{{cite web "
"آقای من","Q43111245","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"هم‌اتاقی من یک گومیهو است","Q104903382","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"۱۲ نیرومند","Q28863792","distributor = [[برادران وارنر]] "
"ابر سرکش","Q702002","distributor = [[فاکس قرن بیستم]] <small>(تایوان)</small>{{سخ}}آکسیوم فیلمز {{small"
"کرید ۲","Q50233658","distributor = [[برادران وارنر]] "
"خبر خوب (فیلم ۲۰۱۹)","Q62080705","distributor = | studio = "
"بیچارگان (فیلم)","Q108760382","distributor = [[سرچلایت پیکچرز]] "
"باهوبالی ۲: فرجام","Q21001674","distributor = | released = {{Film date"
"خانواده جدید","Q492357","distributor = | network = [[سامانه سخن‌پراکنی کره"
"روستا (فیلم ۲۰۰۴)","Q465227","distributor = [[تاچ‌استون پیکچرز]] "
"تجدید دیدار آمریکایی","Q303040","distributor = [[یونیورسال استودیوز]] "
"بی‌نشان (مجموعه تلویزیونی)","Q113679555","distributor = <!-- توزیع‌کننده --> "
"تالاب (فیلم)","Q15073893","distributor = | released = {{Film date"
"اورست (فیلم ۲۰۱۵)","Q15631013","distributor = [[یونیورسال استودیوز]] "
"چیزهای تیز (مینی‌سریال)","Q25206010","distributor = [[استودیوهای تلویزیون برادران وارنر]] "
"کویلا","Q965313","distributor = | released = {{Film date"
"ماری آنتوانت (فیلم ۲۰۰۶)","Q829695","distributor = [[کلمبیا پیکچرز]] "
"محافظ همسر یک آدم‌کش","Q61951885","distributor = [[لاینزگیت]] "
"پروفسور مارستون و زن شگفت‌انگیز","Q27204179","distributor = [[Sony Pictures Worldwide Acquisitions]] "
"استخر (فیلم ۱۹۶۹)","Q210182","distributor = آوکو امبسی (آمریکا)<ref>""Song, Dance Man All Tapped Out"", ''Los Angeles Times'' (1923–current file) 11 December 1969: h17.</ref> "
"نفوذی (فیلم ۱۹۹۹)","Q463832","distributor = [[استودیو سینمایی والت دیزنی]] "
"فرشتگان چارلی (فیلم ۲۰۱۹)","Q55815650","distributor = [[سونی پیکچرز]] "
"صندوق پستی تینتو براس","Q3742834","distributor = | released = {{Film date"
"پرل (فیلم ۲۰۲۲)","Q111669794","distributor = | released = {{تاریخ انتشار فیلم"
"۱۰۱ ریکیاویک","Q165525","distributor = | released = {{تاریخ آغاز"
"و تابستان می‌نامندش","Q3717620","distributor = | country = [[ایتالیا]] "
"رفقای بد (فیلم)","Q97288428","distributor = [[یونیورسال پیکچرز]] "
"خانه امن (فیلم ۲۰۱۲)","Q934739","distributor = [[یونیورسال استودیوز]] "
"اندور (مجموعه تلویزیونی)","Q60462338","distributor = {{nowrap"
"تایتان‌ها (مجموعه تلویزیونی ۲۰۱۸)","Q38542856","distributor = [[وارنر برادرز تله‌ویژن]] "
"سنت‌شکن: شورشی","Q16997069","distributor = سامیت انترتینمنت{{سخ}}[[Lionsgate Films"
"شیردل (فیلم ۱۹۹۰)","Q581960","distributor = [[یونیورسال استودیوز]] "
"الویس (فیلم ۲۰۲۲)","Q84362533","distributor = [[برادران وارنر پیکچرز]] "
"خیانتکار (فیلم ۲۰۱۵)","Q19840918","distributor = [[لوته انترتینمنت]]<ref>{{cite web"
"دو دختر و یک مرد","Q1304913","distributor = [[فاکس سرچلایت پیکچرز]] "
"خاطرات خون‌آشام (فصل ۱)","Q844104","distributor = | channel = [[سی‌دابلیو (شبکه تلویزیونی)"
"مجموعه سنت‌شکن: هم‌پیمان","Q19648591","distributor = {{Plainlist"
"لایت‌یر (فیلم)","Q104409060","distributor = [[استودیو سینمایی والت دیزنی]] "
"تنها در برلین (فیلم)","Q19839849","distributor = <!-- or: "
"آرزوهای بزرگ (مجموعه تلویزیونی)","Q116195","distributor = [[Cake Entertainment]] "
"تو هرگز واقعاً اینجا نبودی","Q27703176","distributor = [[استودیو آمازون]] "
"موهبت (مجموعه تلویزیونی)","Q63540684","distributor = [[نتفلیکس]] "
"دارا و ندار (مجموعه تلویزیونی)","Q5952608","distributor = | channel =[[شبکه پنج"
"بزرگتر از زندگی","Q1218039","distributor = [[یونایتد آرتیستس]]{{سخ}}[[مترو گلدوین مایر]]{{سخ}}[[پتی]] "
"آهنگ مرگ","Q55708669","distributor = {{ubl"
"تنهاترین سردار","Q29951296","distributor = | channel = [[شبکه ۱ سیمای جمهوری اسلامی ایران"
"بهترین ضربه","Q29051835","distributor = [[سامانه سخن‌پراکنی کره"
"دختر اهل مارفا","Q3012563","distributor = [[لری کلارک]]{{سخ}}اسپات‌لایت پیکچرز "
"قول (مجموعه تلویزیونی)","Q29573154","distributor = | network = [[استار تی‌وی (ترکیه)"
"نام من کیم سام سون است","Q485870","distributor = | channel = ام بی سی کره جنوبی "
"جنگ فردا","Q67171072","distributor = [[آمازون استودیوز]] "
"بابادوک","Q16011764","distributor = سینتیک مدیا/ای‌وان فیلمز اینترنشنال/آی‌اف‌سی "
"بی‌باک (فیلم ۲۰۰۶)","Q633571","distributor = اِدکو فیلمز {{small"
"قلم‌پرها","Q761302","distributor = [[سرچلایت پیکچرز"
"مکعب (فیلم)","Q467840","distributor = [[تریمارک پیکچرز]] "
"بن هور (فیلم ۲۰۱۶)","Q18785102","distributor = [[پارامونت پیکچرز]] "
"سامری (فیلم ۲۰۲۲)","Q85314873","distributor = [[یونایتد آرتیستس]]{{سخ}}[[آمازون استودیوز]] "
"مریم مجدلیه (فیلم ۲۰۱۸)","Q27957924","distributor = [[فوکس فیچرز]] "
"هاراکیری (فیلم ۱۹۶۲)","Q1584406","distributor = [[شوچیکو]] "
"سکس با لبخند","Q3599077","distributor = مدوزا (ایتالیا){{سخ}}سنتور/ساروگیت (آمریکا) "
"جانی اینگلیش دوباره متولد می‌شود","Q967478","distributor = [[یونیورسال استودیوز]] "
"آهسته و مخفیانه","Q874521","distributor = | released = ۹ مارس ۲۰۰۱ "
"غبرستان حیوانات خانگی (فیلم ۲۰۱۹)","Q55102449","distributor = [[پارامونت پیکچرز]] "
"چشمان مار: منشأ جی.آی. جو","Q64027609","distributor = [[پارامونت پیکچرز]] "
"قاشق طلایی","Q109921573","distributor = [[بنگاه پخش مونهوا"
"سه مرد برای کشتن","Q1397358","distributor = | released = ۳۱ اکتبر ۱۹۸۰ "
"کولکشن (فیلم)","Q1954593","distributor = ال‌دی اینترتینمنت "
"عشق ۱۰۱","Q81227567","distributor = [[نتفلیکس]] "
"زبان عشق","Q6453470","distributor = | released = {{Film date"
"شگفتی (فیلم)","Q113331181","distributor = [[نتفلیکس]]<ref name="":0""/> "
"علی و نینو","Q19404573","distributor = <!-- or: "
"افسانه‌های فردا","Q19863968","distributor = [[وارنر برادرز.تلویزیون]] "
"ملکه جنوب (مجموعه تلویزیونی)","Q23665360","distributor = [[استودیوهای تلویزیونی فاکس ۲۱]] "
"پاریس ۰۵:۵۹: تئو و اوگو","Q21998244","distributor = اپی‌سنتر فیلمز "
"سیزده (فیلم ۲۰۰۳)","Q1141912","distributor = [[فاکس سرچلایت پیکچرز]] "
"مبارزه برای راهم","Q28834863","distributor = [[سامانه سخن‌پراکنی کره"
"اسپنسر (فیلم)","Q105100020","distributor = {{Plainlist"
"زن خون‌آشام (فیلم ۱۹۷۵)","Q3207690","distributor = | released = {{Film date"
"دنیای عجیب","Q107473453","distributor = [[استودیو سینمایی والت دیزنی]]<!--Text wrap is used in this link to ensure correct formatting at all screen resolutions.--><!--Per WP:FILMRELEASE, do not add Disney+ as the distributor in France; only the primary county distributor should be included.--> "
"اما (فیلم ۲۰۲۰)","Q65091224","distributor = [[فوکس فیچرز]] "
"شگفت‌انگیزان ۲","Q24832112","distributor = [[استودیو سینمایی والت دیزنی]] "
"افترسان","Q111668106","distributor = {{Plainlist"
"زن گربه‌ای (فیلم)","Q115760","distributor = [[وارنر برادرز]] "
"نقشه فرار ۳: ایستگاه شیطان","Q39060677","distributor = [[سامیت انترتینمنت]] "
"دوستان تعطیلات","Q102036255","distributor = [[هولو]] (ایالات متحده){{سخ}}[[دیزنی پلاس]] (بین‌المللی) "
"قصر سفید (فیلم)","Q1472274","distributor = یونیورسال استودیوز "
"بروکلین نه-نه","Q13417244","distributor = پخش تلویزیون جهانی NBC "
"جادوگرها (فیلم ۲۰۲۰)","Q63630439","distributor = [[اچ‌بی‌او مکس]]{{سخ}}[[برادران وارنر]] "
"برپاخیزان جهنم (فیلم ۲۰۲۲)","Q108739919","distributor = [[طاووس]] "
"کوه میان ما (فیلم)","Q27964596","distributor = [[استودیو قرن بیستم]]<ref name=insight/> "
"نترس (فیلم ۲۰۱۰)","Q733065","distributor = | released = {{Film date"
"ون وایلدر: سال تازه وارد","Q377025","distributor = [[پارامونت پیکچرز]] "
"سکس بدفرجام یا پورن جنون‌آمیز","Q105441000","distributor = | released = {{film date"
"اژدهای آرزو","Q61740797","distributor = سونی پیگچرز "
"لامبورگینی: مرد پشت افسانه","Q54020736","distributor = [[لاینزگیت فیلمز]] "
"مالفیسنت: بانوی اهریمنی","Q54437950","distributor = [[استودیو سینمایی والت دیزنی]] "
"خط باریک سرخ (فیلم)","Q221491","distributor = [[فاکس قرن بیستم]] "
"جانی اینگلیش دوباره حمله می‌کند","Q35160593","distributor = [[یونیورسال استودیوز]] "
"قسمت بالایی","Q28793040","distributor = [[اس‌تی‌اکس انترتینمنت]]{{سخ}}[[لنترن انترتینمنت]] "
"جادوگر (فیلم ۲۰۱۵)","Q19057481","distributor = [[A24 (company)"
"گرمای بدن","Q472096","distributor = [[برادران وارنر]] "
"اگه آرزوتو بگی","Q111910747","distributor = [[سامانه سخن‌پراکنی کره"
"پمپئی (فیلم)","Q3396071","distributor = {{Plain list "
"دزدان دریایی: آخرین گنج سلطنتی","Q97338678","distributor = [[لوته انترتینمنت]] "
"طولانی‌ترین سواری (فیلم ۲۰۱۵)","Q18151890","distributor = [[فاکس قرن بیستم]] "
"روانی آمریکایی ۲","Q466533","distributor = لاینزگیت هوم انترتینمنت "
"آپاسیوناتا","Q3620845","distributor = | released = ۱۹۷۴ "
"کارشناسان سکس","Q2579196","distributor = سونی پیکچرز تلویژن "
"می‌توانم صدایت را بشنوم","Q13416878","distributor = | company = Doremi Entertainment{{سخ}}Kim Jong-hak Production "
"فقط دو بار زندگی می‌کنید (فیلم)","Q107761","distributor = [[یونایتد آرتیستس]] "
"فردا آزادیم","Q66305402","distributor = <!-- or: "
"نوازش قلبت","Q59387181","distributor = [[تی‌وی‌ان (شبکه تلویزیونی کره جنوبی)"
"همه مکان‌های روشن (فیلم)","Q58814939","distributor = [[نت‌فلیکس]] "
"عصر یخبندان: ماجراهای باک وایلد","Q105992748","distributor = [[دیزنی پلاس]] "
"سه تفنگدار: دارتانیان","Q105998710","distributor = {{Plainlist"
"کوه دل (مجموعه تلویزیونی)","Q100930223","distributor = | budget = "
"حیوان (فیلم ۲۰۰۱)","Q547517","distributor = [[کلمبیا پیکچرز]] "
"ویر (فیلم)","Q402855","distributor = [[Eros Entertainment]] "
"خرس نیست","Q113151425","distributor = [[سلولوید دریمز]] "
"امانوئل ۷","Q2061623","distributor = | released = اکتبر ۲۰, ۱۹۹۳<ref>[http://www.imdb.com/title/tt0160245/releaseinfo imdb.com Release Dates]</ref> "
"شیطان خوش‌تیپ","Q27461783","distributor = [[آیکون پروداکشنز]] "
"بدخیم (فیلم ۲۰۲۱)","Q68549841","distributor = [[برادران وارنر پیکچرز]] "
"متخاصمان (فیلم)","Q27957941","distributor = | released =۲۲ دسامبر ۲۰۱۷ (آمریکا) "
"پسران خوب (فیلم)","Q56274437","distributor = [[یونیورسال استودیوز]] "
"بلفاست (فیلم)","Q100736066","distributor = {{فهرست ساده"
"پیچک سمی: اغوای جدید","Q1364023","distributor = [[New Line Cinema Home Video]] "
"اونگ-بک: مبارز موای تای","Q831437","distributor = | released = {{start date"
"شهرک کلیله و دمنه","Q112134489","distributor = | channel = فیلم‌نت "
"امانوئل در بانکوک","Q1130834","distributor = | released = {{film date"
"داخل گلوی عمیق","Q1664537","distributor = [[یونیورسال استودیوز]] "
"جانی بوستون (فیلم ۲۰۲۳)","Q110010607","distributor = [[هولو]] "
"خواهرم، عشقم","Q1354974","distributor = | released = {{تاریخ انتشار فیلم"
"استاد مست ۲","Q1261372","distributor = [[اورنج اسکای گلدن هاروست]] "
"پریفرال (مجموعه تلویزیونی)","Q106742665","distributor = آمازون استودیوز "
