"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"劉亮佐","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Culture.Biography.Biography*|743|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|939|classification.ores.articletopic/Geography.Regions.Asia.Asia*|914","Q8991404","nm1998532","Liang-Tso Liu","not exact match",NA,NA
"鄭欣宜","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|798|classification.ores.articletopic/Culture.Media.Media*|855|classification.ores.articletopic/Culture.Media.Music|724|classification.ores.articletopic/Geography.Regions.Asia.Asia*|787|classification.ores.articletopic/Culture.Biography.Biography*|562","Q717640","nm3807582","Joyce Cheng","not exact match",NA,NA
"白鹿 (演員)","classification.ores.articletopic/Culture.Biography.Biography*|917|classification.ores.articletopic/Culture.Media.Media*|855|classification.ores.articletopic/Geography.Regions.Asia.Asia*|712|classification.ores.articletopic/Culture.Media.Films|592|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|803|recommendation.image/exists|1","Q51885061","nm8221470","Lu Bai","not exact match",NA,NA
"沈殿霞","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|851|classification.ores.articletopic/Geography.Regions.Asia.Asia*|843|classification.ores.articletopic/Culture.Biography.Biography*|731|classification.ores.articletopic/Culture.Media.Media*|803","Q1355106","nm0838503","Lydia Shum","not exact match",NA,NA
"周深","classification.ores.articletopic/Culture.Media.Media*|884|classification.ores.articletopic/Culture.Biography.Biography*|622|classification.ores.articletopic/Geography.Regions.Asia.Asia*|777|classification.ores.articletopic/Culture.Media.Music|600|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|737","Q48935983","nm10363121","Shen Zhou","not exact match",NA,NA
"黃景瑜","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|787|classification.ores.articletopic/Culture.Media.Films|577|classification.ores.articletopic/Geography.Regions.Asia.Asia*|743|classification.ores.articletopic/Culture.Biography.Biography*|554|classification.ores.articletopic/Culture.Media.Media*|737","Q25324763","nm8361677","Johnny Huang","not exact match",NA,NA
"池昌旭","classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Culture.Media.Media*|899|classification.ores.articletopic/Culture.Biography.Biography*|988|classification.ores.articletopic/Geography.Regions.Asia.Asia*|724|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|705","Q625128","nm3865611","Ji Chang-wook","not exact match",NA,NA
"胡瓜","classification.ores.articletopic/Culture.Media.Media*|665|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|896|classification.ores.articletopic/Geography.Regions.Asia.Asia*|909|classification.ores.articletopic/Culture.Biography.Biography*|531","Q9329589","nm2682046","Shaofeng Feng","not exact match",NA,NA
"张凌赫","classification.ores.articletopic/Culture.Biography.Biography*|812|classification.ores.articletopic/Geography.Regions.Asia.Asia*|855|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|870","Q104722529","nm11851130","Linghe Zhang","not exact match",NA,NA
"費翔","classification.ores.articletopic/Culture.Biography.Biography*|914|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Music|831|classification.ores.articletopic/Geography.Regions.Asia.Asia*|859|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|904","Q5441522","nm1191525","Kris Phillips","not exact match",NA,NA
"Angelababy","classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|939|classification.ores.articletopic/Geography.Regions.Asia.Asia*|904|classification.ores.articletopic/Culture.Media.Media*|859|classification.ores.articletopic/Culture.Biography.Biography*|782","Q2568122","nm2854802","Angelababy","match",NA,NA
"車太鉉","classification.ores.articletopic/Culture.Media.Films|562|classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Geography.Regions.Asia.Asia*|981|classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|989","Q483704","nm1028580","Tae-Hyun Cha","not exact match",NA,NA
"IU (歌手)","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|974|classification.ores.articletopic/Culture.Media.Media*|921|classification.ores.articletopic/Culture.Biography.Biography*|615|classification.ores.articletopic/Geography.Regions.Asia.Asia*|964|classification.ores.articletopic/Culture.Media.Music|500|recommendation.image_section/exists|1","Q20145","nm3889963","Lee Ji-eun","not exact match",NA,NA
"金度勳","classification.ores.articletopic/Culture.Media.Films|952|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|970|classification.ores.articletopic/Culture.Biography.Biography*|987|classification.ores.articletopic/Culture.Media.Media*|939|classification.ores.articletopic/Geography.Regions.Asia.Asia*|957","Q105704959","nm10679329","Do-Hoon Kim","not exact match",NA,NA
"安孝燮","classification.ores.articletopic/Culture.Media.Media*|887|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|991|classification.ores.articletopic/Culture.Biography.Biography*|909|classification.ores.articletopic/Geography.Regions.Asia.Asia*|979|recommendation.image_section/exists|1","Q24000262","nm8044332","Ahn Hyo-Seop","not exact match",NA,NA
"張國榮","classification.ores.articletopic/Geography.Regions.Asia.Asia*|812|classification.ores.articletopic/Culture.Biography.Biography*|699|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|826|classification.ores.articletopic/Culture.Media.Media*|859|recommendation.image_section/exists|1","Q313596","nm0002000","Leslie Cheung","not exact match",NA,NA
"杨幂","classification.ores.articletopic/Geography.Regions.Asia.Asia*|782|classification.ores.articletopic/Culture.Media.Media*|855|classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|782","Q1137458","nm2468729","Mi Yang","not exact match",NA,NA
"庹宗華","classification.ores.articletopic/Geography.Regions.Asia.Asia*|938|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|961|classification.ores.articletopic/Culture.Media.Media*|893|classification.ores.articletopic/Culture.Biography.Biography*|523|classification.ores.articletopic/Culture.Media.Films|592","Q9051586","nm0849916","Tsung-Hua Tou","not exact match",NA,NA
"鄧紫棋","classification.ores.articletopic/Culture.Biography.Biography*|692|classification.ores.articletopic/Culture.Media.Media*|831|classification.ores.articletopic/Culture.Media.Music|699|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|826|classification.ores.articletopic/Geography.Regions.Asia.Asia*|835","Q665090","nm3281054","G.E.M.","not exact match",NA,NA
"维多利亚·贝克汉姆","classification.ores.articletopic/History and Society.History|197|classification.ores.articletopic/Culture.Biography.Biography*|933|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|688|classification.ores.articletopic/Culture.Visual arts.Fashion|753|classification.ores.articletopic/History and Society.Society|477|classification.ores.articletopic/Culture.Media.Media*|707|classification.ores.articletopic/Culture.Media.Music|135","Q19810","nm0065751","Victoria Beckham","not exact match",NA,NA
"泰勒·斯威夫特","classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Culture.Biography.Biography*|914|classification.ores.articletopic/Culture.Biography.Women|507|classification.ores.articletopic/Culture.Media.Music|766","Q26876","nm2357847","Taylor Swift","not exact match",NA,NA
"曹寶兒","classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Geography.Regions.Asia.Asia*|983|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|991|classification.ores.articletopic/Culture.Biography.Biography*|874","Q9348951","nm6008762","Jo Bo-ah","not exact match",NA,NA
"刘亦菲","classification.ores.articletopic/Culture.Biography.Biography*|880|classification.ores.articletopic/Geography.Regions.Asia.Asia*|928|classification.ores.articletopic/Culture.Media.Media*|952|classification.ores.articletopic/Culture.Biography.Women|507|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|971|classification.ores.articletopic/Culture.Media.Films|817|recommendation.image_section/exists|1","Q242676","nm1703577","Liu Yifei","not exact match",NA,NA
"唐納·川普","classification.ores.articletopic/History_and_Society.Politics_and_government|777|classification.ores.articletopic/Culture.Biography.Biography*|615|classification.ores.articletopic/Geography.Regions.Americas.North_America|863","Q22686","nm0874339","Donald Trump","not exact match",NA,NA
"陈瑾 (演员)","classification.ores.articletopic/Culture.Biography.Biography*|808|classification.ores.articletopic/Culture.Media.Films|685|classification.ores.articletopic/Culture.Media.Media*|787|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|507|classification.ores.articletopic/Geography.Regions.Asia.Asia*|538","Q16740399","nm1901307","Jin Chen","not exact match",NA,NA
"黄晓明","classification.ores.articletopic/Culture.Media.Media*|843|classification.ores.articletopic/Culture.Media.Films|546|classification.ores.articletopic/Geography.Regions.Asia.Asia*|766|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|803|classification.ores.articletopic/Culture.Biography.Biography*|793","Q701194","nm2119781","Xiaoming Huang","not exact match",NA,NA
"周星馳","classification.ores.articletopic/Geography.Regions.Asia.Asia*|863|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|870|classification.ores.articletopic/Culture.Biography.Biography*|743|classification.ores.articletopic/Culture.Media.Media*|926|classification.ores.articletopic/Culture.Media.Films|926","Q311179","nm0159507","Stephen Chow","not exact match",NA,NA
"趙麗穎","classification.ores.articletopic/Culture.Media.Media*|870|classification.ores.articletopic/Culture.Biography.Biography*|712|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|890|classification.ores.articletopic/Geography.Regions.Asia.Asia*|843","Q9349416","nm5397199","Zanilia Zhao","not exact match",NA,NA
"任嘉倫","classification.ores.articletopic/Culture.Media.Media*|672|classification.ores.articletopic/Geography.Regions.Asia.Asia*|644|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|592|classification.ores.articletopic/Culture.Biography.Biography*|685","Q28870912","nm8784654","Jialun Ren","not exact match",NA,NA
"周恩来","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|880|classification.ores.articletopic/Geography.Regions.Asia.Asia*|877|classification.ores.articletopic/Culture.Biography.Biography*|777|recommendation.image_section/exists|1","Q17410","nm0159288","Enlai Zhou","not exact match",NA,NA
"車銀優","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|986|classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Geography.Regions.Asia.Asia*|974|recommendation.image_section/exists|1","Q21060390","nm8258018","Cha Eun-Woo","not exact match",NA,NA
"成龍","classification.ores.articletopic/Culture.Media.Media*|712|classification.ores.articletopic/Culture.Biography.Biography*|705|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|665|classification.ores.articletopic/Geography.Regions.Asia.Asia*|651","Q36970","nm0000329","Jackie Chan","not exact match",NA,NA
"江青","classification.ores.articletopic/Culture.Biography.Biography*|924|classification.ores.articletopic/Geography.Regions.Asia.Asia*|699","Q236017","nm0156952","Lan Ping","not exact match",NA,NA
"少女时代","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|988|classification.ores.articletopic/Geography.Regions.Asia.Asia*|980|classification.ores.articletopic/Culture.Media.Media*|863|classification.ores.articletopic/Culture.Biography.Biography*|705|classification.ores.articletopic/Culture.Media.Music|615|recommendation.image_section/exists|1","Q20153","nm4897521","Girls' Generation","not exact match",NA,NA
"梁朝偉","classification.ores.articletopic/Culture.Media.Films|893|classification.ores.articletopic/Geography.Regions.Asia.Asia*|928|classification.ores.articletopic/Culture.Biography.Biography*|658|classification.ores.articletopic/Culture.Media.Media*|949|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|926","Q319001","nm0504897","Tony Leung Chiu-wai","not exact match",NA,NA
"伊丽莎白二世","classification.ores.articletopic/Culture.Biography.Biography*|859","Q9682","nm0703070","Queen Elizabeth II","not exact match",NA,NA
"韓韶禧","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|995|classification.ores.articletopic/Culture.Media.Media*|798|classification.ores.articletopic/Culture.Biography.Biography*|867|classification.ores.articletopic/Geography.Regions.Asia.Asia*|988","Q41864388","nm9350760","Han So-hee","not exact match",NA,NA
"上白石萌歌","classification.ores.articletopic/Culture.Media.Media*|665|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|938|classification.ores.articletopic/Culture.Biography.Biography*|961|classification.ores.articletopic/Geography.Regions.Asia.Asia*|914","Q10854998","nm5363994","Moka Kamishiraishi","not exact match",NA,NA
"朴恩斌","classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|992|classification.ores.articletopic/Geography.Regions.Asia.Asia*|987|classification.ores.articletopic/Culture.Biography.Biography*|843","Q491387","nm3738785","Park Eun-bin","not exact match",NA,NA
"宋仲基","classification.ores.articletopic/Culture.Media.Media*|777|classification.ores.articletopic/Culture.Biography.Biography*|705|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|981|classification.ores.articletopic/Geography.Regions.Asia.Asia*|970|recommendation.image_section/exists|1","Q485517","nm3609366","Song Joong-ki","not exact match",NA,NA
"新田真劍佑","classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|939|classification.ores.articletopic/Geography.Regions.Asia.Asia*|912|classification.ores.articletopic/Culture.Media.Films|607","Q17230350","nm5018289","Mackenyu","not exact match",NA,NA
"蔡依林","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|874|classification.ores.articletopic/Culture.Biography.Biography*|812|classification.ores.articletopic/Culture.Media.Media*|771|classification.ores.articletopic/Geography.Regions.Asia.Asia*|887|classification.ores.articletopic/Culture.Media.Music|754","Q51101","nm3918191","Jolin Tsai","not exact match",NA,NA
"迈克尔·杰克逊","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Biography.Biography*|798|classification.ores.articletopic/Culture.Media.Music|743","Q2831","nm0001391","Michael Jackson","not exact match",NA,NA
"伍佰","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|988|classification.ores.articletopic/Geography.Regions.Asia.Asia*|980|classification.ores.articletopic/Culture.Biography.Biography*|569|classification.ores.articletopic/Culture.Media.Media*|585|classification.ores.articletopic/Culture.Media.Music|500","Q718279","nm0047010","Wu Bai","not exact match",NA,NA
"嚴歌苓","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|777|classification.ores.articletopic/Culture.Biography.Biography*|877|classification.ores.articletopic/Geography.Regions.Asia.Asia*|743|classification.ores.articletopic/Culture.Media.Media*|507","Q2495376","nm0945802","Geling Yan","not exact match",NA,NA
"江疏影","classification.ores.articletopic/Culture.Media.Media*|637|classification.ores.articletopic/Culture.Biography.Biography*|839|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|938|classification.ores.articletopic/Culture.Media.Films|515|classification.ores.articletopic/Geography.Regions.Asia.Asia*|924","Q15913516","nm5568415","Shuying Jiang","not exact match",NA,NA
"张若昀","classification.ores.articletopic/Geography.Regions.Asia.Asia*|861|classification.ores.articletopic/Geography.Regions.Asia.East Asia|987|classification.ores.articletopic/Culture.Biography.Biography*|875","Q15931697","nm7408353","Ruoyun Zhang","not exact match",NA,NA
"张婧仪","classification.ores.articletopic/Culture.Media.Media*|724|classification.ores.articletopic/Culture.Media.Films|851|classification.ores.articletopic/Geography.Regions.Asia.Asia*|685|classification.ores.articletopic/Culture.Biography.Biography*|971|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|835","Q106714060","nm10436407","Jingyi Zhang","not exact match",NA,NA
"Nana (藝人)","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|960|classification.ores.articletopic/Culture.Biography.Biography*|724|classification.ores.articletopic/Geography.Regions.Asia.Asia*|952|classification.ores.articletopic/Culture.Media.Media*|917","Q491515","nm6847945","Jin-Ah Im","not exact match",NA,NA
"溫子仁","classification.ores.articletopic/Culture.Media.Media*|863|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Geography.Regions.Oceania|808|classification.ores.articletopic/Culture.Media.Films|839","Q108047434","nm1490123","James Wan","not exact match",NA,NA
"朴宝英","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|986|classification.ores.articletopic/Culture.Media.Media*|896|classification.ores.articletopic/Culture.Media.Films|600|classification.ores.articletopic/Geography.Regions.Asia.Asia*|974|classification.ores.articletopic/Culture.Biography.Biography*|874|recommendation.image_section/exists|1","Q490918","nm3291520","Park Bo-young","not exact match",NA,NA
"湯姆·克蘭西","classification.ores.articletopic/Culture.Literature|523|classification.ores.articletopic/Culture.Biography.Biography*|959|classification.ores.articletopic/Geography.Regions.Americas.North_America|562|classification.ores.articletopic/Culture.Media.Media*|847","Q105167","nm0002007","Tom Clancy","not exact match",NA,NA
"朴敘俊","classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/Culture.Media.Films|562|classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|991|classification.ores.articletopic/Geography.Regions.Asia.Asia*|985","Q5116234","nm6124994","Park Seo-joon","not exact match",NA,NA
"李小龙","classification.ores.articletopic/Geography.Regions.Asia.Asia*|760|classification.ores.articletopic/Culture.Media.Media*|685|classification.ores.articletopic/Culture.Biography.Biography*|724|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|782","Q16397","nm0000045","Bruce Lee","not exact match",NA,NA
"莱昂纳多·迪卡普里奥","classification.ores.articletopic/History and Society.History|152|classification.ores.articletopic/Culture.Media.Films|797|classification.ores.articletopic/Culture.Biography.Biography*|822|classification.ores.articletopic/Culture.Sports|46|classification.ores.articletopic/History and Society.Society|562|classification.ores.articletopic/Culture.Media.Media*|914|recommendation.image_section/exists|1","Q38111","nm0000138","Leonardo DiCaprio","not exact match",NA,NA
"陳慧琳","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|896|classification.ores.articletopic/Geography.Regions.Asia.Asia*|874|classification.ores.articletopic/Culture.Media.Media*|672|classification.ores.articletopic/Culture.Biography.Biography*|546","Q270688","nm0155284","Kelly Chen","not exact match",NA,NA
"張韶涵","classification.ores.articletopic/Culture.Media.Media*|893|classification.ores.articletopic/Culture.Biography.Biography*|777|classification.ores.articletopic/Geography.Regions.Asia.Asia*|831|classification.ores.articletopic/Culture.Media.Music|685|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|847","Q702557","nm3561607",NA,NA,NA,NA
