"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Liste des distinctions de Julianne Moore","classification.ores.articletopic/History and Society.Society|648|classification.ores.articletopic/Culture.Media.Films|988|classification.ores.articletopic/Culture.Media.Media*|828|classification.ores.articletopic/Culture.Biography.Biography*|596","Q6606700","nm0000194","Julianne Moore","not exact match",NA,NA
"Tatiana Pelttser","classification.ores.articletopic/Geography.Regions.Europe.Europe*|943|classification.ores.articletopic/History and Society.Society|529|classification.ores.articletopic/History and Society.Military and warfare|910|classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/History and Society.History|432|classification.ores.articletopic/Culture.Biography.Women|859|classification.ores.articletopic/Geography.Regions.Asia.Asia*|941|classification.ores.articletopic/Geography.Regions.Europe.Eastern Europe|966|classification.ores.articletopic/Geography.Regions.Asia.North Asia|976","Q463528","nm000000671356",NA,NA,"nm0671356",NA
"Jeanne Even","classification.ores.articletopic/Geography.Regions.Europe.Europe*|754|classification.ores.articletopic/Culture.Biography.Biography*|859|classification.ores.articletopic/Culture.Media.Media*|554|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|665","Q87720379","nm0263407","Jeanne Even","match",NA,NA
"Paul Sills","classification.ores.articletopic/Geography.Regions.Americas.North America|908|classification.ores.articletopic/Culture.Biography.Biography*|958","Q7153610","nm0798131","Paul Sills","match",NA,NA
"Mikaël Barre","classification.ores.articletopic/Culture.Media.Films|991|classification.ores.articletopic/Culture.Media.Media*|946|classification.ores.articletopic/Culture.Biography.Biography*|941","Q95837742","nm0056796","Mikaël Barre","match",NA,NA
"Lidija Franklin","classification.ores.articletopic/Culture.Biography.Biography*|990|classification.ores.articletopic/History and Society.History|350|classification.ores.articletopic/Culture.Media.Music|220|classification.ores.articletopic/Culture.Biography.Women|849|classification.ores.articletopic/Culture.Performing arts|980|classification.ores.articletopic/Geography.Regions.Americas.North America|657","Q6543685","nm2210124","Lidija Franklin","match",NA,NA
"Venida Evans","classification.ores.articletopic/Geography.Regions.Americas.North America|711|classification.ores.articletopic/Culture.Biography.Women|733|classification.ores.articletopic/Culture.Biography.Biography*|970","Q7920009","nm0026387","Augusta Anderson","not exact match","nm0263287",NA
"Vanesa Gabriella Leiro","classification.ores.articletopic/Geography.Regions.Americas.South America|976|classification.ores.articletopic/Culture.Biography.Biography*|771","Q3554511","nm3978299","Vanesa Gabriela Leiro","not exact match",NA,NA
"Ian Stuart Black","classification.ores.articletopic/Culture.Biography.Biography*|994","Q3019860","nm0819388","Dennis Spooner","not exact match","nm0085307",NA
"Tom Leetch","classification.ores.articletopic/Culture.Biography.Biography*|603|classification.ores.articletopic/Culture.Media.Media*|861","Q7816559","nm0498785",NA,NA,"nm0498711",NA
"Décès en novembre 1999","classification.ores.articletopic/Culture.Biography.Biography*|361","Q4475433","nm0187998","Quentin Crisp","not exact match",NA,NA
"Patrick Poidevin","classification.ores.articletopic/Culture.Media.Media*|699|classification.ores.articletopic/Culture.Biography.Biography*|546|classification.ores.articletopic/Culture.Media.Films|692","Q108103381","nm1311040","Patrick Poidevin","match",NA,NA
"¿Dónde estás corazón?","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Geography.Regions.Americas.South America|952|classification.ores.articletopic/Culture.Media.Music|979|classification.ores.articletopic/Culture.Biography.Biography*|456","Q2728376","nm0787680","Shakira","not exact match",NA,NA
"Décès en novembre 1995","classification.ores.articletopic/Culture.Biography.Biography*|640","Q4475429","nm0827137","Robert Stephens","not exact match",NA,NA
"Décès en avril 1988","classification.ores.articletopic/Culture.Biography.Biography*|997","Q24845173","nm0670874","Anthony Pelissier","not exact match",NA,NA
"Joshua Brillante","classification.ores.articletopic/Culture.Biography.Biography*|912|classification.ores.articletopic/History and Society.Politics and government|994|classification.ores.articletopic/Culture.Sports|919|classification.ores.articletopic/Geography.Regions.Oceania|996","Q1708545","nm13151063","Joshua Brillante","match",NA,NA
"Josephine Ditt","classification.ores.articletopic/Culture.Biography.Biography*|294|classification.ores.articletopic/Culture.Media.Films|961","Q19843934","nm0005518","Steve Vai","not exact match","nm0725520",NA
"Luis Marquina","classification.ores.articletopic/Culture.Media.Films|971|classification.ores.articletopic/Culture.Biography.Biography*|962|classification.ores.articletopic/Culture.Media.Media*|959","Q4888229","nm00000549893",NA,NA,"nm0549893",NA
"Rob Nelson (biologiste)","classification.ores.articletopic/Geography.Regions.Americas.North America|538|classification.ores.articletopic/Culture.Biography.Biography*|943","Q23018109","nm7405351",NA,NA,"nm5964235",NA
"Eline Gehring","classification.ores.articletopic/Culture.Media.Films|874|classification.ores.articletopic/Culture.Biography.Biography*|831|classification.ores.articletopic/Culture.Media.Media*|787","Q95198888","nm00007242679",NA,NA,"nm7242679",NA
"Valerie Koch","classification.ores.articletopic/Culture.Media.Media*|569|classification.ores.articletopic/Culture.Media.Films|787|classification.ores.articletopic/Culture.Biography.Biography*|987","Q2508830","nm00",NA,NA,"nm0972490",NA
"Saul B. Newton","classification.ores.articletopic/Culture.Biography.Biography*|775|classification.ores.articletopic/Culture.Sports|44|classification.ores.articletopic/Geography.Regions.Americas.North America|659","Q7427277","nm0628589","Saul Newton","not exact match",NA,NA
"Virginie Gourmel","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Biography.Biography*|953|classification.ores.articletopic/Culture.Media.Films|998","Q117227793","nm1729760","Virginie Gourmel","match",NA,NA
"Rima Melati","classification.ores.articletopic/Culture.Biography.Biography*|995|classification.ores.articletopic/Geography.Regions.Asia.Southeast_Asia|969|classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Culture.Media.Films|870|classification.ores.articletopic/Culture.Biography.Women|817|classification.ores.articletopic/Geography.Regions.Asia.Asia*|808","Q6108912","nm1099909","Dian Sastrowardoyo","not exact match","nm0577420",NA
