"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Elmer Gruñón","classification.ores.articletopic/Culture.Literature|987|classification.ores.articletopic/Culture.Media.Media*|991|classification.ores.articletopic/Culture.Media.Films|924","Q844904","tt0036050","An Itch in Time","not exact match",NA,NA
"Universo de Mickey Mouse","classification.ores.articletopic/Culture.Literature|600|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Films|952","Q3260246","tt0027963","Mickey's Polo Team","not exact match",NA,NA
"Drama (cine y televisión)","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Media*|996","Q130232","tt0092843","The Dead","not exact match",NA,NA
"Michael Corleone","classification.ores.articletopic/Culture.Media.Films|380|classification.ores.articletopic/Culture.Literature|892|classification.ores.articletopic/Culture.Media.Media*|990|recommendation.image/exists|1","Q835154","tt0068646","The Godfather","not exact match",NA,NA
"No Me Rompan","classification.ores.articletopic/Geography.Regions.Americas.South_America|945|classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Films|984","Q121769776","tt28444644","No Me Rompan","match",NA,NA
"Hana yori dango","classification.ores.articletopic/Geography.Regions.Asia.Asia*|808|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|629|classification.ores.articletopic/Culture.Literature|665|classification.ores.articletopic/Culture.Media.Films|665|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|771|classification.ores.articletopic/Culture.Media.Media*|926|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|843","Q714078","tt0889194","Boys Over Flowers","not exact match",NA,NA
"Emmanuelle","classification.ores.articletopic/Culture.Media.Films|982|classification.ores.articletopic/Culture.Media.Media*|977","Q21197542","tt0071464","Emmanuelle","match",NA,NA
"Ellen Ripley","classification.ores.articletopic/Culture.Media.Entertainment|909|classification.ores.articletopic/Culture.Literature|798|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Films|973","Q988925","tt0078748","Alien","not exact match",NA,NA
"Bluto","classification.ores.articletopic/Culture.Media.Films|454|classification.ores.articletopic/Culture.Literature|964|classification.ores.articletopic/Culture.Media.Media*|798|classification.ores.articletopic/Culture.Visual arts.Visual arts*|820|classification.ores.articletopic/Culture.Visual arts.Comics and Anime|949","Q2519837","tt0081353","Popeye","not exact match",NA,NA
"Cobra (manga)","classification.ores.articletopic/Culture.Literature|998|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|993|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|994|classification.ores.articletopic/Culture.Media.Films|600|classification.ores.articletopic/Culture.Media.Media*|847","Q1300619","tt0163494","Space Adventure Cobra","not exact match",NA,NA
"Filmografía de Tom Cruise","classification.ores.articletopic/Culture.Media.Films|333|classification.ores.articletopic/Culture.Biography.Biography*|594|classification.ores.articletopic/Culture.Media.Media*|873","Q3467556","tt1013743","Knight and Day","not exact match",NA,NA
"Palm Dog","classification.ores.articletopic/Culture.Media.Films|909|classification.ores.articletopic/Geography.Regions.Europe.Europe*|531|classification.ores.articletopic/Culture.Media.Media*|914|recommendation.image/exists|1","Q3361613","tt0800159","Pingpong","not exact match",NA,NA
"Las urracas parlanchinas","classification.ores.articletopic/Culture.Media.Films|388|classification.ores.articletopic/Culture.Visual arts.Comics and Anime|951|classification.ores.articletopic/Culture.Literature|987|classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Visual arts.Visual arts*|769|classification.ores.articletopic/Culture.Media.Television|890","Q55408813","tt0220902","The Heckle and Jeckle Show","not exact match",NA,NA
"Legend of the Galactic Heroes","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|896|classification.ores.articletopic/Culture.Media.Films|562|classification.ores.articletopic/Culture.Literature|971|classification.ores.articletopic/Culture.Media.Entertainment|724|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|777|classification.ores.articletopic/Culture.Media.Media*|938","Q701383","tt0096633","Legend of the Galactic Heroes","match",NA,NA
"El rapto","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|995","Q120871782","tt21340020","The Rescue: The Weight of the World","not exact match",NA,NA
"Falso documental","classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/Culture.Media.Media*|994","Q8812380","tt0751264","X-Cops","not exact match",NA,NA
"Titanic (banda sonora)","classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Biography.Biography*|644|classification.ores.articletopic/Culture.Media.Music|996|classification.ores.articletopic/Culture.Media.Films|705|recommendation.image_section/exists|1","Q2478025","tt0120338","Titanic","not exact match",NA,NA
"El Vacilón de la Mañana","classification.ores.articletopic/Culture.Media.Media*|980|classification.ores.articletopic/Culture.Media.Films|629","Q597187","tt0428003","El vacilón: The Movie","not exact match",NA,NA
"Íñigo Montoya","classification.ores.articletopic/Culture.Media.Films|773|classification.ores.articletopic/Culture.Literature|985|classification.ores.articletopic/Culture.Media.Books|693|classification.ores.articletopic/Culture.Media.Media*|928","Q3798780","tt0093779","The Princess Bride","not exact match",NA,NA
"Escena poscréditos","classification.ores.articletopic/Culture.Media.Media*|931|classification.ores.articletopic/Culture.Literature|775|classification.ores.articletopic/Culture.Media.Films|753","Q512311","tt0091042","Ferris Bueller's Day Off","not exact match",NA,NA
"Raúl Santana","classification.ores.articletopic/Culture.Biography.Biography*|965|classification.ores.articletopic/Culture.Media.Media*|880|classification.ores.articletopic/Culture.Media.Films|569|classification.ores.articletopic/Geography.Regions.Americas.South_America|531","Q101557018","tt5869370","Dedicada A Mi Ex","not exact match",NA,NA
"Lobo feroz (película)","classification.ores.articletopic/Culture.Media.Films|991|classification.ores.articletopic/Culture.Media.Media*|938","Q116233263","tt14118246","Lobo Feroz","not exact match",NA,NA
"Carrie White","classification.ores.articletopic/Culture.Media.Media*|932|classification.ores.articletopic/Culture.Biography.Biography*|615|classification.ores.articletopic/Geography.Regions.Americas.North_America|546|classification.ores.articletopic/Culture.Media.Films|705","Q2940250","tt0074285","Carrie","not exact match",NA,NA
"Versiones de Blade Runner","classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/Culture.Media.Media*|970","Q7922698","tt0083658","Blade Runner","not exact match",NA,NA
"James Rhodes (Universo cinematográfico de Marvel)","classification.ores.articletopic/Culture.Literature|972|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|938|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|912|classification.ores.articletopic/Culture.Media.Media*|808|classification.ores.articletopic/Culture.Media.Films|705","Q23895040","tt1228705","Iron Man 2","not exact match",NA,NA
"Mariano Cohn y Gastón Duprat","classification.ores.articletopic/Culture.Media.Films|535|classification.ores.articletopic/Culture.Biography.Biography*|329","Q5526897","tt1248290","The Artist","not exact match",NA,NA
"Donkey punch","classification.ores.articletopic/Culture.Media.Media*|900|classification.ores.articletopic/STEM.STEM*|777|classification.ores.articletopic/Culture.Media.Films|407|classification.ores.articletopic/History and Society.Society|601|classification.ores.articletopic/STEM.Biology|741","Q2729435","tt0988849","Donkey Punch","not exact match",NA,NA
"Cine histórico","classification.ores.articletopic/Culture.Media.Media*|980|classification.ores.articletopic/Culture.Media.Films|936","Q17013749","tt0148109","Los episodios nacionales","not exact match",NA,NA
"Estudios Churubusco","classification.ores.articletopic/Culture.Media.Media*|945|classification.ores.articletopic/Geography.Regions.Americas.North_America|887|classification.ores.articletopic/Culture.Media.Films|957|classification.oneoff.T301028/mexico","Q3501058","tt0054047","The Magnificent Seven","not exact match",NA,NA
"Edad de Oro del porno","classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/History_and_Society.Society|644","Q1476435","tt0062745","Blue Movie","not exact match",NA,NA
"Hermanos Duffer","classification.ores.articletopic/Culture.Media.Films|432|classification.ores.articletopic/History and Society.Society|351|classification.ores.articletopic/Culture.Media.Media*|942|classification.ores.articletopic/Culture.Media.Television|635|recommendation.image_section/exists|1","Q26097618","tt2131532","Hidden","not exact match",NA,NA
"La dama del perrito","classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|999|classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|999|classification.ores.articletopic/History_and_Society.Military_and_warfare|577|classification.ores.articletopic/Geography.Regions.Asia.Asia*|996|classification.ores.articletopic/Geography.Regions.Europe.Europe*|984|classification.ores.articletopic/Culture.Media.Media*|803|classification.ores.articletopic/Culture.Media.Films|607|recommendation.image_section/exists|1","Q2418554","tt0093664","Dark Eyes","not exact match",NA,NA
"Aladdín (musical)","classification.ores.articletopic/Culture.Media.Music|946|classification.ores.articletopic/Culture.Media.Films|712|classification.ores.articletopic/Culture.Media.Media*|946|classification.ores.articletopic/Culture.Performing_arts|859","Q15839051","tt0103639","Aladdin","not exact match",NA,NA
"Norman Stansfield","classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Films|995|classification.ores.articletopic/Culture.Literature|607","Q7052821","tt0110413","Léon: The Professional","not exact match",NA,NA
"Chick flick","classification.ores.articletopic/Culture.Literature|789|classification.ores.articletopic/Culture.Media.Media*|699|classification.ores.articletopic/History and Society.Society|515|classification.ores.articletopic/History and Society.History|216|classification.ores.articletopic/Culture.Media.Films|939|recommendation.image/exists|1","Q2075808","tt0084434","An Officer and a Gentleman","not exact match",NA,NA
"Metraje","classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Media.Films|998|recommendation.image/exists|1","Q1192650","tt0083658","Blade Runner","not exact match",NA,NA
"Cell (novela)","classification.ores.articletopic/Culture.Media.Films|453|classification.ores.articletopic/Culture.Literature|949|classification.ores.articletopic/Culture.Media.Media*|979","Q469889","tt0775440","Cell","not exact match",NA,NA
"Descendants: The Rise of Red","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Films|996","Q115941750","tt20202136","Descendants: The Rise of Red","match",NA,NA
"Primera temporada de Loki","classification.ores.articletopic/Culture.Literature|896|classification.ores.articletopic/Culture.Media.Films|338|classification.ores.articletopic/Culture.Media.Media*|936","Q107185252","tt9140554","Loki","not exact match",NA,NA
"Cine en 2017","classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Media.Films|998","Q16958965","tt3171832","iBoy","not exact match",NA,NA
"Almirante Ackbar (Star Wars)","classification.ores.articletopic/Culture.Media.Films|983|classification.ores.articletopic/Culture.Media.Media*|991","Q52306","tt5532610","Secrets of the Force Awakens: A Cinematic Journey","not exact match",NA,NA
"Iván el Terrible (película)","classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|941|classification.ores.articletopic/Culture.Media.Media*|600|classification.ores.articletopic/Culture.Media.Films|577|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|966|classification.ores.articletopic/Geography.Regions.Asia.Asia*|956|classification.ores.articletopic/Geography.Regions.Europe.Europe*|893","Q20051329","tt0037824","Ivan the Terrible, Part I","not exact match",NA,NA
"Cine de Honduras","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Geography.Regions.Americas.Central_America|637|classification.ores.articletopic/Culture.Media.Films|966","Q5769557","tt9314492","It's Me, Sarah","not exact match",NA,NA
"Premios y nominaciones de No Country for Old Men","classification.ores.articletopic/Culture.Media.Media*|942|classification.ores.articletopic/Culture.Media.Films|994|classification.ores.articletopic/History and Society.Society|721","Q4120892","tt0477348","No Country for Old Men","not exact match",NA,NA
"El otro hijo","classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|999|classification.ores.articletopic/Geography.Regions.Americas.South_America|880","Q121523387","tt22024112","The Other Son","not exact match",NA,NA
"Mumblecore","classification.ores.articletopic/Culture.Media.Films|994|classification.ores.articletopic/Culture.Media.Media*|992","Q1108032","tt2679480","Sulemani Keeda","not exact match",NA,NA
"Gambit (película)","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Culture.Literature|645|classification.ores.articletopic/Culture.Media.Films|985|recommendation.image_section/exists|1","Q42307675","tt3729594",NA,NA,NA,NA
"Cine en 2015","classification.ores.articletopic/Culture.Media.Media*|643|classification.ores.articletopic/Culture.Media.Films|995","Q13553713","tt3569230","Legend","not exact match",NA,NA
"Asfixiados (película de 2023)","classification.ores.articletopic/Culture.Media.Films|1000|classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Geography.Regions.Americas.South_America|793","Q117383503","tt6969060","Episode #1.44","not exact match",NA,NA
"Premios y nominaciones de Breaking Bad","classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Culture.Media.Television|885|classification.ores.articletopic/Culture.Media.Media*|957","Q115889","tt0903747","Breaking Bad","not exact match",NA,NA
"Wookiee","classification.ores.articletopic/Culture.Literature|900|classification.ores.articletopic/Culture.Media.Media*|885|classification.ores.articletopic/Culture.Media.Films|950","Q1750900","tt0066434","THX 1138","not exact match",NA,NA
"Powerhouse Animation Studios","classification.ores.articletopic/History and Society.Business and economics|522|classification.ores.articletopic/STEM.Computing|410|classification.ores.articletopic/Culture.Media.Films|664|classification.ores.articletopic/Culture.Media.Video games|893|classification.ores.articletopic/Culture.Media.Media*|970|classification.ores.articletopic/Culture.Literature|708|classification.ores.articletopic/Culture.Internet culture|928|recommendation.link/exists|1","Q7236723","tt6517102","Castlevania","not exact match",NA,NA
