"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Charles Williams","classification.ores.articletopic/Geography.Regions.Europe.Europe*|615|classification.ores.articletopic/Culture.Biography.Biography*|964|classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|507|classification.ores.articletopic/Culture.Media.Media*|847","Q52160410","nm1392619","Charles Williams","match",NA,NA
"Gael García Bernal","classification.ores.articletopic/Geography.Regions.Americas.North America|557|classification.ores.articletopic/Culture.Biography.Biography*|881|classification.ores.articletopic/Culture.Media.Media*|903","Q179576","nm0305558","Gael García Bernal","match",NA,NA
"Brian Hibbard","classification.ores.articletopic/Culture.Media.Television|605|classification.ores.articletopic/Culture.Biography.Biography*|908|recommendation.link/exists|1","Q561383","nm0382469","Brian Hibbard","match",NA,NA
"Edward Albee","classification.ores.articletopic/Culture.Performing_arts|912|classification.ores.articletopic/Culture.Biography.Biography*|952|classification.ores.articletopic/Geography.Regions.Americas.North_America|685|recommendation.image_section/exists|1","Q219420","nm16361",NA,NA,NA,NA
"Mahalia Jackson","classification.ores.articletopic/Geography.Regions.Americas.North America|753|classification.ores.articletopic/Culture.Biography.Women|907|classification.ores.articletopic/Culture.Media.Music|519|classification.ores.articletopic/Culture.Biography.Biography*|988|classification.ores.articletopic/History and Society.History|748|classification.ores.articletopic/History and Society.Society|363","Q206466","nm0413810","Mahalia Jackson","match",NA,NA
"James Mason","classification.ores.articletopic/Culture.Media.Films|445|classification.ores.articletopic/Culture.Biography.Biography*|872|classification.ores.articletopic/Culture.Media.Media*|704","Q209186","nm0000051","James Mason","match",NA,NA
"Dylan O'Brien","classification.ores.articletopic/Culture.Media.Media*|845|classification.ores.articletopic/Culture.Biography.Biography*|903|classification.ores.articletopic/Culture.Media.Films|504|recommendation.link/exists|1","Q714458","nm3729721","Dylan O'Brien","match",NA,NA
"Andy Warhol","classification.ores.articletopic/Geography.Regions.Americas.North America|568|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Visual arts.Visual arts*|772|recommendation.link/exists|1|recommendation.image_section/exists|1","Q5603","nm0912238","Andy Warhol","match",NA,NA
"Salma Hayek","classification.ores.articletopic/Culture.Media.Media*|795|classification.ores.articletopic/Culture.Biography.Biography*|921|classification.ores.articletopic/History and Society.Society|400|classification.ores.articletopic/Geography.Regions.Americas.North America|647|classification.ores.articletopic/Culture.Biography.Women|675","Q125106","nm0000161","Salma Hayek","match",NA,NA
"Sherry Vine","classification.ores.articletopic/Geography.Regions.Americas.North America|555|classification.ores.articletopic/Culture.Media.Media*|829|classification.ores.articletopic/Culture.Biography.Biography*|466|classification.ores.articletopic/History and Society.Society|782","Q3403724","nm1564418",NA,NA,NA,NA
"Helen Mirren","classification.ores.articletopic/Culture.Media.Media*|812|classification.ores.articletopic/History and Society.History|156|classification.ores.articletopic/History and Society.Society|330|classification.ores.articletopic/Culture.Biography.Biography*|881","Q349391","nm0000545","Helen Mirren","match",NA,NA
