"title","wikibase_item","Distributor"
"Unter Piratenflagge","Q1425815","distributor = [[Warner Bros. Pictures, Inc.]] --> "
"Savva – Ein Held rettet die Welt","Q21644285","distributor = Signature Entertainment--> '''Savva – Ein Held rettet die Welt''' (Auch: '''A Warrior’s Tail''', '''Savva: Heart of the Warrior''', {{ruS"
"Der Angriff der Gegenwart auf die übrige Zeit","Q7714702","distributor = [[Filmwelt]] (1985) (West Germany) (theatrical)<br />[[Edition Filmmuseum]] (2007) (worldwide) (DVD) "
