"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Alexander Stevens","classification.ores.articletopic/Culture.Biography.Biography*|995","Q1274331","nm10354923","Alexander Stevens","match","nm7683121",NA
"Casper (Rapper)","classification.ores.articletopic/Culture.Media.Media*|966|classification.ores.articletopic/Culture.Media.Music|966|classification.ores.articletopic/Culture.Biography.Biography*|874|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|500","Q324686","nm5424601",NA,NA,"nm0143840",NA
"Ronja Räubertochter","classification.ores.articletopic/Culture.Biography.Biography*|899|classification.ores.articletopic/Culture.Literature|934|classification.ores.articletopic/Culture.Biography.Women|874","Q1144655","nm4265848","Axel Bergstedt","not exact match",NA,NA
"Taylor Swift/Diskografie","classification.ores.articletopic/Culture.Media.Music|991|classification.ores.articletopic/Culture.Biography.Women|592|classification.ores.articletopic/Culture.Biography.Biography*|831|classification.ores.articletopic/Culture.Media.Media*|990","Q276736","nm2357847","Taylor Swift","not exact match",NA,NA
"Molly C. Quinn","classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/Culture.Biography.Biography*|888","Q36195","nm2829369",NA,NA,"nm0703939",NA
"Die Antwoord","classification.ores.articletopic/Culture.Media.Music|980|classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Geography.Regions.Africa.Southern_Africa|699|recommendation.image_section/exists|1","Q23376","nm4137949","Die Antwoord","match",NA,NA
"Ahmad Mansour (Autor)","classification.ores.articletopic/Geography.Regions.Europe.Europe*|607|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|731","Q17122133","nm9517475",NA,NA,"nm9074042",NA
"H. H. Holmes","classification.ores.articletopic/Geography.Regions.Americas.North America|942|classification.ores.articletopic/Culture.Biography.Biography*|837|classification.ores.articletopic/History and Society.History|211","Q360680","nm1525949","H.H. Holmes","not exact match",NA,NA
"Matthew Gray Gubler","classification.ores.articletopic/Culture.Media.Media*|745|classification.ores.articletopic/Culture.Biography.Biography*|909","Q313501","nm1693763",NA,NA,"nm1131557",NA
"Mariana Mazzucato","classification.ores.articletopic/Geography.Regions.Europe.Europe*|569|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Biography.Women|679","Q15127513","nm0187618","Carlo Cresto-Dina","not exact match","nm5646743",NA
"Hafþór Júlíus Björnsson","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|887|classification.ores.articletopic/Culture.Sports|766|classification.ores.articletopic/Geography.Regions.Europe.Europe*|822|classification.ores.articletopic/Culture.Biography.Biography*|987","Q5638484","nm5491087",NA,NA,"nm5485781",NA
"Die Amigos","classification.ores.articletopic/Geography.Regions.Europe.Europe*|768|classification.ores.articletopic/Culture.Media.Music|395|classification.ores.articletopic/Culture.Biography.Biography*|338|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|919","Q1211016","nm3107404","Karl-Heinz Ulrich","not exact match",NA,NA
"Emily VanCamp","classification.ores.articletopic/Geography.Regions.Americas.North America|641|classification.ores.articletopic/Culture.Media.Entertainment|443|classification.ores.articletopic/Culture.Biography.Biography*|911|classification.ores.articletopic/Culture.Biography.Women|756|classification.ores.articletopic/Culture.Media.Television|701|classification.ores.articletopic/Culture.Media.Media*|738|recommendation.image_section/exists|1","Q233216","nm0888488",NA,NA,"nm0885840",NA
"Simple Minds","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Biography.Biography*|803|classification.ores.articletopic/Culture.Media.Music|998","Q748836","nm1178271","Charlie Burchill","not exact match","nm1277477",NA
"Katrin Heß","classification.ores.articletopic/Culture.Media.Media*|754|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Culture.Media.Films|615|classification.ores.articletopic/Culture.Biography.Women|685|classification.ores.articletopic/Geography.Regions.Europe.Europe*|531","Q77085","nm2960107",NA,NA,"nm2736164",NA
"Paul Potts","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|577|classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Media.Music|945|classification.ores.articletopic/Culture.Biography.Biography*|863|classification.ores.articletopic/Geography.Regions.Europe.Europe*|651","Q165418","nm2698399",NA,NA,"nm2275849",NA
"Christo und Jeanne-Claude","classification.ores.articletopic/History and Society.History|268|classification.ores.articletopic/Culture.Biography.Biography*|595","Q158477","nm0160462","Christo","not exact match","nm3409843",NA
"Dean Norris","classification.ores.articletopic/Culture.Media.Media*|787|classification.ores.articletopic/Culture.Media.Films|731|classification.ores.articletopic/Culture.Biography.Biography*|996","Q432385","nm0635791",NA,NA,"nm0606487",NA
"SSIO","classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Culture.Biography.Biography*|798|classification.ores.articletopic/Culture.Media.Music|984","Q15843629","nm9142705",NA,NA,"nm7194138",NA
"Bligg","classification.ores.articletopic/Geography.Regions.Europe.Europe*|855|classification.ores.articletopic/Culture.Media.Music|724|classification.ores.articletopic/Culture.Biography.Biography*|644|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|921|classification.ores.articletopic/Culture.Media.Media*|705","Q562327","nm8445504","Bligg","match",NA,NA
"VoXXclub","classification.ores.articletopic/Culture.Biography.Women|672|classification.ores.articletopic/Culture.Biography.Biography*|705|classification.ores.articletopic/Culture.Media.Media*|941|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|884|classification.ores.articletopic/Culture.Media.Music|953|classification.ores.articletopic/Geography.Regions.Europe.Europe*|718","Q15067123","nm6224550","Voxxclub","not exact match",NA,NA
"Maxim Gorki","classification.ores.articletopic/Geography.Regions.Europe.Europe*|912|classification.ores.articletopic/Culture.Biography.Biography*|831|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|896|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|880|classification.ores.articletopic/Geography.Regions.Asia.Asia*|835","Q12706","nm0233091","Mark Donskoy","not exact match","nm0331003",NA
"Ginnifer Goodwin","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Geography.Regions.Americas.North_America|777|classification.ores.articletopic/Culture.Biography.Women|887|classification.ores.articletopic/Culture.Biography.Biography*|981|recommendation.image_section/exists|1","Q109522","nm1045423",NA,NA,"nm0329481",NA
"Michael A. Grimm","classification.ores.articletopic/Culture.Media.Films|699|classification.ores.articletopic/Culture.Biography.Biography*|932|classification.ores.articletopic/Geography.Regions.Europe.Europe*|562","Q1926730","nm1005525",NA,NA,"nm0342292",NA
"V (Sänger)","classification.ores.articletopic/Geography.Regions.Asia.Asia*|928|classification.ores.articletopic/Culture.Biography.Biography*|859|classification.ores.articletopic/Culture.Media.Media*|991|classification.ores.articletopic/Culture.Media.Music|995|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|946|recommendation.image_section/exists|1","Q18388296","nm8081230",NA,NA,"nm6229009",NA
"Luigi Colani","classification.ores.articletopic/Geography.Regions.Europe.Western Europe|778|classification.ores.articletopic/Culture.Biography.Biography*|951|classification.ores.articletopic/History and Society.Transportation|398","Q61130","nm4558656","Solon Luigi","not exact match","nm1581007",NA
"Claudia Rieschel","classification.ores.articletopic/Geography.Regions.Europe.Europe*|622|classification.ores.articletopic/Culture.Biography.Women|699|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|743|classification.ores.articletopic/Culture.Media.Films|712|classification.ores.articletopic/Culture.Biography.Biography*|991","Q111590","nm0726341",NA,NA,"nm0720189",NA
"Lis Verhoeven","classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|718|classification.ores.articletopic/Culture.Media.Media*|523|classification.ores.articletopic/Geography.Regions.Europe.Europe*|771|classification.ores.articletopic/Culture.Biography.Biography*|983","Q73737","nm0894197",NA,NA,"nm0886846",NA
"Katrin Müller-Hohenstein","classification.ores.articletopic/Geography.Regions.Europe.Europe*|944|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|871|classification.ores.articletopic/History and Society.History|161|classification.ores.articletopic/Culture.Biography.Biography*|983|classification.ores.articletopic/Culture.Biography.Women|764","Q1736731","nm2172382",NA,NA,"nm2120461",NA
"Elsa Jean","classification.ores.articletopic/Geography.Regions.Americas.North_America|749|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Biography.Women|777|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|1000","Q23906424","nm7531728",NA,NA,"nm1161268",NA
"Stanley Kamel","classification.ores.articletopic/Culture.Media.Media*|569|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Biography.Women|531","Q1390865","nm0436528",NA,NA,"nm0112070",NA
"Fall Elisa Lam","classification.ores.articletopic/STEM.STEM*|651|classification.ores.articletopic/Culture.Biography.Biography*|562","Q18926761","nm1546922","Elisa Lam","not exact match",NA,NA
"Mehran Karimi Nasseri","classification.ores.articletopic/Geography.Regions.Europe.Europe*|787|classification.ores.articletopic/Culture.Biography.Biography*|924|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|569","Q357951","nm10454013",NA,NA,"nm1166606",NA
"Eike Schweikhardt","classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Media.Films|901|classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|600|classification.ores.articletopic/Geography.Regions.Europe.Europe*|585","Q1303779","nm0777796",NA,NA,"nm0777791",NA
"Purple Schulz","classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|749|classification.ores.articletopic/Geography.Regions.Europe.Europe*|622|classification.ores.articletopic/Culture.Media.Media*|963|classification.ores.articletopic/Culture.Media.Music|976|classification.ores.articletopic/Culture.Biography.Biography*|754","Q33064","nm2269711","Purple Schulz","match",NA,NA
"John E. Douglas","classification.ores.articletopic/Geography.Regions.Americas.North America|794|classification.ores.articletopic/Culture.Biography.Biography*|975|recommendation.image/exists|1","Q724506","nm0235123","John Douglas","not exact match",NA,NA
"Martin Garrix","classification.ores.articletopic/Culture.Biography.Biography*|718|classification.ores.articletopic/Culture.Media.Music|946|classification.ores.articletopic/Culture.Media.Media*|946","Q14544318","nm6424186",NA,NA,"nm5242450",NA
"Denis Cuspert","classification.ores.articletopic/Culture.Biography.Biography*|872","Q1200831","nm6920837",NA,NA,"nm4378777",NA
"Karen Fukuhara","classification.ores.articletopic/Culture.Biography.Biography*|945","Q22277846","nm7250922",NA,NA,"nm7232332",NA
"David Byrne (Musiker)","classification.ores.articletopic/Culture.Media.Music|938|classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Biography.Biography*|812","Q336640","nm0527542","Adelle Lutz","not exact match","nm0126154",NA
"Lina Wendel","classification.ores.articletopic/Culture.Biography.Biography*|994|classification.ores.articletopic/Culture.Media.Films|968|classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Geography.Regions.Europe.Europe*|615|classification.ores.articletopic/Culture.Biography.Women|546","Q22137150","nm0920810",NA,NA,"nm0920808",NA
"Carolina Vera","classification.ores.articletopic/Culture.Biography.Biography*|934|classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Culture.Media.Films|665","Q1044424","nm0893586",NA,NA,"nm0820048",NA
"Michael Trucco","classification.ores.articletopic/Culture.Biography.Biography*|929|classification.ores.articletopic/Culture.Media.Media*|782|classification.ores.articletopic/Geography.Regions.Americas.North America|668","Q635974","nm0874001",NA,NA,"nm0873998",NA
"Ashanti (Sängerin)","classification.ores.articletopic/Culture.Biography.Biography*|968|classification.ores.articletopic/Culture.Media.Music|767|classification.ores.articletopic/Culture.Biography.Women|932|classification.ores.articletopic/Culture.Media.Media*|717|classification.ores.articletopic/Geography.Regions.Americas.North America|604","Q161877","nm1215338",NA,NA,"nm0038680",NA
"Philip Noah Schwarz","classification.ores.articletopic/Culture.Media.Media*|939|classification.ores.articletopic/Culture.Biography.Biography*|798|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|637","Q47502748","nm9973558",NA,NA,"nm8539069",NA
"Susanne Sigl","classification.ores.articletopic/Geography.Regions.Europe.Europe*|787|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|976|classification.ores.articletopic/Culture.Media.Music|992","Q63986156","nm0447235","Susanne Kemmler","not exact match",NA,NA
"Asa Akira","classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Geography.Regions.Americas.North_America|843|classification.ores.articletopic/Culture.Biography.Biography*|953|classification.ores.articletopic/Culture.Biography.Women|651|classification.ores.articletopic/Culture.Media.Films|1000","Q233092","nm2990250",NA,NA,"nm2670531",NA
"Little Big","classification.ores.articletopic/Culture.Media.Television|798|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|615|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|798|classification.ores.articletopic/Culture.Media.Music|938|classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Geography.Regions.Europe.Europe*|926|classification.ores.articletopic/Geography.Regions.Asia.Asia*|554|classification.ores.articletopic/Culture.Biography.Biography*|523","Q24261863","nm7291534","Yaroslav Andreev","not exact match",NA,NA
"Jörg Schönbohm","classification.ores.articletopic/Geography.Regions.Europe.Europe*|859|classification.ores.articletopic/Culture.Biography.Biography*|932|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|851","Q88352","nm2213636",NA,NA,"nm2196356",NA
"Virginie Efira","classification.ores.articletopic/Culture.Media.Media*|880|classification.ores.articletopic/Culture.Biography.Biography*|554|recommendation.image_section/exists|1","Q3560737","nm1812637","Virginie Efira","match",NA,NA
"Kat Frankie","classification.ores.articletopic/Geography.Regions.Oceania|966|classification.ores.articletopic/Culture.Biography.Biography*|969|classification.ores.articletopic/Culture.Media.Music|129|classification.ores.articletopic/History and Society.Politics and government|759","Q1735512","nm2524611","Kat Frankie","match",NA,NA
"Wilson Phillips","classification.ores.articletopic/Culture.Media.Music|1000|classification.ores.articletopic/Geography.Regions.Americas.North_America|705|classification.ores.articletopic/Culture.Biography.Biography*|867|classification.ores.articletopic/Culture.Biography.Women|831|classification.ores.articletopic/Culture.Media.Media*|1000","Q1358683","nm1674684","Wilson Phillips","match",NA,NA
"Greg Germann","classification.ores.articletopic/Culture.Media.Media*|615|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Culture.Biography.Biography*|996","Q740511","nm0314548",NA,NA,"nm0314524",NA
"Hollywood Vampires","classification.ores.articletopic/Culture.Media.Music|1000|classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Culture.Media.Media*|1000|recommendation.image_section/exists|1","Q21158994","nm7610716","Hollywood Vampires","match",NA,NA
"Julija Olegowna Wolkowa","classification.ores.articletopic/Culture.Biography.Women|802|classification.ores.articletopic/Culture.Media.Music|195|classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/History and Society.Society|808","Q228832","nm1290094",NA,NA,"nm0901554",NA
"Marcus Staiger","classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Media*|917|classification.ores.articletopic/Culture.Media.Music|651","Q1894367","nm8271081","Marcus Staiger","match","nm0821550",NA
"Margie Kinsky","classification.ores.articletopic/Culture.Biography.Biography*|990|classification.ores.articletopic/Geography.Regions.Europe.Europe*|712","Q1895261","nm2369441",NA,NA,"nm1840545",NA
"Nicolas Anelka","classification.ores.articletopic/Culture.Sports|996|classification.ores.articletopic/Culture.Biography.Biography*|787|classification.ores.articletopic/Geography.Regions.Europe.Europe*|692","Q1939","nm1343894","Nicolas Anelka","match",NA,NA
"Doja Cat/Diskografie","classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Music|999|classification.ores.articletopic/Culture.Biography.Biography*|754","Q85850471","nm9798310","Doja Cat","not exact match",NA,NA
"Emily Willis","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Geography.Regions.Americas.North_America|577|classification.ores.articletopic/Culture.Biography.Biography*|982|classification.ores.articletopic/Culture.Media.Films|1000","Q56057107","nm9706638",NA,NA,"nm6191647",NA
"Freddy Rodríguez","classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Culture.Media.Films|963|classification.ores.articletopic/Culture.Biography.Biography*|855|classification.ores.articletopic/Geography.Regions.Americas.North_America|651","Q362697","nm0735843",NA,NA,"nm0135585",NA
"Fernando Pessoa","classification.ores.articletopic/Culture.Biography.Biography*|682|classification.ores.articletopic/Geography.Regions.Europe.Southern Europe|739|classification.ores.articletopic/Geography.Regions.Europe.Europe*|769|recommendation.image_section/exists|1","Q173481","nm0676076","Fernando Pessoa","match",NA,NA
"Hans Sarpei","classification.ores.articletopic/Culture.Sports|904|classification.ores.articletopic/Culture.Biography.Biography*|960","Q316388","nm2626490","Pia Sarpei","not exact match","nm5067538",NA
"André 3000","classification.ores.articletopic/Culture.Media.Music|980|classification.ores.articletopic/Culture.Media.Media*|965|classification.ores.articletopic/Culture.Biography.Biography*|800|classification.ores.articletopic/Geography.Regions.Americas.North America|637","Q448837","nm0238803",NA,NA,"nm0071275",NA
"Hermann Nitsch","classification.ores.articletopic/Culture.Biography.Biography*|956|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|523|classification.ores.articletopic/Geography.Regions.Europe.Europe*|531","Q651376","nm00633002",NA,NA,"nm0633002",NA
"Dean Potter","classification.ores.articletopic/Culture.Sports|658|classification.ores.articletopic/Culture.Biography.Biography*|909","Q345788","nm2834027",NA,NA,"nm2552345",NA
"Dua Lipa/Diskografie","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Biography.Biography*|932|classification.ores.articletopic/Culture.Biography.Women|787|classification.ores.articletopic/Culture.Media.Music|995","Q29511951","nm7645984","Dua Lipa","not exact match",NA,NA
"Morgan Freeman/Filmografie","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Culture.Media.Films|952|classification.ores.articletopic/Culture.Biography.Biography*|699","Q13806592","nm0000151","Morgan Freeman","not exact match",NA,NA
"Heiko Ruprecht","classification.ores.articletopic/Culture.Biography.Biography*|926|classification.ores.articletopic/Geography.Regions.Europe.Europe*|607|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|607","Q1594701","nm2282740",NA,NA,"nm1127319",NA
"Arne-Carlos Böttcher","classification.ores.articletopic/Culture.Biography.Biography*|919|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|500|classification.ores.articletopic/Geography.Regions.Europe.Europe*|500","Q104521370","nm12191639",NA,NA,"nm11397342",NA
"Wolfgang Dalheimer","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Biography.Biography*|938|classification.ores.articletopic/Culture.Media.Music|998|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|665|classification.ores.articletopic/Geography.Regions.Europe.Europe*|585","Q104744335","nm0197914","Wolfgang Norman Dalheimer","not exact match",NA,NA
"Rick Ross","classification.ores.articletopic/Geography.Regions.Americas.North America|732|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/History and Society.Society|388|classification.ores.articletopic/Culture.Biography.Biography*|542|classification.ores.articletopic/Culture.Media.Music|751|recommendation.image_section/exists|1","Q297831","nm2235445",NA,NA,"nm1623625",NA
"Frank-Otto Schenk","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Biography.Biography*|546|classification.ores.articletopic/Culture.Media.Films|826","Q1442811","nm1925129",NA,NA,"nm0770884",NA
"Lady Gaga/Diskografie","classification.ores.articletopic/Culture.Biography.Biography*|737|classification.ores.articletopic/Culture.Biography.Women|629|classification.ores.articletopic/Culture.Media.Music|966|classification.ores.articletopic/Culture.Media.Media*|969","Q568635","nm3078932","Lady Gaga","not exact match",NA,NA
"Kate Hall","classification.ores.articletopic/History and Society.History|131|classification.ores.articletopic/Culture.Biography.Women|930|classification.ores.articletopic/Culture.Biography.Biography*|987|classification.ores.articletopic/Geography.Regions.Europe.Europe*|863|classification.ores.articletopic/Culture.Media.Television|538","Q537630","nm4979857","Kate Hall","match","nm2520288",NA
"Martin Kove","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Culture.Media.Films|964|classification.ores.articletopic/Culture.Biography.Biography*|998","Q508795","nm0468379",NA,NA,"nm0184392",NA
"Eugène François Vidocq","classification.ores.articletopic/Culture.Biography.Biography*|932|classification.ores.articletopic/Geography.Regions.Europe.Europe*|860","Q122818","nm0622772","René Navarre","not exact match","nm0896520",NA
"Siobhán Donaghy","classification.ores.articletopic/Culture.Media.Music|808|classification.ores.articletopic/Culture.Media.Media*|663|classification.ores.articletopic/Culture.Biography.Biography*|943|recommendation.image_section/exists|1","Q236240","nm1104281",NA,NA,"nm0231908",NA
"John Farnham","classification.ores.articletopic/Culture.Media.Music|1000|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Biography.Biography*|867|classification.ores.articletopic/Geography.Regions.Oceania|884","Q22072","nm0267867",NA,NA,"nm0267866",NA
