"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Akshay Kumar filmography","classification.ores.articletopic/Culture.Biography.Biography*|644|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Culture.Media.Films|877|classification.ores.articletopic/Geography.Regions.Asia.Asia*|914|classification.ores.articletopic/Geography.Regions.Asia.South_Asia|907|classification.ores.drafttopic/Culture.Media.Films|507|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|846|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|955|classification.ores.drafttopic/Culture.Media.Media*|645","Q4701811","nm0474774","Akshay Kumar","not exact match",NA,NA
"N.W.A","classification.ores.articletopic/Culture.Biography.Biography*|592|classification.ores.articletopic/Culture.Media.Music|945|classification.ores.articletopic/Culture.Media.Media*|939|classification.ores.drafttopic/Culture.Media.Music|956|classification.ores.drafttopic/Culture.Media.Media*|971|recommendation.image_section/exists|1","Q216856","nm1003900","Jonathan Herman","not exact match",NA,NA
"Ada Lovelace","classification.ores.articletopic/Culture.Biography.Biography*|585|classification.ores.drafttopic/STEM.STEM*|599|classification.ores.drafttopic/Culture.Biography.Biography*|800|classification.ores.drafttopic/Culture.Biography.Women|615|classification.ores.drafttopic/Culture.Literature|636|classification.ores.drafttopic/Geography.Regions.Europe.Northern Europe|583","Q7259","nm7104940","Lily Lesser","not exact match",NA,NA
"Puneeth Rajkumar","classification.ores.articletopic/Geography.Regions.Asia.South_Asia|965|classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Films|988|classification.ores.articletopic/Culture.Biography.Biography*|554|classification.ores.articletopic/Geography.Regions.Asia.Asia*|959|classification.ores.drafttopic/Geography.Regions.Asia.Asia*|852|classification.ores.drafttopic/Geography.Regions.Asia.South Asia|993|classification.ores.drafttopic/Culture.Biography.Biography*|602","Q3351697","nm4272017",NA,NA,"nm2500160",NA
"Lily Allen","classification.ores.articletopic/Culture.Media.Music|737|classification.ores.articletopic/Culture.Biography.Biography*|712|classification.ores.articletopic/Culture.Media.Media*|904|classification.ores.drafttopic/Culture.Media.Media*|944|classification.ores.drafttopic/Culture.Biography.Biography*|667|classification.ores.drafttopic/Culture.Media.Music|508|recommendation.image_section/exists|1","Q58735","nm2376025",NA,NA,"nm0020770",NA
"Joseph Baena","classification.ores.articletopic/Culture.Biography.Biography*|948|classification.ores.articletopic/Culture.Biography.Women|546|classification.ores.articletopic/Geography.Regions.Americas.North_America|685|classification.ores.drafttopic/Culture.Biography.Biography*|571|classification.ores.drafttopic/Culture.Media.Television|573|classification.ores.drafttopic/Culture.Media.Media*|513","Q23800185","nm10410671",NA,NA,NA,NA
"Sylvester Stallone filmography","classification.ores.articletopic/Culture.Media.Media*|955|classification.ores.articletopic/Culture.Media.Films|975|classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Geography.Regions.Americas.North_America|665|classification.ores.drafttopic/Culture.Media.Films|937|classification.ores.drafttopic/Culture.Media.Media*|955","Q904465","nm0000230","Sylvester Stallone","not exact match",NA,NA
"Stephen ""tWitch"" Boss","classification.ores.articletopic/Culture.Biography.Biography*|976|classification.ores.articletopic/Culture.Media.Films|615|classification.ores.articletopic/Culture.Media.Media*|705|classification.ores.drafttopic/Culture.Media.Television|852|classification.ores.drafttopic/Culture.Performing arts|850|classification.ores.drafttopic/Culture.Media.Media*|931|classification.ores.drafttopic/Culture.Biography.Biography*|637","Q17711905","nm2798774",NA,NA,"nm1361042",NA
"Bruce Willis filmography","classification.ores.articletopic/Geography.Regions.Americas.North_America|515|classification.ores.articletopic/Culture.Media.Films|962|classification.ores.articletopic/Culture.Media.Media*|960|classification.ores.articletopic/Culture.Biography.Biography*|679|classification.ores.drafttopic/Geography.Regions.Europe.Europe*|859|classification.ores.drafttopic/Culture.Media.Films|564|classification.ores.drafttopic/Culture.Media.Media*|897","Q4978477","nm0000246","Bruce Willis","not exact match",NA,NA
"Lucky Luciano","classification.ores.articletopic/Culture.Biography.Biography*|749|classification.ores.articletopic/Geography.Regions.Americas.North_America|822|classification.ores.articletopic/History_and_Society.Politics_and_government|867|classification.ores.drafttopic/History and Society.Politics and government|671|recommendation.image_section/exists|1","Q208357","nm0140351","Robert Carricart","not exact match","nm0524592",NA
