"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Jim Beaver","classification.ores.articletopic/Culture.Media.Media*|822|classification.ores.articletopic/Geography.Regions.Americas.North America|783|classification.ores.articletopic/Culture.Biography.Biography*|984|recommendation.image_section/exists|1","Q155378","nm0064769","Jim Beaver","match",NA,NA
"Robbie Williams","classification.ores.articletopic/Culture.Media.Music|1000|classification.ores.articletopic/Culture.Biography.Biography*|901|classification.ores.articletopic/Culture.Media.Media*|1000","Q47875","nm0005560","Robbie Williams","match",NA,NA
"Ariana Grande","classification.ores.articletopic/Culture.Media.Media*|934|classification.ores.articletopic/History and Society.History|162|classification.ores.articletopic/Culture.Biography.Biography*|903|classification.ores.articletopic/Culture.Media.Music|408|classification.ores.articletopic/Culture.Biography.Women|800|classification.ores.articletopic/History and Society.Society|455|recommendation.link/exists|1|recommendation.image_section/exists|1","Q151892","nm3812858","Ariana Grande","match",NA,NA
"Sigrún Edda Björnsdóttir","classification.ores.articletopic/Culture.Biography.Women|719|classification.ores.articletopic/Geography.Regions.Europe.Europe*|756|classification.ores.articletopic/Culture.Biography.Biography*|865|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|961|recommendation.link/exists|1","Q16425479","nm1904539","Sigrún Edda Björnsdóttir","match",NA,NA
"Garðar Thor Cortes","classification.ores.articletopic/Culture.Media.Music|1000|classification.ores.articletopic/Culture.Biography.Biography*|812|classification.ores.articletopic/Culture.Media.Media*|1000","Q338203","nm0181259","Garðar Cortes","not exact match",NA,NA
"Jennifer Aniston","classification.ores.articletopic/Culture.Media.Media*|956|classification.ores.articletopic/Culture.Biography.Women|538|classification.ores.articletopic/Culture.Media.Films|884|classification.ores.articletopic/Geography.Regions.Americas.North_America|665|classification.ores.articletopic/Culture.Biography.Biography*|831","Q32522","nm0000098","Jennifer Aniston","match",NA,NA
"Rihanna","classification.ores.articletopic/Culture.Media.Media*|941|classification.ores.articletopic/Culture.Media.Music|943|classification.ores.articletopic/Culture.Biography.Biography*|776|recommendation.image_section/exists|1","Q36844","nm1982597","Rihanna","match",NA,NA
"Halldóra Geirharðsdóttir","classification.ores.articletopic/Culture.Biography.Women|927|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|626|classification.ores.articletopic/History and Society.History|358|classification.ores.articletopic/Geography.Regions.Europe.Europe*|773|classification.ores.articletopic/Culture.Biography.Biography*|991","Q56450856","nm0311995","Halldóra Geirharðsdóttir","match",NA,NA
"Sólveig Arnarsdóttir","classification.ores.articletopic/Geography.Regions.Europe.Europe*|710|classification.ores.articletopic/History and Society.History|157|classification.ores.articletopic/Culture.Biography.Biography*|634","Q540059","nm0036021","Sólveig Arnarsdóttir","match",NA,NA
"Regis Philbin","classification.ores.articletopic/Culture.Sports|38|classification.ores.articletopic/Culture.Media.Media*|942|classification.ores.articletopic/Culture.Biography.Biography*|953|classification.ores.articletopic/Culture.Media.Entertainment|513|classification.ores.articletopic/Culture.Media.Television|945|classification.ores.articletopic/Geography.Regions.Americas.North America|855","Q463673","nm0005310","Regis Philbin","match",NA,NA
"Beyoncé","classification.ores.articletopic/Culture.Media.Media*|945|classification.ores.articletopic/History and Society.History|254|classification.ores.articletopic/Culture.Biography.Biography*|833|classification.ores.articletopic/History and Society.Society|653|classification.ores.articletopic/Culture.Media.Music|885|recommendation.link/exists|1","Q36153","nm0461498","Beyoncé","match",NA,NA
"Hjálmar Hjálmarsson","classification.ores.articletopic/Culture.Biography.Biography*|806|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|643|recommendation.link/exists|1","Q16427897","nm1202922","Hjálmar Hjálmarsson","match",NA,NA
"Hera Hilmarsdóttir","classification.ores.articletopic/Culture.Media.Films|934|classification.ores.articletopic/Culture.Media.Media*|917|classification.ores.articletopic/Culture.Biography.Biography*|995","Q5894640","nm2623492","Hera Hilmar","not exact match",NA,NA
"Sigurður Sigurjónsson","classification.ores.articletopic/Geography.Regions.Europe.Europe*|624|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|813|classification.ores.articletopic/Culture.Biography.Biography*|478|recommendation.link/exists|1","Q3480955","nm0797610","Sigurður Sigurjónsson","match",NA,NA
"Jóhann Sigurðarson","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|961|classification.ores.articletopic/Geography.Regions.Europe.Europe*|500|classification.ores.articletopic/Culture.Media.Media*|957","Q23772585","nm0797612","Jóhann Sigurðarson","match",NA,NA
"Stefán Karl Stefánsson","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|887|classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/Culture.Media.Films|930|classification.ores.articletopic/Culture.Media.Media*|928|classification.ores.articletopic/Geography.Regions.Europe.Europe*|874|recommendation.link/exists|1|recommendation.image/exists|1","Q962283","nm1133284","Stefán Karl Stefánsson","match",NA,NA
"Emma Watson","classification.ores.articletopic/History and Society.Society|592|classification.ores.articletopic/Culture.Biography.Biography*|891|classification.ores.articletopic/Culture.Media.Media*|875|classification.ores.articletopic/History and Society.History|155|classification.ores.articletopic/Culture.Biography.Women|855","Q39476","nm0914612","Emma Watson","match",NA,NA
"Benedikta Boccoli","classification.ores.articletopic/Culture.Media.Media*|893|classification.ores.articletopic/Culture.Biography.Biography*|896|classification.ores.articletopic/Culture.Media.Films|749","Q2448709","nm2866656","Benedicta Boccoli","not exact match",NA,NA
