"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Áramótaskaup 2013","classification.ores.articletopic/Geography.Regions.Europe.Europe*|904|classification.ores.articletopic/Culture.Media.Television|948|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|949|classification.ores.articletopic/Culture.Media.Films|859","Q65335838","tt11618136","Áramótaskaup 2013","match",NA,NA
"Sigourney Weaver","classification.ores.articletopic/Culture.Media.Films|313|classification.ores.articletopic/Culture.Biography.Women|876|classification.ores.articletopic/Culture.Biography.Biography*|964|classification.ores.articletopic/Culture.Media.Media*|770","Q102124","tt0000244","Erreur judiciaire","not exact match",NA,NA
"Jerry Bruckheimer","classification.ores.articletopic/Geography.Regions.Americas.North America|830|classification.ores.articletopic/Culture.Biography.Biography*|590|classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Culture.Media.Films|312|recommendation.link/exists|1|recommendation.image_section/exists|1","Q217037","tt0777239","The Legacy","not exact match",NA,NA
"The Assassination of Gianni Versace: American Crime Story","classification.ores.articletopic/Culture.Media.Television|984|classification.ores.articletopic/Culture.Media.Films|611|classification.ores.articletopic/Culture.Media.Media*|982","Q43201310","tt2788432","American Crime Story","not exact match",NA,NA
"Chariots of Fire (lag)","classification.ores.articletopic/Culture.Media.Music|989|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Media.Films|877|recommendation.image/exists|1","Q2270248","tt0082158","Chariots of Fire","not exact match",NA,NA
"Fiðrað kókaín","classification.ores.articletopic/Culture.Media.Films|1000|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/STEM.STEM*|569","Q16423893","tt1629271","Feathered Cocaine","not exact match",NA,NA
