"title","wikibase_item","FilmID","status","titleType","primaryTitle","originalTitle","isAdult","startYear","endYear","runtimeMinutes","genres"
"مايكل غامبون","Q203545","tt3734688","not exact match","movie","Cordelia","Cordelia",0,"2019","\N","91","Drama,Horror,Thriller"
"آير فورس إيمي","Q3351955","tt0326596","not exact match","movie","Lesbian Ho'Down at the Bunnyranch","Lesbian Ho'Down at the Bunnyranch",1,"2000","\N","73","Adult"
"كازابلانكا (فيلم 2019)","Q60576357","tt10497826","not exact match","movie","Kasablanka","Casablanca",0,"2019","\N","105","Action,Thriller"
"بني آدم (فيلم)","Q67083871","tt8884336","not exact match","movie","Sons of Adam","Sons of Adam",0,"2018","\N","114","Crime,Drama,Mystery"
"سمير صبري","Q12216883","tt19783870","not exact match","tvMovie","Zekraiaty - Radio Show","Zekraiaty - Radio Show",0,"2016","\N","60","Biography"
"ساندرا بولوك","Q40791","tt0685721","not exact match","tvEpisode","Sandra Bullock","Sandra Bullock",0,"2002","\N","\N","\N"
"محمد محمود عبد العزيز","Q12240986","tt2330934","not exact match","tvSeries","Bab Al Khalk","Bab Al Khalk",0,"2012","\N","45","Comedy,Drama,Thriller"
"كلو جونز","Q432937","tt0159879","not exact match","tvSeries","Howard Stern","Howard Stern",0,"1994","2009","60","Comedy,Talk-Show"
"جون ويك 5","Q121862910","tt12844100","not exact match","movie","John Wick: Chapter 5","John Wick: Chapter 5",0,"\N","\N","\N","Action,Crime,Thriller"
"نيكولاس جاليتزين","Q90902600","tt3064356","not exact match","movie","The Beat Beneath My Feet","The Beat Beneath My Feet",0,"2014","\N","91","Comedy,Drama,Family"
"ريح البحر","Q60572949","tt1860301","not exact match","movie","Parfum de mer","Parfum de mer",0,"2006","\N","106","Drama"
"عمرو جمال (مخرج)","Q57158407","tt20357392","not exact match","tvSeries","Aden: The Art","Aden: The Art",0,"2021","2021","\N","History,Talk-Show"
"كلمة شرف","Q12235816","tt3553418","not exact match","movie","A Word of Honor","Kalimat Sharaf",0,"1972","\N","89","Crime,Drama,Thriller"
"هدى الإتربي","Q63122476","tt14557260","not exact match","tvSeries","Man's Shadow","Man's Shadow",0,"2021","\N","30","Drama"
"جابر جوخدار","Q16120593","tt6048394","not exact match","short","Témoins","Témoins",0,"2016","\N","29","Drama,Short,War"
"ديسكو ديسكو (فيلم)","Q100260292","tt8119582","not exact match","movie","Disco Disco","Disco Disco",0,"1993","\N","\N","Drama"
"قائمة أفلام حرب فيتنام","Q3745434","tt1961336","not exact match","movie","Guns of Victory","Guns of Victory",0,"1981","\N","79","Action,Adventure,Drama"
"تامر فرج","Q111995201","tt12323772","not exact match","tvSeries","Abu Al Arosah","Abu Al Arosah",0,"2017","2017","45","Drama"
"نواز الدين صديقي","Q2995800","tt6420986","not exact match","movie","The Maya Tape","The Maya Tape",0,"\N","\N","100","Horror,Thriller"
"لهيب الانتقام (فيلم)","Q65553933","tt7157034","not exact match","movie","Lahib el-Inteqam","Lahib el-Inteqam",0,"1993","\N","110","Crime,Thriller"
"ريتشارد أرميتاج (ممثل)","Q181806","tt2580600","not exact match","short","Staged","Staged",0,"1999","\N","15","Drama,Short"
"الأمل (فيلم أنمي)","Q11260381","tt1740055","not exact match","movie","Kayoko's Diary","Ushiro no shoumen daare",0,"1991","\N","90","Animation,Drama,War"
"القاهرة منورة بأهلها (فيلم)","Q96757771","tt0442752","not exact match","short","Cairo As Seen by Chahine","Cairo As Seen by Chahine",0,"1991","\N","24","Drama,Short"
"زوي ديشانيل","Q191719","tt1735437","not exact match","video","Havin' a Summah","Havin' a Summah",0,"2010","\N","3","Comedy,Short"
"ثلاثة على الطريق (فيلم)","Q66502359","tt0105571","not exact match","movie","Thalatha ala ettarik","Thalatha ala ettarik",0,"1993","\N","\N","Family,Thriller"
"الحب وحده لا يكفي (فيلم)","Q100257949","tt8535502","not exact match","movie","Al Hob Wahdo La Yakfi","Al Hob Wahdo La Yakfi",0,"1980","\N","110","Drama"
"ديانا الجيرودي","Q16155808","tt6430220","not exact match","short","Morning Fears, Night Chants","Morning Fears, Night Chants",0,"2013","\N","39","Documentary,Short"
"كوربن بلو","Q4617","tt1135510","not exact match","tvSpecial","New Year Sing-A-Long Bowl-A-Thon!","New Year Sing-A-Long Bowl-A-Thon!",0,"2006","\N","90","Family,Music"
"شارع حيفا (فيلم)","Q97280048","tt11160858","not exact match","movie","Sharie Hayfa","Sharie Hayfa",0,"2019","\N","79","Drama,Romance,War"
"نهاية اللعبة (مسرحية)","Q1235448","tt0365162","not exact match","tvMovie","Endgame by Samuel Beckett","Endgame by Samuel Beckett",0,"1991","\N","90","Drama"
"خورخي غارسيا","Q264914","tt1253872","not exact match","movie","When We Were Pirates","When We Were Pirates",0,"\N","\N","\N","Drama"
"وليم فريدكن","Q51582","tt0394072","not exact match","tvEpisode","Off Season","Off Season",0,"1965","\N","60","Crime,Drama,Horror"
"أمل (فيلم)","Q109298233","tt7708788","not exact match","movie","Amal","Amal",0,"2017","\N","83","Documentary"
"عطش (فيلم)","Q12227356","tt0324011","not exact match","movie","Atash","Atash",0,"2001","\N","109","\N"
"فوزية البرجوازية","Q100259341","tt12882162","not exact match","movie","Fawzia el borgwazya","Fawzia el borgwazya",0,"1985","\N","\N","Comedy"
"السينما في الإمارات العربية المتحدة","Q4121010","tt14744136","not exact match","short","Wild Abu Dhabi: The Turtles of Al Dhafra","Wild Abu Dhabi: The Turtles of Al Dhafra",0,"2021","\N","41","Short"
"090 (فيلم)","Q65227629","tt4305760","not exact match","movie","090","090",0,"2014","\N","75","Drama,Thriller"
"هارب من الحياة (فيلم)","Q106937986","tt0373885","not exact match","movie","A Souvenir of Life","Hareb min el hayat",0,"1964","\N","\N","\N"
"علي يا علي (فيلم)","Q60576007","tt6508040","not exact match","tvMovie","Ali Ya Ali","Ali Ya Ali",0,"2017","\N","100","Drama"
"حبيب (فيلم قصير)","Q109298893","tt11162714","not exact match","short","Habib","Habib",0,"2019","\N","23","Drama,Short"
"أفراح صغيرة (فيلم)","Q29512943","tt3644024","not exact match","movie","Petits bonheurs","Petits bonheurs",0,"2016","\N","\N","Drama"
"ويل يان لي","Q974139","tt1054470","not exact match","tvSpecial","2007 AZN Asian Excellence Awards","2007 AZN Asian Excellence Awards",0,"2007","\N","\N","\N"
"أكان لابد يا لي لي أن تضيئي النور (رواية)","Q109299688","tt0379354","not exact match","short","Li Li","Li Li",0,"2001","\N","40","Drama,Short"
"وبعد (فيلم)","Q12250719","tt0356589","not exact match","movie","Et après?","Et après?",0,"2002","\N","92","\N"
"نهار تزاد طفا الضو (فيلم)","Q60576338","tt2403417","not exact match","movie","N8ar Tzad Tfa Dow","N8ar Tzad Tfa Dow",0,"2011","\N","105","Comedy"
"ماك سينيت","Q317574","tt0721407","not exact match","tvEpisode","Mack Sennett","Mack Sennett",0,"1954","\N","30","Biography,Family,Reality-TV"
"ملا علقة","Q100261215","tt8356790","not exact match","movie","Malla 3al2a: Trouble","Malla 3al2a: Trouble",0,"2018","\N","106","Comedy"
"السر في بير (فيلم)","Q100265264","tt0316573","not exact match","movie","The Secret Is in the Well","El serr fi birr",0,"1953","\N","\N","\N"
"إيفا بيرثيستيل","Q3061229","tt1376799","not exact match","tvEpisode","Episode #2.8","Episode #2.8",0,"2009","\N","51","Crime,Drama,Fantasy"
"هذه ليلتي (فيلم 2019)","Q109298871","tt13960300","not exact match","short","This Is My Night","Hazehe laylati",0,"2019","\N","16","Drama,Short"
"خارج التغطية (فيلم مغربي)","Q60576272","tt2949422","not exact match","movie","Hors zone","Hors zone",0,"2013","\N","100","Drama"
"سوزي راندال","Q431529","tt0125315","not exact match","movie","Kiss and Tell","Kiss and Tell",1,"1980","\N","72","Adult"
"ديفيد أوه سيلزنيك","Q72291","tt0429086","not exact match","tvMovie","Shadowing the Third Man","Shadowing the Third Man",0,"2004","\N","60","Documentary"
"كينيث كرانهام","Q1229052","tt0843925","not exact match","tvEpisode","Lend Your Loving Arms","Lend Your Loving Arms",0,"1971","\N","\N","Drama,History,War"
"مدرسة البنات (فيلم)","Q108308231","tt0342727","not exact match","movie","School of Sports and Dancing","Mahad el riada wa el raks",0,"1955","\N","\N","\N"
"عبد المنعم بسيوني","Q109423016","tt1175325","not exact match","movie","Wakr al-ashrar","Wakr al-ashrar",0,"1972","\N","102","Crime"
"بعد 8 ليلا (فيلم 2020)","Q106453290","tt13186470","not exact match","movie","8ight After","8ight After",0,"2020","\N","98","Horror"
"زمن الرفاق","Q29512944","tt1576420","not exact match","movie","Le temps des camarades","Le temps des camarades",0,"2009","\N","103","\N"
"إيديل إبراهيم","Q16211105","tt5645240","not exact match","short","Sega","Sega",0,"2018","\N","\N","Short"
"محاكمة امرأة (فيلم)","Q60576364","tt0404162","not exact match","movie","Jugement d'une femme","Jugement d'une femme",0,"2002","\N","90","Drama"
"فيلم ونس","Q54863885","tt7230320","not exact match","short","Wanas","Wanas",0,"2017","\N","23","Drama,Romance,Short"
"الوشاح الأحمر (فيلم)","Q60576561","tt5310278","not exact match","movie","L'écharpe rouge","L'écharpe rouge",0,"2016","\N","\N","Drama"
"بولنوار (فيلم)","Q60576041","tt3592184","not exact match","movie","Boulanoir","Boulanoir",0,"2014","\N","150","Drama"
"أليسار حسن","Q96782390","tt9298278","not exact match","movie","Mystery of Epilogue","Mystery of Epilogue",0,"\N","\N","\N","Documentary"
"جون اريلاند","Q395494","tt0687109","not exact match","tvEpisode","The Fight Back","The Fight Back",0,"1959","\N","49","Adventure,Western"
"وداعا يا فراشة (فيلم 2021)","Q105044541","tt11410238","not exact match","movie","Goodbye, Butterfly","Goodbye, Butterfly",0,"2021","\N","98","Thriller"
"جائزة زي سيني لأفضل أداء في دور سلبي","Q2603374","tt2241739","not exact match","tvSpecial","Zee Cine Awards 2012","Zee Cine Awards 2012",0,"2012","\N","\N","\N"
"صانع التبن (فيلم 2021)","Q109298075","tt6736300","not exact match","movie","Haymaker","Haymaker",0,"2021","\N","83","Action,Drama"
"ملكة الجريمة","Q27951912","tt6015498","not exact match","movie","The Queen of Crime","Beomjoeui yeowang",0,"2016","\N","103","Comedy,Crime,Thriller"
"كريس مارشال","Q706843","tt2124180","not exact match","movie","Sparks and Embers","Sparks and Embers",0,"2015","\N","88","Comedy,Drama,Romance"
"معركة في الفضاء: هجمات أرمادا (فيلم 2021)","Q105061723","tt13057076","not exact match","movie","Battle in Space: The Armada Attacks","Battle in Space: The Armada Attacks",0,"2021","\N","90","Action,Sci-Fi"
"سعيد أفندي","Q54863900","tt0050925","not exact match","movie","Said effendi","Said effendi",0,"1957","\N","93","\N"
"من قتل سارة (فيلم)","Q109298508","tt3829218","not exact match","movie","Who Killed $arah?!: Vol.1","Who Killed $arah?!: Vol.1",0,"2014","\N","50","Drama,Mystery,Thriller"
"خونة (فيلم 2013)","Q27907958","tt3003758","not exact match","movie","Traitors","Traitors",0,"2013","\N","83","Drama"
"جورج مكاريدي","Q355781","tt0624731","not exact match","tvEpisode","Handful of Fire","Handful of Fire",0,"1961","\N","60","Western"
"تومى ريتيج","Q716718","tt0556586","not exact match","tvEpisode","Davy's Friend","Davy's Friend",0,"1962","\N","30","Western"
"الإدراك (فيلم 2019)","Q106450252","tt7178102","not exact match","movie","The Perception","The Perception",0,"2018","\N","86","Mystery,Thriller"
"تحريك القصائص","Q2291325","tt0471239","not exact match","video","Lotte Reiniger: Homage to the Inventor of the Silhouette Film","Lotte Reiniger: Homage to the Inventor of the Silhouette Film",0,"1999","\N","60","Biography,Documentary"
"مهووس بجليسة الأطفال (فيلم 2021)","Q109298063","tt13807318","not exact match","tvMovie","Obsessed with the Babysitter","Obsessed with the Babysitter",0,"2021","\N","93","Thriller"
"فضيلة أن تكون لا أحد (فيلم 2016)","Q85278529","tt6683920","not exact match","short","The Bliss of Being No One","The Bliss of Being No One",0,"2016","\N","26","Drama,Short"
"جثة ناجي","Q54863902","tt7935122","not exact match","short","Naji's corpse","Naji's corpse",0,"2018","\N","10","Drama,Short"
"بيرنز وألن","Q5000099","tt0023722","not exact match","short","Your Hat","Your Hat",0,"1932","\N","10","Comedy,Short"
"صاعقة برق:مباراة الأحلام تشو جيجن","Q17193395","tt14739018","not exact match","movie","Inazuma Eleven: Chou Jigen Dream Match","Inazuma Eleven: Chou Jigen Dream Match",0,"2014","\N","\N","Sport"
"فارس من دون حصان (فيلم)","Q85797226","tt1929357","not exact match","short","Rider Without a Horse","Rider Without a Horse",0,"2009","\N","12","Comedy,Drama,Short"
"نجوم سقطوا على ألاباما (فيلم 2021)","Q7602313","tt10712928","not exact match","movie","Stars Fell on Alabama","Stars Fell on Alabama",0,"2021","\N","103","Comedy,Drama,Romance"
"وداعا يا عسل (2020)","Q109298955","tt7841954","not exact match","movie","Goodbye Honey","Goodbye Honey",0,"2020","\N","95","Thriller"
"عود الورد (فيلم)","Q60576401","tt2122444","not exact match","movie","Oud al ward","Oud al ward",0,"2007","\N","90","Music"
"كارين شارب","Q3193127","tt0553211","not exact match","tvEpisode","Crisis at High Banjo","Crisis at High Banjo",0,"1963","\N","60","Western"
"هنري هال (ممثل)","Q1340277","tt0624800","not exact match","tvEpisode","The Road to Helena","The Road to Helena",0,"1963","\N","60","Western"
"الطلسم (رواية كينغ وستروب)","Q462454","tt0384580","not exact match","tvSeries","The Talisman","The Talisman",0,"\N","\N","\N","Adventure,Drama,Fantasy"
"هارولد أمينيا","Q93497379","tt11676744","not exact match","tvSeries","Eden","Eden",0,"2020","\N","\N","Drama"
"مكتب الغرام (فيلم)","Q108403337","tt0308542","not exact match","movie","The Marriage Bureau","Maktab el gharam",0,"1950","\N","\N","\N"
"مازن خالد (منتج ومخرج لبناني)","Q106900967","tt2585524","not exact match","short","A Very Dangerous Man","A Very Dangerous Man",0,"2012","\N","16","Drama,Short"
"ستايسي هيدوك","Q293254","tt2343619","not exact match","movie","Level Seven","Level Seven",0,"\N","\N","\N","Action"
"كريستيان ميركادو","Q5186223","tt1777616","not exact match","movie","The 33 of San Jose","Los 33 de San José",0,"2010","\N","86","Drama"
"نذيرا (فيلم)","Q60576542","tt9225222","not exact match","movie","Nadira","Nadira",0,"2021","\N","\N","Crime,Drama"
"اريك ميخائيل كول","Q5387095","tt8372796",NA,NA,NA,NA,NA,NA,NA,NA,NA
"جوليس إرفينغ","Q6305897","tt0207452","not exact match","tvEpisode","Enemies","Enemies",0,"1974","\N","104","Music,Musical"
"أوشتام (فيلم)","Q12181100","tt0356368","not exact match","movie","Aouchtam","Aouchtam",0,"1996","\N","90","\N"
"كريسماس نانتي دايكيراي","Q11254869","tt1105020","not exact match","tvMiniSeries","Xmas nante daikirai","Xmas nante daikirai",0,"2004","\N","\N","Drama"
"حفل توزيع جوائز الغولدن غلوب التاسع والستون","Q8671","tt2125640","not exact match","tvSpecial","The 69th Annual Golden Globe Awards","2012 Golden Globe Awards",0,"2012","\N","\N","News"
"سالبادور إسبينوزا أوروزكو","Q21228734","tt4319230","not exact match","movie","Teokari: Companion on the path","Teokari: Companion on the path",0,"2014","\N","58","Biography,Documentary,History"
"تاريخ على الضفة (فيلم وثائقي)","Q54863944","tt7585494","not exact match","short","History on the Nile Bank","History on the Nile Bank",0,"2017","\N","17","Documentary,History,Short"
"روبرت جيه. فيلكه","Q45553","tt0687086","not exact match","tvEpisode","End of a Dream","End of a Dream",0,"1960","\N","60","Adventure,Western"
"كيفن بوث","Q6395859","tt0462415","not exact match","movie","Martial Law 9/11: Rise of the Police State","Martial Law 9/11: Rise of the Police State",0,"2005","\N","156","Documentary,War"
"أليكس كيلي","Q16218580","tt1604682","not exact match","movie","Nothing Rhymes with Ngapartji","Nothing Rhymes with Ngapartji",0,"2010","\N","57","Biography,Documentary,Drama"
"قصص العابرين (فيلم)","Q79353281","tt7756440","not exact match","movie","Stories of Passers Through","Stories of Passers Through",0,"2017","\N","65","Biography"
"الخادم الصالح والأمين","Q65043434","tt1175603","not exact match","tvEpisode","The Good & Faithful Servant","The Good & Faithful Servant",0,"1967","\N","\N","Drama"
"حفل توزيع جوائز الغولدن غلوب الثامن والستون","Q180813","tt1810776","not exact match","tvSpecial","The 68th Annual Golden Globe Awards","2011 Golden Globe Awards",0,"2011","\N","\N","Comedy,Music"
"عبد الله الوزان (مخرج)","Q91615342","tt6144900","not exact match","short","Soaring Over Mayhem","Soaring Over Mayhem",0,"2024","\N","\N","Drama,Short,Thriller"
"لان برادفورد","Q6485348","tt0556725","not exact match","tvEpisode","Sequoia","Sequoia",0,"1954","\N","25","Western"
"مجنون لمجنون (فيلم 2021)","Q109298076","tt8999492","not exact match","movie","Crazy 2 Crazy","Crazy 2 Crazy",0,"2021","\N","92","Crime,Horror,Thriller"
"استرو (فيلم 2018)","Q55978654","tt6156656","not exact match","movie","Astro","Astro",0,"2018","\N","105","Action,Mystery,Sci-Fi"
"واكاليوود","Q20002690","tt8151734","not exact match","movie","Tebaatusasula","Tebaatusasula",0,"2010","\N","\N","Action"
"جوائز صورة المرأة على الانترنت","Q8030933","tt1223411","not exact match","movie","Bert Stern: Original Madman","Bert Stern: Original Madman",0,"2011","\N","89","Documentary"
"أحلام لم تراودني","Q54863905","tt5478918","not exact match","movie","Dreams I Never Had","Dreams I Never Had",0,"2017","\N","81","Drama"
"غاري هوليوود","Q5525257","tt0716627","not exact match","tvEpisode","Gingerbread Part One","Gingerbread Part One",0,"1993","\N","126","Crime,Drama,Mystery"
"الدمج (مسرحية)","Q6819125","tt1358455","not exact match","short","Merging","Merging",0,"2009","\N","31","Drama,Short"
"آل بارو: مقاتلو الحرية","Q101245275","tt5602304","not exact match","movie","Barrow: Freedom Fighter","Barrow: Freedom Fighter",0,"2016","\N","74","Documentary"
"ديفيد أتراكشي","Q3017422","tt1861355","not exact match","movie","JacK Waltzer: On the Craft of Acting","JacK Waltzer: On the Craft of Acting",0,"2011","\N","256","Documentary"
"Porc Pei (ffilm)","Q13130826","tt0246863","not exact match","movie","Pork Pie","Pork Pie",0,"1998","\N","54","\N"
"Staten Island Catapult","Q7603984","tt0481626","not exact match","movie","The Staten Island Catapult","The Staten Island Catapult",0,"2005","\N","54","Documentary"
"1925 mewn ffilm","Q378565","tt0764829","not exact match","movie","Miracles of Love","Miracles of Love",0,"1925","\N","\N","\N"
"Norma (Oper)","Q320353","tt0339454","not exact match","tvMovie","Norma","Norma",0,"2001","\N","163","Drama,Music"
"Tonfilm","Q848512","tt0231182","not exact match","movie","The Arsonist","Der Brandstifter",0,"1922","\N","\N","Drama"
"Playboy Mansion","Q1783719","tt0355570","not exact match","tvMovie","Playboy: Inside the Playboy Mansion","Playboy: Inside the Playboy Mansion",0,"2002","\N","93","Documentary"
"Blacked Raw","Q83840725","tt8085744","match","tvSeries","Blacked Raw","Blacked Raw",1,"2017","\N","\N","Adult,Drama"
"Tushy Raw","Q104627231","tt10731470","not exact match","tvSeries","Tushy RAW","Tushy RAW",1,"2018","\N","\N","Adult"
"Clown Ferdinand","Q1102827","tt2042867","match","tvSeries","Clown Ferdinand","Clown Ferdinand",0,"1973","1975","30","Family"
"Vivid Entertainment Group","Q629244","tt1672835","not exact match","video","Savanna's Anal Gangbang","Savanna's Anal Gangbang",1,"2010","\N","\N","Adult"
"When I’m Gone (Carter-Lied)","Q14915219","tt2841532",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Kuddelmuddel","Q1250702","tt0487691","match","short","Kuddelmuddel","Kuddelmuddel",0,"1934","\N","16","Short"
"Spreewaldkrimi: Das Geheimnis im Moor","Q1168171","tt5162994","not exact match","tvEpisode","Das Geheimnis im Moor","Das Geheimnis im Moor",0,"2006","\N","89","Crime"
"Der Fall der Generale","Q122890619","tt0336414","match","tvMovie","Der Fall der Generale","Der Fall der Generale",0,"1966","\N","80","Drama,History,War"
"Tunnelmensch","Q1463932","tt0300811","not exact match","tvSeries","Mole People: Life in the World Below","Mole People: Life in the World Below",0,"2001","\N","50","\N"
"Entwicklungshölle","Q2081312","tt2588308","not exact match","tvSeries","Development Hell","Development Hell",0,"2013","\N","\N","Comedy"
"After the Rain","Q20044164","tt7637350","match","movie","After the Rain","Koi wa ameagari no yô ni",0,"2018","\N","112","Drama,Romance,Sport"
"Der trojanische Krieg findet nicht statt","Q1040297","tt0453235","match","tvMovie","Der trojanische Krieg findet nicht statt","Der trojanische Krieg findet nicht statt",0,"1964","\N","105","Drama"
"Private Snafu","Q1141955","tt0305983","not exact match","short","Private Snafu Presents Seaman Tarfu in the Navy","Private Snafu Presents Seaman Tarfu in the Navy",0,"1946","\N","3","Animation,Short"
"Verfilmungen von Werken Goethes","Q19721152","tt0210388","not exact match","tvMovie","Wilhelm Meisters Lehrjahre","Wilhelm Meisters Lehrjahre",0,"1978","\N","98","\N"
"Reel Bad Arabs","Q17591360","tt0443610","not exact match","short","Planet of the Arabs","Planet of the Arabs",0,"2005","\N","9","Short"
"Die Mondscheingasse","Q1214846","tt0093887","not exact match","tvEpisode","La ruelle au clair de lune","La ruelle au clair de lune",0,"1988","\N","90","Drama"
"Zürich – Transit","Q248652","tt0282277","not exact match","tvMovie","Zürich - Transit","Zürich - Transit",0,"1992","\N","70","Comedy,Crime"
"Saat der Angst","Q15040704","tt2821784","not exact match","movie","Pet Peeve","Fuan no tane",0,"2013","\N","87","Horror"
"Afrikanisches Kino","Q387670","tt1357383","not exact match","short","Le divorce","Le divorce",0,"2008","\N","40","Romance,Short"
"Ein Münchner in New York","Q1305033","tt2359997","match","tvSeries","Ein Münchner in New York","Ein Münchner in New York",0,"1979","1994","45","Documentary"
"Satellite Awards 1996","Q1814922","tt8079548","not exact match","video","The First Annual Golden Satellite Awards","The First Annual Golden Satellite Awards",0,"1997","\N","\N","Short"
"Cassis B Staudt","Q115673370","tt0363092","not exact match","movie","Zodiac Sign","Sternzeichen",0,"2003","\N","97","Drama"
"Satellite Awards 1997","Q1727449","tt9887846","not exact match","video","The Second Annual Golden Satellite Awards","The Second Annual Golden Satellite Awards",0,"1998","\N","\N","Short"
"NAACP Image Awards 1997","Q1268913","tt0273047","not exact match","tvSpecial","28th NAACP Image Awards","28th NAACP Image Awards",0,"1997","\N","120","\N"
"B3 Biennale des bewegten Bildes 2017","Q107308394","tt10319056","not exact match","video","Film Pioneer Jonas Mekas Receives the B3 BEN Award","Film Pioneer Jonas Mekas Receives the B3 BEN Award",0,"2017","\N","4","Documentary,Short"
"Kino in Afghanistan","Q2973129","tt1726186","not exact match","movie","Love and Friendship","Ishq Wa Dosti",0,"1946","\N","\N","\N"
"NAACP Image Awards 1996","Q1659594","tt0273046","not exact match","tvSpecial","27th NAACP Image Awards","27th NAACP Image Awards",0,"1996","\N","120","\N"
"National Film Award/Bester Dokumentarfilm","Q1967157","tt0832848","not exact match","movie","AFSPA, 1958","AFSPA, 1958",0,"2006","\N","52","Documentary"
"Ζωή Λάσκαρη","Q8073293","tt0482547","not exact match","tvSpecial","Miss Universe Pageant","Miss Universe Pageant",0,"1959","\N","90","Family,Reality-TV"
"Ίαν ΜακΚέλεν","Q170510","tt0611354","not exact match","tvEpisode","Episode #9.5","Episode #9.5",0,"2002","\N","\N","Talk-Show"
"Μιγκέλ Εράν","Q23226202","tt5969653",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Παραγγελιά!","Q122871103","tt0081304","not exact match","movie","Parangelia!","Parangelia!",0,"1980","\N","87","Crime,Drama"
"Ναγκίσα Όσιμα","Q55403","tt0109003","not exact match","tvEpisode","100 Years of Japanese Cinema","Nihon eiga no hyaku nen",0,"1995","\N","60","Biography,Documentary,History"
"Μπίλι Μπομπ Θόρντον","Q202735","tt0611331","not exact match","tvEpisode","Billy Bob Thornton","Billy Bob Thornton",0,"2002","\N","\N","Talk-Show"
"Σχολή για σωφερίνες","Q98098125","tt0127281","not exact match","movie","Sholi gia soferines","Sholi gia soferines",0,"1964","\N","74","Comedy,Romance"
"Χάιμε Λορέντε","Q55739219","tt7931969",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ερασιτεχνική πορνογραφία","Q2013521","tt0160855","not exact match","video","Seymore and Shane Meet Kathy Willets the Naughty Nymph","Seymore and Shane Meet Kathy Willets the Naughty Nymph",1,"1994","\N","\N","Adult"
"Πάτρικ Στιούαρτ","Q16296","tt0111111","not exact match","short","The Secret of Life on Earth","The Secret of Life on Earth",0,"1993","\N","42","Documentary,Short"
"Ξαβιέ Ντολάν","Q551861","tt5431624",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ανί Ζιραρντό","Q106443","tt1297263","not exact match","tvMovie","Annie Girardot, ainsi va la vie","Annie Girardot, ainsi va la vie",0,"2008","\N","85","Documentary"
"Τζέικομπ Τρέμπλεϊ","Q20965633","tt7343762",NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ντι Μπράντλεϊ Μπέικερ","Q837676","tt0426456","not exact match","videoGame","Fallout: Brotherhood of Steel","Fallout: Brotherhood of Steel",0,"2004","\N","\N","Action,Adventure,Sci-Fi"
"Τζέιμς Κάγκνεϊ","Q94041","tt0669890","not exact match","tvEpisode","Episode #2.6","Episode #2.6",0,"1972","\N","\N","Comedy,Music,Talk-Show"
"Χρυσές Σφαίρες του 2011","Q8671","tt2125640","not exact match","tvSpecial","The 69th Annual Golden Globe Awards","2012 Golden Globe Awards",0,"2012","\N","\N","News"
"Σάμιουελ Φούλερ","Q262479","tt0118004","not exact match","movie","The Typewriter, the Rifle & the Movie Camera","The Typewriter, the Rifle & the Movie Camera",0,"1996","\N","55","Biography,Documentary"
"Κάθι Σάουερ","Q3107024","tt1486760","not exact match","video","Kathy Shower: Playmate Model Mom","Kathy Shower: Playmate Model Mom",0,"2009","\N","60","Documentary"
"Κέιτι Χουράδο","Q259446","tt0556648","not exact match","tvEpisode","La Tules","La Tules",0,"1962","\N","30","Western"
"Βραβεία της Ένωσης Κριτικών Κινηματογράφου του Λος Άντζελες 1983","Q6682166","tt0130268","not exact match","movie","So Is This","So Is This",0,"1982","\N","48","Documentary"
"Futurama (βιντεοπαιχνίδι)","Q235710","tt0377952","not exact match","videoGame","Futurama","Futurama",0,"2003","\N","\N","Action,Adventure,Comedy"
"Βραβεία της Ένωσης Κριτικών Κινηματογράφου του Λος Άντζελες 1992","Q11600356","tt0179900","not exact match","short","It Wasn't Love","It Wasn't Love",0,"1992","\N","20","Short"
"Βραβεία της Ένωσης Κριτικών Κινηματογράφου του Λος Άντζελες 1988","Q6682180","tt0085157","not exact match","movie","Amerika","Amerika",0,"1983","\N","159","\N"
"Bagheera (film)","Q116956514","tt11803630","not exact match","movie","Bagheera","Bagheera",0,"2023","\N","130","Drama,Thriller"
"Willy Wonka","Q738747","tt0401736","not exact match","video","Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory'","Pure Imagination: The Story of 'Willy Wonka and the Chocolate Factory'",0,"2001","\N","30","Documentary,Short"
"AFI's 100 Years...100 Heroes & Villains","Q1610957","tt0369200","not exact match","tvSpecial","AFI's 100 Years... 100 Heroes & Villains","AFI's 100 Years... 100 Heroes & Villains",0,"2003","\N","\N","Documentary"
"Amateur pornography","Q2013521","tt0160855","not exact match","video","Seymore and Shane Meet Kathy Willets the Naughty Nymph","Seymore and Shane Meet Kathy Willets the Naughty Nymph",1,"1994","\N","\N","Adult"
"Yaanai","Q112942234","tt13654122","match","movie","Yaanai","Yaanai",0,"2022","\N","154","Action,Drama,Romance"
"Klaatu barada nikto","Q2033846","tt1346880","not exact match","video","Decoding 'Klaatu Barada Nikto': Science Fiction as Metaphor","Decoding 'Klaatu Barada Nikto': Science Fiction as Metaphor",0,"2008","\N","17","Documentary,Short"
"Movie and Television Review and Classification Board","Q3547087","tt4220788","not exact match","tvEpisode","Manika","Manika",0,"2014","\N","\N","Biography,Drama,Romance"
