"wikibase_item","PersonID","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"Q110145","nm1034608","Russell Bates","\N","\N","director,producer","tt0303798,tt0291853,tt6246356,tt0815847"
"Q63122015","nm1699436","Caroline Labaki","\N","\N","actress,director,costume_designer","tt0825236,tt13676688,tt14822532,tt1772424"
"Q85871720","nm3733325","Bilal Yousef","\N","\N","director,writer,cinematographer","tt1570542,tt21350762,tt3843520"
"Q28717519","nm4545020","Omar Al Mulla","\N","\N","actor","tt11726658,tt8241348,tt1663181,tt28685940"
"Q108652137","nm9045855","Adel Bader Al Deen","\N","\N","actor","tt6981024,tt7662152"
"Q109298448","nm4930568","Ahmed Shokry","\N","\N","actor","tt0346488,tt21308322,tt2119575,tt4138368"
"Q25463652","nm0595686","Mohamed Moftah","\N","\N","assistant_director,actor","tt0342385,tt7928338,tt3109652,tt0202372"
"Q22933066","nm0958060","Hamid Zoughi","\N","\N","actor,production_manager,director","tt15540592,tt0365737,tt0412536,tt3592184"
"Q108444195","nm0014143","Doria Ahmed","\N","\N","actress","tt0316105,tt0315525,tt0202372,tt0342289"
"Q108601417","nm0044075","Ali Azab","\N","\N","actor","tt14118018,tt7444992,tt5618940,tt26345002"
"Q114615341","nm5031944","Samir Rostom","\N","\N","actor","tt21811938,tt9102534,tt2146212,tt6855752"
"Q113500139","nm0619419","Suleiman Naguib","1893","1955","actor,writer","tt0184512,tt0316102,tt0309108,tt0286799"
"Q45107276","nm10073785","Ahmed Sabra","\N","\N","composer","tt0315536,tt0342637,tt0316842"
"Q106518466","nm0955929","El-Sayed Ziada","\N","\N","director,writer,assistant_director","tt0299456,tt0370390,tt0315525,tt0300436"
"Q108562451","nm9991763","Youssef Hussain","\N","\N","actor","tt6511928,tt8346434,tt1807934,tt2476684"
"Q109256177","nm12732088","Kamiran Kanjo","\N","\N","actor","tt14986738,tt15018622"
"Q108583301","nm9202315","Abdelhamid Badawy","\N","\N","actor","tt0370841,tt0310632,tt0358986,tt0039639"
"Q263526","nm8741471","Rina Messinger","\N","\N",NA,"tt0332247,tt0372428"
"Q1148396","nm3843619","Orlando Colon","\N","\N","camera_department,actor,producer","tt1800285,tt0482577"
"Q1653279","nm2628604","Adnen Helali","\N","\N","actor","tt0918645"
"Q109298439","nm4940373","Adel Ammar","\N","\N","actor","tt20765010,tt3834956,tt2290615,tt18265902"
"Q85875963","nm0368346","Nizar Hassan","1960","\N","director,producer,writer","tt4136782,tt2730046,tt0162510,tt1001340"
"Q108633689","nm6242148","Ibrahim Hechmat","\N","\N","actor","tt0370841,tt0347333,tt0317645,tt0310632"
"Q96602917","nm4992659","Usama Al Sharqi","1982","\N","director,writer,producer","tt27658354,tt16914704,tt15654194,tt2348541"
"Q109423016","nm2900576","Abdel Moneim Bassioni","\N","\N","actor","tt27898285,tt27876192,tt0366998,tt0366442"
"Q108337540","nm1326253","Samir Abdallah Lama","\N","\N","actor","tt0292958,tt0271047,tt0276183,tt0253922"
"Q109256200","nm4832375","Abbas Rahmy","\N","\N","actor","tt0316365,tt0366236,tt0360174,tt0281381"
"Q16120777","nm10056372","Orwa Alahmad","\N","\N","director,writer,actor","tt12629890,tt10863028,tt26597330,tt8861940"
"Q109256222","nm9343227","Khaireya Khairy","\N","\N","actress","tt0126341,tt0315525"
"Q109299683","nm9154344","Abdulqader Al Meseri","\N","\N","actor","tt0270920,tt0264568,tt0356131,tt0021570"
"Q108598624","nm9630472","Khaiyri Al Qalyoubi","\N","\N","actor","tt9012268,tt2339881"
"Q122215942","nm5395749","Ahmed Talaat","\N","\N","actor,set_decorator","tt8795912,tt21053544,tt10039524,tt12411074"
"Q109298444","nm6885294","Sayed Ibrahim","\N","\N","actor","tt7158538,tt6833114,tt4167238,tt2234069"
"Q43380737","nm0759787","Waliyyuddin Sameh","\N","\N","director,art_director,writer","tt0304973,tt0038689,tt0042186,tt0038947"
"Q109256203","nm6820928","Saleh Al-Eskandarani","\N","\N","actor","tt4172500,tt0376612,tt6270412,tt0373080"
"Q109298443","nm1930517","Salwa Allam","\N","\N","actress","tt0281387,tt0273504,tt0280806,tt0280572"
"Q23058850","nm0599473","Raquel Montero","\N","\N","actress","tt0239938,tt0269687,tt0212677,tt0278512"
"Q108564827","nm0252864","Abdel Fattah El-Said","\N","\N","writer","tt0359963,tt0207696,tt15164960,tt0193054"
"Q1669960","nm3034373","Kenneth Kitchen","\N","\N",NA,"tt1229946,tt0421095,tt0206470,tt0106077"
"Q20608157","nm10152463","Fifi Maher","\N","\N","actress","tt0315536"
"Q109256189","nm13166391","Asma El-Shal","\N","\N","actress","tt6851884"
"Q9076955","nm2418653","Takuya Sato","\N","\N","actor,music_department,sound_department","tt5894272,tt1279024,tt14727298,tt3247574"
"Q11522997","nm3337216","Shûsei Murai","\N","\N","composer,camera_department,music_department","tt2399537,tt1679482,tt3894916,tt9193508"
"Q109258688","nm10520584","Farag Alnahas","\N","\N","actor","tt0318420,tt0237016,tt14576810,tt0272801"
"Q392633","nm2325216","Mason Gordon","\N","\N","producer,writer,miscellaneous","tt0337560,tt7693156,tt13779024,tt6291724"
"Q109256182","nm2684935","Mounir El Touny","\N","\N","actor,director,producer","tt0374352,tt0372912,tt1051828,tt28023259"
"Q79514771","nm9177087","Sherif Awwad","\N","\N","actor","tt7195498,tt8848248,tt7822914,tt6206240"
"Q109299639","nm10728735","Nahla Al Khatib","\N","\N","actress","tt10386570,tt5649204"
"Q109256201","nm8991789","Abbas El Daly","\N","\N","actor","tt0366442,tt0370939,tt0343163,tt0359491"
"Q12215027","nm2429482","Sara Saidy","1977","\N","actress","tt1326825,tt2137774,tt0887131"
"Q1641565","nm1803433","Colin Newman","1954","\N","producer,soundtrack","tt0490739,tt1729658,tt1360154,tt5126054"
"Q1242318","nm3091150","Santa Esmeralda","\N","\N","soundtrack","tt0120577,tt0266697,tt0243554,tt0295671"
"Q1672322","nm1101712","Ira Glass","1959","\N","writer,producer,editorial_department","tt0805978,tt1418349,tt2077851,tt1398427"
"Q12216072","nm3744964","Saïd El Hajoui","\N","\N","actor","tt1576420"
"Q109256187","nm9185077","Ali Oraby","\N","\N","actor","tt0358987,tt0366442,tt0374058,tt0316221"
"Q108655886","nm0032559","Maurice Aptekman","\N","\N","director,writer,producer","tt0276486,tt0268379,tt0279640"
"Q16290886","nm1169925","Orla McGovern","1968","\N","actress,writer,costume_department","tt3411040,tt2460366,tt1381696,tt4664244"
"Q1647246","nm0792384","Bob Sherman","1940","2004","actor,stunts,writer","tt0076752,tt0094074,tt0167190,tt0091419"
"Q61657324","nm6981033","Charles S. Forsman","\N","\N","writer,miscellaneous","tt4283568,tt9446688,tt6257970"
"Q86845782","nm4672535","Manal Sehaimat","\N","\N","actress,director","tt2055572,tt8923396,tt7481376,tt1754783"
"Q109256220","nm8983641","Rashad Farag","\N","\N","actor","tt7329348,tt5676674,tt6874348,tt25965626"
"Q1655653","nm0870439","Ian Tracey","1964","\N","actor,director,soundtrack","tt0316356,tt0094025,tt0111438,tt1954347"
"Q1665854","nm1961708","Maria Luisa Escobar","1903","1985","composer","tt0465995"
"Q54861478","nm3111705","Iyad Hajjaj","\N","\N","actor,miscellaneous,producer","tt7406334,tt10857164,tt5478918,tt0157246"
"Q2216272","nm3305026","Linda Vojtová","1985","\N",NA,"tt2491540,tt1364369,tt1812448,tt1360688"
"Q6531399","nm4459954","Adam Sabbagh","\N","\N","actor","tt1929310,tt1095213"
"Q108601374","nm3652889","Ezzat Abduljawad","\N","\N","actor","tt0498837,tt0462662,tt8641112,tt5676674"
"Q3663598","nm1131509","Cathy Evelyn Smith","1947","2020","soundtrack,actress","tt1176740,tt0067276,tt13041534,tt0066036"
"Q12204110","nm0304781","Gary Garabedian","\N","\N","director,writer,cinematographer","tt0253957,tt0252812,tt13475434,tt0252251"
"Q56377165","nm0846451","Amid Taftazani","1909","\N","actor","tt0030082,tt0031334"
"Q67334704","nm7781423","Mostafa Hashemzehi","\N","\N","actor","tt9817070,tt7901798,tt5460658,tt5294630"
"Q3111412","nm2206279","Ahmet Sarican","\N","\N","actor","tt2100684,tt0485510,tt22467674,tt7431994"
"Q108585764","nm9626844","Jalal Rajab","\N","\N","actor","tt6525848,tt2354573,tt8951300,tt11061522"
"Q98278958","nm2921515","Ecow Smith-Asante","\N","\N","actor,assistant_director,costume_department","tt3568084,tt4038670,tt12989312,tt8595894"
"Q1651742","nm4832920","Quvenzhané Wallis","2003","\N","actress,soundtrack","tt1823664,tt2024544,tt2125435,tt2582502"
"Q79463769","nm0009470","Mahmud Abu-Jazi","\N","\N","actor","tt1692202,tt4565380,tt8793824,tt1410360"
"Q11504392","nm11520882","Ochi Kojin","\N","\N","director","tt12197120"
"Q1752954","nm5620286","Pawel Maciwoda","\N","\N","actor,music_department","\N"
"Q1677044","nm1112960","Jack Greene","1930","2013","soundtrack","tt0071035,tt0306405,tt9115644,tt0162822"
"Q3696450","nm0330108","Dan Gordon","\N","\N","writer,miscellaneous,producer","tt0105104,tt0113870,tt0174856,tt0111756"
"Q270469","nm0485926","Tammy Lang","\N","\N","actress","tt0887947,tt0044265,tt0208616,tt0065272"
"Q5181573","nm1475425","Alex Staggs","\N","\N","actor,miscellaneous,producer","tt1845307,tt1442437,tt1000771,tt1442464"
"Q5146231","nm0280506","Colleen Fitzpatrick","1938","\N","actress","tt0089888,tt0086689,tt0059607,tt0094481"
"Q6808715","nm0915291","Kathy Waugh","1956","\N","miscellaneous,writer,producer","tt0389668,tt0169414,tt21915168,tt8651594"
"Q4261457","nm2551742","Shûhei Naruse","\N","\N","composer,music_department,soundtrack","tt1556175,tt2519428,tt1473235,tt2084868"
"Q1677490","nm1402180","Jacob Gentry","1977","\N","director,editor,writer","tt0780607,tt2049543,tt5139332,tt0372375"
"Q5568097","nm0853233","Tammy Taylor","\N","\N","actress,costume_department,costume_designer","tt0070992,tt0058796,tt0087700"
"Q30121905","nm2399272","Lawrence White","1914","2008","producer","tt0042134,tt1709201,tt1120913,tt0054549"
"Q16121961","nm3577775","Andrea Duda","\N","\N","actress,writer","tt2692108,tt0195466"
"Q42331574","nm2503495","Ruth Wood","1909","2006",NA,"tt0199184,tt15441582,tt1043829,tt0364151"
"Q56129924","nm0745142","David Rothenberg","\N","\N","writer,producer,actor","tt1189346,tt0094561,tt0089791,tt2101569"
"Q117425","nm2226509","Nick Inhofe","\N","\N","sound_department","tt1264082,tt1090686,tt0438097,tt1451415"
"Q289380","nm4112727","Morgan Marling","1984","\N","producer,miscellaneous,actress","tt1027718,tt3516474,tt1549572,tt2555652"
"Q2627286","nm0092809","Rolf Boldrewood","1826","1915","writer","tt0001531,tt0050904,tt0011635,tt0000615"
"Q1144655","nm4265848","Axel Bergstedt","\N","\N","actor","tt0180983"
"Q360680","nm1525949","H.H. Holmes","1860","1896",NA,"tt6227952"
"Q61130","nm4558656","Solon Luigi","\N","\N","special_effects,art_department,camera_department","tt1509767,tt1856101,tt1034314,tt1371111"
"Q724506","nm0235123","John Douglas","1945","\N","miscellaneous,writer,producer","tt7497418,tt28645208,tt5290382,tt0380510"
"Q63986156","nm0447235","Susanne Kemmler","\N","\N","composer,director,actress","\N"
"Q24261863","nm7291534","Yaroslav Andreev","\N","\N","actor","tt11068690"
"Q104744335","nm0197914","Wolfgang Norman Dalheimer","1967","\N","music_department,composer,soundtrack","tt11042904,tt1310550,tt3010660,tt26685713"
"Q194287","nm6302480","Z.Z. Satriani","\N","\N","director,actor,writer","tt8633088,tt11050090,tt3772662"
"Q107620127","nm11980086","Herr Anwalt","\N","\N","actor","tt14873506,tt13278386"
"Q2148492","nm0630717","Susan Nielebock","\N","\N","costume_designer,miscellaneous,producer","tt0096907,tt0129251,tt0197858,tt0100633"
"Q75151","nm3201270","Ruth Werner","\N","\N","writer","tt0084706,tt0081196"
"Q29779","nm3062597","Taj Jackson","\N","\N","composer,actor,soundtrack","tt1272837,tt0106965,tt3809624"
"Q316683","nm1399725","George-Christoph Biller","\N","\N","music_department","tt0371570,tt1079450"
"Q433116","nm0649104","Carl Opitz","\N","\N","producer,production_manager","tt0049122,tt0046897,tt0048113,tt0050601"
"Q17321265","nm4264646","Dominik Wagner","\N","\N","actor","tt10869908,tt21103934,tt2076841,tt10789834"
"Q1433249","nm0259163","Milly Ericson","1927","2011","actress","tt0106039,tt0142201,tt0061240,tt0096560"
"Q2825836","nm0767835","Dusan Savkovic","1922","1990","writer,actor","tt0204551,tt0180005,tt0181636,tt0062521"
"Q7182576","nm3132883","Phil Xenidis","1966","\N","actor,soundtrack,composer","tt0800325,tt1078588,tt0460681,tt1980209"
"Q85767","nm0926449","Matt Whitaker","\N","\N","writer,director,producer","tt0420975,tt21825416,tt3588812,tt0373283"
"Q7769600","nm2373110","Peter Eckhorn","1939","1978",NA,"tt0851357"
"Q813454","nm1072757","Highland Dale","1943","1973","actor","tt0040731,tt0061263,tt0038361,tt0039022"
"Q2294036","nm6723999","Sleeping At Last","\N","\N","soundtrack,composer","tt2785032,tt6472976,tt1663143,tt1324999"
"Q4978","nm0436961","Mark Kamps","1962","2007","sound_department,director,editor","tt0119229,tt0114898,tt0465353,tt0151308"
"Q87265","nm1288947","Péter Wolf","1952","\N","composer,soundtrack,music_department","tt0092099,tt0091949,tt1032755,tt1307068"
"Q60870268","nm10496620","Ye-ji Hwang","\N","\N",NA,"\N"
"Q655261","nm3514741","Patricia Gerndt","\N","\N","actress","tt0376450"
"Q313706","nm2259109","Kimberly Laughlin","2004","\N","actress","tt0141842,tt0810614"
"Q14915092","nm3608011","Brandon Dermer","\N","\N","director,producer,writer","tt14122288"
"Q34939","nm0926207","Melissa Whitmire","1959","\N","producer,actress,miscellaneous","tt10916292,tt0087755,tt0304283"
"Q269982","nm0384704","Susana Hill","\N","\N","actress","tt0065921,tt0203182,tt0314910,tt0314671"
"Q973721","nm0847889","Bob Talbot","\N","\N","director,cinematographer,camera_department","tt0454876,tt0378109,tt10234818,tt0106965"
"Q15430742","nm1138647","Joseph Wolfsberg","\N","\N","camera_department","tt0367082,tt0307189,tt0763844,tt0496634"
"Q952631","nm2264373","Christopher Elson","\N","\N","actor","tt0485301,tt1579293,tt1023500,tt2094262"
"Q121032242","nm13884131","NewJeans","\N","\N","actress","\N"
"Q1716778","nm10531236","Sabrina Heuer-Diakow","\N","\N","actress,writer,casting_director","tt9899716"
"Q811029","nm2129744","M'Barick Fall","\N","\N",NA,"tt0105407"
"Q3186148","nm5601067","Jose Altuve","1990","\N","actor","tt2357803,tt7685784,tt7517440,tt1020929"
"Q118154","nm1104231","Mani","1962","\N","soundtrack,actor,music_department","tt0385705,tt1250777,tt0274309,tt2452254"
"Q518395","nm0844747","Benjamín Sánchez Mota","\N","\N","soundtrack,music_department,actor","tt0278775,tt0278798,tt0179776,tt0244666"
"Q47442371","nm5422072","Neue Wiener Stimmen","\N","\N","music_department,soundtrack","tt12380534"
"Q1348153","nm0640966","Sean O'Faoláin","1900","1991","writer","tt1134887,tt0835013,tt1905056,tt0132630"
"Q1639021","nm0349736","Arlette Guttinguer","\N","\N","actress","tt0140405"
"Q63683513","nm0642284","Peggy O'Neill","\N","\N","actress","tt0038873,tt0040491,tt0042674"
"Q28936917","nm1141813","Reinhard Conny Konzack","\N","\N","music_department,producer","tt0246514,tt0281438,tt1379768"
"Q1317608","nm2275705","Oskar Joost Orchester","1898","1941","actor,soundtrack","tt0900387,tt0024208,tt0129991"
"Q3908360","nm0309638","William 'Pop' Gates","1917","1999","actor","tt0043621,tt0042168"
"Q94847404","nm0295434","Hans Friedrich","\N","\N","actor","tt0197622,tt0205095,tt0042495,tt0246298"
"Q33126132","nm4371377","Ginou Lopez","\N","\N","actor","tt11557872,tt1864413"
"Q232738","nm2266392","Elena Ristevska","\N","\N",NA,"tt0800959"
"Q893922","nm1991229","Carlo von Zeitschel","1980","\N",NA,"tt0342143"
"Q3385713","nm2759916","Ghislaine Thesmar","1943","\N","actress,miscellaneous","tt1500496,tt0442522,tt3855546,tt11440060"
"Q1574853","nm1900266","Beatrice Scherk","\N","\N","actress","tt0456686"
