"wikibase_item","PersonID","primaryName","birthYear","deathYear","primaryProfession","knownForTitles"
"Q6524346","nm0345515","Vitali Gubarenko","\N","\N","composer","tt0072916,tt0070008"
"Q18398463","nm1896384","William E. Green","\N","\N","actor","tt0088526"
"Q108873963","nm8822735","Lubos Bernáth","1977","\N","composer","tt7323690,tt6516466,tt4146076"
"Q50581637","nm0047281","Harry Bailey","\N","\N","director,animation_department,writer","tt0146763,tt0147101,tt0022301,tt0146742"
"Q16106857","nm0193364","Jackie Curtis","\N","\N","miscellaneous","tt0259504"
"Q6653953","nm8838301","Zhuang Liu","\N","\N","composer","tt6631350,tt6485574,tt12517856,tt0086878"
"Q796302","nm3312888","Brenda Watkin","\N","\N",NA,"tt0108961"
"Q2913394","nm0943017","Terence Wrong","\N","\N","producer,writer,director","tt0418413,tt1673792,tt2265572,tt0258356"
"Q95865214","nm0692434","Gotthart Portloff","\N","\N","actor","tt0042214,tt0028924,tt0029641,tt0034815"
"Q94626827","nm4692827","Jerome Kaluta","1983","\N","actor,music_department","tt10068932,tt26759699,tt21103300,tt22036840"
"Q12877706","nm1228230","Thaleia Matika","1978","\N","actress","tt0236904,tt1295060,tt0819900,tt1111843"
"Q1825038","nm3388839","Lilika Nakou","\N","\N","writer","tt9391532,tt2331837,tt1403995"
"Q216856","nm1003900","Jonathan Herman","\N","\N","miscellaneous,writer,art_department","tt0328589,tt2572696,tt0134119,tt0118749"
"Q18609581","nm2623269","Konstadinos Manos","\N","\N","actor","tt0433512,tt1000779,tt0264890,tt1611522"
"Q17156527","nm0648245","Spyros Olybios","\N","\N","actor","tt10163460,tt0184234,tt0135150,tt0151843"
"Q11064750","nm2775826","Nilli Mazloom","\N","\N","actress","tt0303999,tt0342556,tt0342962,tt0037529"
"Q11542446","nm1576477","Yoko Taro","\N","\N","director,writer,visual_effects","tt18469814,tt17044070,tt5238626,tt12049866"
"Q97249000","nm3310565","Loris Loizidis","\N","\N","actor,writer,art_director","tt14631410,tt5640278,tt10659186,tt6858726"
"Q23726778","nm4395875","Georgios Steinhauer","\N","\N","miscellaneous","tt1877696"
"Q16328572","nm1628366","Sofia Sotiriou","\N","\N","writer,actress,casting_director","tt0414042,tt1321357,tt0490219,tt0819900"
"Q58326753","nm0503105","Yannis Leontaris","\N","\N","writer,director,producer","tt1223277,tt1969169,tt1711482,tt1534477"
"Q235364","nm0692942","Jessica Postigo","\N","\N","writer,producer","tt22352958,tt3829902,tt0207998,tt1538403"
"Q7563814","nm3271158","Victoria Petrosyan","1978","\N",NA,"tt1134766,tt1293944,tt28962119,tt3188904"
"Q439563","nm0659720","Elena Panova","\N","\N","editorial_department,editor","tt0375101,tt0169640,tt0238363"
"Q2082186","nm1595499","Tanja Tzarovska","\N","\N","music_department,actress,soundtrack","tt0332452,tt0335345,tt1588880,tt0892317"
"Q2668078","nm9075344","Bret Autrey","\N","\N","soundtrack,actor","tt1400526,tt4786282,tt1212974,tt1456949"
"Q284732","nm5058824","E.A. Castillo","\N","\N","actress,director,costume_designer","tt11245850,tt9201172,tt15433166,tt14298328"
"Q7259","nm7104940","Lily Lesser","\N","\N","actress","tt2701582,tt3556920,tt10048342,tt4206804"
"Q3566872","nm5651486","Christopher Livingston","\N","\N","actor","tt1842530,tt27187621,tt4789584,tt5290382"
"Q281280","nm5042947","Matt Nordgren","\N","\N","producer","tt2366296,tt2328067,tt5116410,tt2637110"
"Q272877","nm6359685","Fernando Botero Angulo","\N","\N","producer","tt3597048"
"Q552828","nm0167821","Ty Cobb","1886","1961","actor","tt0390580,tt0158971,tt0167027,tt4484284"
"Q640717","nm0688911","John Polce","\N","\N","actor,stunts,miscellaneous","tt0179626,tt1302006,tt0203019,tt0284490"
"Q472578","nm0908838","Robert Milton Wallace","\N","\N","actor,editor,director","tt0819646,tt3017202,tt3369286,tt0120388"
"Q28136251","nm13601582","Sherri Papini","1982","\N",NA,"\N"
"Q105868","nm0754580","Osvaldo Sabatini","1965","\N","actor,producer","tt0196234,tt0301647,tt0219429,tt0224867"
"Q7934646","nm1761469","Andrés Calderón","\N","\N","producer,cinematographer,miscellaneous","tt1025100,tt4560436,tt3532216,tt1772250"
"Q110084960","nm2560686","Ryan Manuel","\N","\N","actor,producer,writer","tt5838282,tt8520906"
"Q1753111","nm1052890","LaMonte McLemore","1939","\N","actor,camera_department,miscellaneous","tt0062572,tt0063866,tt0080784,tt2113007"
"Q7766441","nm3061281","The Steeldrivers","\N","\N","soundtrack","tt1319934,tt1194263,tt5075274,tt6857376"
"Q18209420","nm9135703","Darling Krishna","1985","\N","actor,director,writer","tt11960074,tt18184012,tt5612402,tt10919132"
"Q1378199","nm1202691","Sandy Fury","\N","\N","actress","tt2290623,tt3385630,tt2182229,tt1845170"
"Q1387214","nm1388901","John Connolly","\N","\N","actor,director,writer","tt0271454,tt1003056,tt1954347,tt0118537"
"Q4924324","nm0298193","Charmaine Fuller","\N","\N","make_up_department","tt0988045,tt1617661,tt0121766,tt0451279"
"Q20972211","nm10990748","Junhui Wen","\N","\N","actor,soundtrack,writer","tt1018809,tt5782224,tt11290960"
"Q177732","nm4664734","Gianluca Ginoble","\N","\N","actor","tt7436428,tt0387199"
"Q66661043","nm12910590","Tamanna Simhadri","\N","\N",NA,"tt7805494"
"Q1412298","nm1966119","Deaf Elk","\N","\N","music_department","tt0113277,tt0120710"
"Q14479580","nm0851841","Debbie Tay","1967","1995","actress","tt0289974,tt0169494"
"Q387559","nm0326530","George Golitzen","1916","1963","production_manager,producer","tt0046593,tt0055277,tt0055998,tt0054195"
"Q335125","nm0942880","Tom Wright","1948","\N","miscellaneous","tt1636331,tt0398996,tt0282636,tt4658380"
"Q608514","nm1683834","Angela Reed","\N","\N","actress,art_department,miscellaneous","tt3322312,tt9742936,tt4118584,tt0203259"
"Q3246375","nm10661640","Lloyd Sage","\N","\N",NA,"tt0239195"
"Q2421659","nm3580167","Frankie Amato Jr.","1978","\N",NA,"tt1794050,tt0827947,tt1444382"
"Q19349738","nm10562564","Jung Sung-il","\N","\N","actor","tt21344706,tt27987046,tt14609502,tt15146202"
"Q26214035","nm8998150","So-hye Kim","1999","\N","actress","tt16492436,tt9422200,tt11311974,tt14922584"
"Q14810585","nm2117623","Skylar Deleon","1979","\N",NA,"\N"
"Q457856","nm0286331","Chaka Forman","\N","\N","actor","tt0291001,tt0166044,tt0106079,tt0433387"
"Q1150498","nm1386196","Mike Marshall","\N","\N","miscellaneous,director,producer","tt0367462,tt0393213,tt0481630,tt0955841"
"Q541385","nm1433275","Franco Gatti","1942","2022","actor","tt1830738,tt5733466,tt8198048,tt0424586"
"Q5211052","nm12219547","Daljeet Kaur","1982","\N","actress,director,writer","tt8903210,tt0401916,tt2300165,tt29298252"
"Q980932","nm0855872","Helene Terrie","\N","\N","writer,producer","tt0129756,tt0187409,tt0081593,tt0196141"
"Q3349252","nm13842476","Satyam Anandjee","1987","\N","music_department,actor,composer","\N"
"Q1760555","nm1859384","Tom Tripplehorn","1944","2019","music_department","tt0059166"
"Q1569364","nm0516807","Terence Locke","1938","1982","actor","tt0075909,tt0077031,tt0074581,tt0069599"
"Q24901513","nm2234751","Chaitanya Bhosle","\N","\N",NA,"tt0447235"
"Q111955058","nm10004402","Ed Krassenstein","\N","\N","actor","tt7973552"
"Q3480456","nm11062165","María Dögg Nelson","\N","\N","actress","tt7325762,tt26680525,tt9249886,tt9315684"
"Q447338","nm13620602","Joan As Police Woman","\N","\N","composer","tt5390066"
"Q7767800","nm2054372","The Four Little Angels","\N","\N","soundtrack","tt0057755,tt0052456,tt0043192,tt0045410"
"Q2852347","nm0936668","Adrian 'G.A.' Witcher","\N","\N","actor","tt0107563,tt0098830"
"Q85748811","nm6749497","Tim Nagle","\N","\N","cinematographer,editorial_department","tt6866548,tt2535470,tt12989852,tt7453418"
"Q12618118","nm8510164","Ji-Hoon Lee","\N","\N","actor","tt5766194,tt26742552,tt5079024,tt5646548"
"Q6632356","nm3935981","Daysha Broadway","\N","\N","editor,editorial_department,visual_effects","tt9698520,tt5024912,tt12193804,tt10642834"
"Q4896361","nm0396379","Mrs. Harry Houdini","1875","1943","actress","tt0030666"
"Q28455289","nm6041881","Vega Darling","\N","\N","producer,director,miscellaneous","tt4799080,tt2461190,tt21159002,tt3844310"
"Q4356173","nm3215352","Roger Hoole","\N","\N","producer,miscellaneous","tt4188202,tt1299387,tt8019406,tt20560404"
"Q58976017","nm11678082","Vishu Srivastava","\N","\N","music_department","tt12553164"
"Q3179652","nm3850475","Abigail McConnell","\N","\N","actress,make_up_department,miscellaneous","tt1946189,tt1893284,tt1633342,tt1946467"
"Q4046402","nm0034589","Carolyne Argyle","\N","\N","actress","tt0078180,tt0075561,tt0079630,tt0181204"
"Q16967153","nm2657076","Ruthie Margera","1962","2021","actress","tt1022877,tt1852906,tt0382501"
"Q616762","nm0447362","Sally Kemp","1933","2017","actress","tt0065317,tt0202179,tt0081856,tt0077614"
"Q6605013","nm6901711","Amanda Shatzko","\N","\N","actress","tt5337036,tt4135668,tt1596356"
"Q6570648","nm0574744","Sheila McWade","\N","\N","actress","tt0170930,tt0461734"
"Q98930727","nm0702887","Quan Zilla","\N","\N","actor,writer,soundtrack","tt0248661,tt1274277,tt0464783,tt0398572"
"Q7409455","nm7613836","Samina Ahmed","\N","\N","actress","tt12826608,tt10857164,tt9129166,tt3175888"
"Q5622085","nm3338343","James Benson","\N","\N","director,actor,writer","tt1693805,tt1381529"
"Q6561049","nm2651783","Taylor Polidore","\N","\N","actress,producer,writer","tt11416026,tt6439752,tt14088994"
"Q55736701","nm10432848","Sae-Rok Keum","1992","\N","actress","tt22507484,tt9674954,tt7095654,tt24224910"
"Q5254746","nm5383963","J. Marty Dormany","\N","\N","art_department,miscellaneous,actor","tt27489073,tt15010318,tt4572820,tt20883058"
"Q312641","nm2533454","Frederik Pohl IV","\N","\N","actor,writer,art_department","tt0106498,tt0159881,tt3514324,tt4054230"
"Q17002700","nm0413403","Dalonne Jackson","1923","1976","script_department,actress","tt0066256,tt0074714,tt0067433"
"Q5293781","nm3011451","Carla Beachcomber","\N","\N","actress","tt0077000"
"Q2690022","nm4738456","Yasemin Eti","\N","\N","actress","tt8857244,tt13323566,tt9244578"
"Q40503","nm5056894","Aaron Weisz","\N","\N","producer,miscellaneous","tt0123338"
"Q12759703","nm10991929","Stefan Djuric","\N","\N","composer,actor,director","tt16366874"
"Q669442","nm0280006","George Fitch","1877","1915","miscellaneous,writer","tt0006568,tt0033155,tt0451410,tt0464711"
"Q4920620","nm1303266","Helen Alexis Yonov","\N","\N","miscellaneous,writer,producer","tt0316732,tt10150238,tt12431228,tt12430334"
"Q2844818","nm0992474","Johnathon Freeman","1968","\N","producer,actor,production_manager","tt0441035,tt0390463,tt0758762,tt0150875"
"Q4795114","nm9689639","Duke George Brady","\N","\N",NA,"tt3007640,tt4791250"
"Q110264148","nm12336826","Saujanya Nikam","\N","\N","producer","tt14090476"
"Q7285802","nm2158003","Rajasekar","1958","2019","director,writer,camera_department","tt0320736,tt0316369,tt0319622,tt0320606"
"Q2916247","nm0831914","I.F. Stone","1907","1989",NA,"tt0167208,tt0063890,tt0270121,tt0089310"
"Q23884683","nm13673898","Gabriela Bee","2006","\N","actress","tt16030222"
"Q3520083","nm0008265","Hakeem Abdul-Samad","1975","\N","actor,composer","tt0092214,tt0090395,tt0077003,tt0092974"
"Q2388588","nm1183035","James Y. Jones","\N","\N","actor,producer","tt8575366,tt0161028,tt0218140,tt3243654"
"Q5048600","nm0956341","Laura Ziffren","\N","\N","music_department","tt0289043,tt0246894,tt0203009,tt0329774"
"Q16728409","nm0203596","Ayisha Taylor","\N","\N","manager,producer,production_manager","tt1104814,tt0479528,tt1945172,tt3109188"
"Q463346","nm1675962","Ayano Sugiyama","1983","\N","actress","tt0482364,tt2365173,tt0780993,tt0419343"
"Q10307877","nm0676293","Robyn Peterman","\N","\N","actress","tt1210342,tt0120838"
"Q1639844","nm1073526","Attilio Reale","1960","\N","actor","tt1620466,tt0757222,tt2180463,tt0092675"
"Q7540580","nm2014975","John Burstein","1949","\N","actor,writer,producer","tt0818642,tt0047718,tt1143415"
"Q6568636","nm1477961","Jacob Chaos","\N","\N","actor","tt0348913,tt0118480,tt0204993"
"Q5335629","nm0450156","Steven Joel Kerzner","1970","\N","actor,producer,writer","tt0284786,tt1708448,tt0447585,tt0272967"
"Q7358405","nm9690266","Larissa Andrade","1984","\N","actress","tt8769360,tt9562694,tt9646828,tt11788956"
"Q50505969","nm0587649","Alan Millar","\N","\N","camera_department","tt0443632,tt3014866,tt0450232,tt0120903"
"Q16251325","nm4209848","Paul Campbell","1965","2015","actor","tt1800241,tt1401241,tt1637725,tt0964517"
"Q6632175","nm0625242","Christine Nelson","1961","1982","actress","tt0082474"
"Q320249","nm1404954","Michael Bloom","\N","\N","producer,writer,director","tt0364829,tt0791316,tt0399237,tt21910602"
"Q16011401","nm1896146","Brian Buckley","\N","\N","actor","tt0115243,tt9018490,tt8714904"
"Q593533","nm0934438","Steve Wimberly","\N","\N","editor,editorial_department,miscellaneous","tt7966582,tt0445120,tt2100976,tt1133380"
"Q3472298","nm2945713","Atalya Slater","\N","\N","actress","tt0472198,tt0363307"
"Q5277908","nm0270733","Lillian Feinman","1895","1974","actress","tt0022593"
"Q171557","nm5342267","Luana Belmondo","1971","\N",NA,"tt10381118,tt0251525,tt6751274,tt0887983"
"Q79843678","nm9860962","Sharla Katalin Hinskens","1986","\N","miscellaneous","tt4262980,tt4433646"
"Q16239276","nm13915000","Andrés Zárate","\N","\N","actor","tt12543718"
"Q6601448","nm2725788","Blake Hutchison","1980","\N","producer,director,writer","tt1071795,tt6083598"
"Q6397789","nm1102372","Emanuel Woo","\N","\N","actor","tt0115088,tt0119020,tt0118259,tt0806901"
"Q519339","nm0412306","Kirk Iverson","1977","\N","miscellaneous,camera_department,producer","tt0281322,tt0181852,tt0181689,tt0257224"
"Q52106697","nm2458916","Jane Feltes","\N","\N","music_department,producer","tt0805978,tt1907886"
"Q6368380","nm5541950","Karan Goddwani","\N","\N","actor","tt2300165,tt7947414,tt2570866,tt7871858"
"Q976193","nm0656825","Bruce Michael Paine","1947","2009","actor","tt0115202,tt0096684,tt0092400,tt0271210"
"Q11866460","nm0741474","Jim Rose","1956","\N","actor,producer","tt0115114,tt0379265,tt0106179,tt2022535"
"Q4977617","nm3051845","The Late Bronze Age","\N","\N","actor,soundtrack","tt0085588"
"Q1261172","nm0860107","Elizabeth Thompson","\N","\N","actress","tt0057733,tt0064948,tt0075809,tt0065327"
"Q6592527","nm0723343","Allyson Rice","\N","\N","actress,producer,writer","tt0048845,tt0118492,tt0083413"
"Q121752909","nm2144483","Fang Rong Foo","\N","\N","actress,music_department","tt1043713,tt2715098,tt0445609,tt7080970"
"Q6564702","nm0111112","Gert Broekema","\N","\N","art_department,set_decorator","tt0187738,tt0243133,tt0367652,tt0139151"
"Q1336827","nm0387756","William H. Hobson","\N","\N","camera_department","tt0116282,tt0166924,tt0368891,tt0379786"
"Q2688841","nm0241869","Robert Dunbar","1914","2000","producer,writer,production_manager","tt0051940,tt0048715,tt0050946,tt1679616"
"Q84299098","nm10244241","Noora Gustafsson","\N","\N","writer","tt9252624"
"Q5113390","nm0518031","Chris Loizou","1967","\N","director,writer,producer","tt7419326,tt4045444,tt1358599,tt7363098"
"Q5667368","nm2028925","Bellamie Blackstone","\N","\N","producer,production_manager,writer","tt7509270,tt0843318,tt3279494,tt3149538"
"Q7760520","nm4699286","Reverend Peyton's Big Damn Band","\N","\N","actor,composer,soundtrack","tt2071611"
"Q7929198","nm3818012","Vijaya Sai","\N","2017","actor","tt3426740,tt0843326,tt1661031,tt3067260"
"Q18921364","nm4853569","Christian Repici","\N","\N","writer","tt2182241"
"Q6524237","nm1306574","The Singer Midgets","\N","\N","actor,soundtrack","tt0783800,tt1139977,tt0032138,tt0012698"
"Q629328","nm1632604","Eva María González","\N","\N","actress","tt2006846"
"Q2959926","nm2042175","Collin Sutton","\N","\N","actor,producer,writer","tt5352428,tt1699748,tt11271038,tt1407053"
"Q3835554","nm13751618","Tameko Star","\N","\N","actress","tt4540226"
"Q7714780","nm10154971","Keryn Glasser","\N","\N",NA,"tt3497600"
"Q6604671","nm1715191","Towanda Braxton","1973","\N","producer,actress","tt14692892,tt5974066,tt24785502,tt22403312"
"Q116637616","nm5584759","Anthony Alba","\N","\N","actor,editor,producer","tt2786506,tt8099196,tt4212636"
"Q63686488","nm2180442","Lillie West","\N","\N","actress","tt0455857,tt6432466"
"Q2436554","nm1736049","Mariah Robinson","1980","2019","actress,script_department,writer","tt0420500,tt9372398,tt2071646,tt1334455"
"Q16201770","nm2710308","Roopadevi","\N","\N","actress","tt7444438,tt0363799,tt0318122,tt1392100"
"Q4879523","nm4620152","Dana Schechter","\N","\N","animation_department,music_department,visual_effects","tt0203536,tt0272068,tt3836512,tt6794374"
"Q5380451","nm0338177","Michael L. Green","1916","2001","producer","tt0130808,tt0221296,tt0064761,tt0055615"
"Q1812330","nm2183118","Jason Yu","\N","\N","director,actor,writer","tt8209702,tt0409579,tt1366886"
"Q56064523","nm3823580","Nick Schuyler","\N","\N","producer,writer","tt3331548,tt0290369,tt13182610,tt0088550"
"Q58007661","nm3357133","Edward Popil","\N","\N","actor,producer,writer","tt14661276,tt1391102,tt13229866"
"Q6455846","nm2786807","Lady Tigra","\N","\N","actress,soundtrack,costume_department","tt1764366,tt2369135,tt1339204,tt8426232"
"Q7718431","nm5008440","Michael Spiccia","\N","\N","director,producer,assistant_director","tt2366035,tt11854700,tt2452200"
"Q117661714","nm0410250","Colin Irving","1963","2019","make_up_department","tt0112731,tt0113438,tt0115397,tt0212304"
"Q6562494","nm3133900","Mark Yaeger","1980","\N","music_department,composer,soundtrack","tt8095034,tt1837636,tt3804114,tt1361313"
"Q6605638","nm12391157","Tarun Poddar","1994","\N",NA,"\N"
"Q117020271","nm6469242","Mohi Abro","\N","\N","actor","tt2793006,tt24638438"
"Q5499639","nm3082393","Eric Violette","1981","\N","actor,sound_department","tt0945608,tt26625674,tt7865394,tt7549920"
"Q19874007","nm3168841","Chrissy Chambers","1990","\N","actress,miscellaneous","tt2124785,tt2395385,tt2362694,tt21235840"
"Q1842394","nm4401187","Rosie Hetherington","\N","\N","actress,soundtrack","tt0139803,tt1881096"
"Q8071778","nm1927006","Joseph Modeliste","\N","\N","soundtrack,actor,composer","tt3569230,tt1245526,tt0448157,tt0448115"
"Q117743441","nm7831144","Patrizio Knight","\N","\N","composer,music_department","tt8430234,tt21867362,tt9581768,tt4764380"
"Q862343","nm3522819","Daisy Newton-Dunn","\N","\N","producer,miscellaneous,director","tt1707335,tt1854668,tt1176268,tt3543072"
"Q1658466","nm0120579","Pearce Bunting","\N","\N","actor,soundtrack,miscellaneous","tt0203259,tt0979432,tt0893516,tt0368311"
"Q1188387","nm2535459","Stacy Paul Rugely","1982","\N","actor,producer,director","tt1810710,tt0775536,tt3141166,tt2180696"
"Q55183320","nm1754571","Lise Zumwalt","\N","\N","producer,writer,editor","tt1283566,tt1569544,tt4808282,tt5871246"
"Q22959085","nm5835957","Drew Wenkel","\N","\N","actor,visual_effects","tt10791186,tt3429810,tt3087668,tt3140436"
"Q1620897","nm0016990","Michael Albrechtsen","\N","\N","special_effects,actor,visual_effects","tt0060548,tt0069174,tt0079592,tt0080603"
"Q7305883","nm0040771","Michael Atkinson","\N","\N","composer,music_department,actor","tt0102974,tt0108709,tt0119272,tt0106137"
"Q7137371","nm7400236","Raye Cosbert","\N","\N",NA,"tt2870648"
"Q4679297","nm2989210","Adam Jasinski","\N","\N","camera_department,producer,editor","tt8982018,tt13603966,tt9703982,tt5433140"
"Q6075137","nm0328689","Jack Goode","1908","1971","actor,sound_department,soundtrack","tt0175163,tt0340160,tt0272162,tt0060034"
"Q7439932","nm9109006","Allen Farst","\N","\N","director,writer,producer","tt28290582,tt12530968,tt7099702,tt20770344"
"Q6143750","nm5319167","Juston Street","\N","\N","actor,soundtrack","tt2717870,tt1860357,tt3719896,tt2937696"
"Q7025152","nm0445484","Joseph Kell","1960","\N","actor,camera_department,director","tt0313043,tt0115332,tt0220238,tt1276988"
"Q3323609","nm0059309","Kate Bartouldus","\N","\N","art_department","tt0118842,tt0217869,tt0114746,tt0167404"
"Q1292161","nm0480051","Stanley Lachman","1929","1997","actor","tt0182633,tt0044259,tt0050118"
"Q64157975","nm4246859","Shane Richardson","\N","\N",NA,"tt9646834,tt2301351,tt1353056,tt1588754"
"Q16832032","nm0407550","Kamil Ikramov","1927","1989","writer","tt2920972,tt0093751,tt5479912"
"Q6632723","nm0641705","Brendan O'Malley","\N","\N","writer,actor","tt0810788,tt0203259,tt3231022,tt1697851"
"Q1690875","nm0667335","George Paulsin","1949","\N","actor","tt0087348,tt0067757,tt0058801,tt0071198"
"Q5040041","nm8407290","Helen Parker","\N","\N","producer,director,writer","tt18395166,tt11921666,tt11880058"
"Q116733881","nm10254650","Aamir Rafiq","\N","\N","actor","tt18260516,tt9710650,tt21803130,tt10530392"
"Q370732","nm9088594","Fraser Hinch","\N","\N","director,editor,actor","tt12453198,tt7060618,tt7060598"
"Q24669480","nm4040427","The Gojos","\N","\N","actress","tt0296439,tt0064691,tt0303563,tt0212698"
"Q115695254","nm7981302","Fabian Rodriguez","\N","\N",NA,"tt3767666,tt2301351,tt9646834,tt7970544"
"Q55820292","nm3510193","2nd City Sound","\N","\N",NA,"tt0198197"
"Q599676","nm2536524","Laura Nevell","\N","\N","actress","tt0108821,tt0397182,tt0118435"
"Q7628526","nm3125073","Christian Lander","1978","\N","producer,writer,miscellaneous","tt5862660,tt3487356,tt1701982,tt1935298"
"Q28699635","nm8754805","Seung-Kyun Ahn","\N","\N",NA,"\N"
"Q60733761","nm4720292","Joanna Jones","\N","\N","soundtrack,actress,music_department","tt14409302,tt16282132,tt5798360,tt5664684"
"Q12588854","nm1534618","Jin-min Kim","1970","\N","producer,director,actor","tt8160178,tt1559296,tt12940504,tt5525778"
"Q16836445","nm5536955","Lily Marlene","\N","\N","miscellaneous","tt2500670"
"Q6514884","nm2291351","Eon-jeong Lee","\N","\N","actress","tt5586914,tt6059510,tt13634792,tt13316722"
"Q4207418","nm8979245","Andre Ong Carlesso","1979","\N","actor","tt21603636,tt6530282,tt6867702,tt9129676"
"Q25513860","nm7150239","Joseph Marshall","1994","\N","director,writer,actor","tt5463718,tt4518624,tt10449580,tt14419764"
"Q3503030","nm9188118","Venzella Joy","\N","\N","actress,music_department","tt4765284,tt1525510,tt10471904"
"Q1385000","nm3091159","Sybil Drew","\N","\N","director,producer,cinematographer","tt10516142,tt1270493,tt25398576,tt6294706"
"Q7339021","nm5398845","Riah Sarah","\N","\N","actress","tt2363047,tt2522328,tt8413338,tt2568760"
"Q19275022","nm1551328","Liana Pomerantsev","\N","\N","producer","tt0976046,tt2441804,tt1095431,tt0296446"
"Q5546542","nm1372421","Maia Wechsler","\N","\N","director,producer,editorial_department","tt0486531,tt26862522,tt6014796,tt12372492"
"Q4008485","nm2209536","Vance Colvig Jr.","1918","1991","actor,sound_department,miscellaneous","tt0086770,tt0091110,tt0092618,tt0098546"
"Q7488450","nm0345532","Tom Gubbins","1881","1956","miscellaneous,actor,casting_department","tt0029754,tt0012538,tt0018383,tt0034175"
"Q67566572","nm10565975","Jesus Martinez","\N","\N","producer,actor","tt17069062,tt19863044,tt15534562,tt24132110"
"Q7177265","nm2901823","John Taylor","1950","\N","director,producer,miscellaneous","tt1380555,tt0815147,tt2211248,tt1831907"
"Q631018","nm5766922","Evan Walsh","\N","\N","actor","tt1019987,tt4028538,tt1401534,tt2066051"
"Q105559970","nm1669768","Eton Boys","\N","\N","actor,soundtrack","tt0025937,tt9563282,tt0024348,tt0023962"
"Q12404154","nm0626252","Beverly Nero","\N","\N","actress,music_department,producer","tt1078273,tt0204640,tt2429074"
"Q2294469","nm4163413","Vick Wright","\N","\N","music_department,writer,producer","tt1767399,tt3704940,tt2594968,tt2263468"
"Q6777463","nm0471597","Jamie Kristian","1981","\N","actor","tt2180697,tt2290065,tt1119176,tt0275821"
"Q19881840","nm1789152","Bebé Ellison","\N","\N","producer,make_up_department,actress","tt3122216,tt1466458,tt4819106,tt22042566"
"Q25001516","nm1400206","Sheri Lynch","1966","\N","actress,miscellaneous","tt0098627,tt19729826"
"Q4051214","nm0592452","Jennifer Miro","1957","2011","actress,director,composer","tt6901596,tt0155350,tt0097632,tt0097228"
"Q1018737","nm3730319","Holly Grayson","\N","\N","editor,director,producer","tt27126241,tt8527738"
"Q90384","nm0654931","Iriz Pääbo","\N","\N","director,writer,composer","tt0248150,tt1616535,tt0355700"
"Q17413630","nm11843051","Mike Kennedy","\N","\N",NA,"tt12928772"
"Q7189939","nm0311510","Brian Gee","\N","\N","visual_effects,miscellaneous","tt0121765,tt0120647,tt0120915,tt0121766"
"Q7963900","nm1242775","Walt Paper","\N","\N","actor","tt0262164,tt0141716,tt1871279,tt0415245"
"Q19665798","nm4781886","Sir Rex Kantatero","\N","\N",NA,"tt1943249"
"Q17386452","nm10720308","Bryan Paz","\N","\N","actor","tt10389084"
"Q7878647","nm0211128","Count Ul De Rico","1946","\N","art_department,animation_department,costume_designer","tt0080745,tt0100240,tt12229188,tt0088323"
"Q6945025","nm1799584","Annette Dziamba","\N","\N","actress","tt0430845,tt0364782,tt2631554"
"Q3714635","nm0743002","James Rosin","\N","\N","actor,writer","tt0086856,tt0281462,tt0048860,tt0074042"
"Q5304391","nm4371809","Joe Zawislak","1937","1979","actor","tt13767026,tt13766874,tt13767314,tt13767322"
"Q7103030","nm2089930","Timothy Mark Chipping","1971","\N","actor","tt0358856"
"Q99579403","nm0969774","Jerome Muhammad","1967","2019","actor,producer,miscellaneous","tt13914106,tt0290332,tt0229362"
"Q7181664","nm0042494","Philip Austin","1941","2015","actor,writer,director","tt0086009,tt0126289,tt0068011,tt0126413"
"Q16222387","nm8145802","David Lawrie","\N","\N","sound_department,composer,music_department","tt5723720,tt9191472,tt6080084,tt8081640"
"Q75194714","nm3248232","Jason Young","1972","\N","writer,director,producer","tt1344442,tt27940804,tt1387240,tt1872871"
"Q2067461","nm0607027","Renae Morriseau","\N","\N","actress,director,producer","tt0106179,tt0106087,tt0231212,tt0351519"
"Q982186","nm0881089","George Ungar","\N","\N","director,producer,writer","tt0112657,tt0227768,tt0082509,tt3264244"
"Q1718986","nm1861909","Katie Cecil","1993","\N","actress","tt0450323,tt0452046,tt0412175,tt0802146"
"Q5511140","nm3053629","Fuzon","\N","\N","music_department,actor","tt1221142,tt9469734,tt0419828,tt5543746"
"Q6632794","nm14853049","Nasir Mazumder","2005","\N",NA,"\N"
"Q3082703","nm0541560","Frank Mancuso","1933","\N","producer","tt0086037"
"Q20780143","nm7769154","So-hyun Kwon","1994","\N","actress","tt4636074,tt6479534,tt12664618,tt14482296"
"Q7174248","nm0482180","Peter Lake","\N","\N","camera_department,writer,miscellaneous","tt0069787,tt0269507,tt0277359,tt0075925"
"Q5120291","nm0202687","Scott Daves","1974","2015","producer,director,editor","tt1162083,tt1167653,tt1162081,tt1162085"
"Q12218737","nm2191132","Sharif Salamah","1979","\N","actor","tt8795912,tt2133220,tt0461927,tt1634509"
"Q5365484","nm0505451","Jack Levi","\N","\N","actor,writer,producer","tt0340110,tt0273333,tt0270135,tt0174397"
"Q6705784","nm2935220","Oladoke Fagbenle","\N","\N","editor","tt1087523"
"Q2750128","nm4884168","Stefan William","1993","\N","actor","tt2187550,tt4472678,tt2221713,tt20244790"
"Q6603046","nm13832080","Samuel Clemens","\N","\N","actor","\N"
"Q105042324","nm8658701","Sandhya Kc","\N","\N","actress","tt5804178,tt8673620,tt6352592,tt7229666"
