"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Carrie Fisher","classification.ores.articletopic/Geography.Regions.Americas.North_America|803|classification.ores.articletopic/Culture.Literature|577|classification.ores.articletopic/Culture.Media.Films|962|classification.ores.articletopic/Culture.Biography.Biography*|996|classification.ores.articletopic/Culture.Media.Media*|939","Q108941","tt3453320","The Convention Conundrum","not exact match",NA,NA
"Mark Hamill","classification.ores.articletopic/Culture.Literature|675|classification.ores.articletopic/Culture.Media.Films|654|classification.ores.articletopic/STEM.Biology|704|classification.ores.articletopic/Culture.Media.Media*|895|classification.ores.articletopic/Culture.Biography.Biography*|678|classification.ores.articletopic/Culture.Media.Entertainment|579","Q210447","tt11930496","The Sword, the Fox and the Scooby-Doo!","not exact match",NA,NA
"John Wayne","classification.ores.articletopic/Culture.Media.Films|982|classification.ores.articletopic/Geography.Regions.Americas.North_America|538|classification.ores.articletopic/Culture.Biography.Biography*|962|classification.ores.articletopic/Culture.Media.Media*|979","Q40531","tt3203606","Trumbo","not exact match",NA,NA
"Format obrazu","classification.ores.articletopic/Culture.Media.Media*|746|classification.ores.articletopic/Culture.Media.Films|649|classification.ores.articletopic/STEM.STEM*|454","Q1441762","tt3460252","The Hateful Eight","not exact match",NA,NA
"Zorro","classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Media.Films|803|classification.ores.articletopic/Culture.Media.Media*|928|recommendation.link/exists|1|recommendation.image_section/exists|1","Q226822","tt0120746","The Mask of Zorro","not exact match",NA,NA
"Clark Gable","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Biography.Biography*|914|classification.ores.articletopic/Culture.Media.Films|962|classification.ores.articletopic/Geography.Regions.Americas.North_America|622|recommendation.image_section/exists|1","Q71243","tt0037494","Adventure","not exact match",NA,NA
"Maïwenn","classification.ores.articletopic/Geography.Regions.Europe.Europe*|754|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|629|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|972|classification.ores.articletopic/Culture.Media.Media*|938","Q201985","tt7019186",NA,NA,NA,NA
"Adriana Chechik","classification.ores.articletopic/STEM.Biology|145|classification.ores.articletopic/History and Society.Society|309|classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/Culture.Media.Media*|992|classification.ores.articletopic/Culture.Biography.Biography*|666","Q19258497","tt5027236","Anchorwoman: A XXX Parody","not exact match",NA,NA
"Loki (sezon 2)","classification.ores.articletopic/Culture.Media.Television|884|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|994|classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Films|855|classification.ores.articletopic/Culture.Literature|989|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|990","Q112610403","tt9140554","Loki","not exact match",NA,NA
"Barbapapa","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Films|831|classification.ores.articletopic/Culture.Literature|531","Q755021","tt0304999","Barbapapa","match",NA,NA
"Orson Welles","classification.ores.articletopic/Culture.Media.Radio|796|classification.ores.articletopic/Culture.Media.Films|363|classification.ores.articletopic/Culture.Media.Music|195|classification.ores.articletopic/Geography.Regions.Americas.North America|882|classification.ores.articletopic/Culture.Media.Media*|794|classification.ores.articletopic/Culture.Sports|97|classification.ores.articletopic/Culture.Biography.Biography*|695","Q24829","tt0660834","The Phantom Farmhouse/Silent Snow, Secret Snow","not exact match",NA,NA
"Abella Danger","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/STEM.Biology|76|classification.ores.articletopic/Culture.Biography.Biography*|480|classification.ores.articletopic/Culture.Media.Films|999","Q22249586","tt5788462","Rocco","not exact match",NA,NA
"Philip Seymour Hoffman","classification.ores.articletopic/Culture.Media.Films|980|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Culture.Biography.Biography*|893|recommendation.image_section/exists|1","Q180560","tt0103121","Triple Bogey on a Par Five Hole","not exact match",NA,NA
"Hayao Miyazaki","classification.ores.articletopic/Culture.Media.Films|982|classification.ores.articletopic/Culture.Biography.Biography*|926|classification.ores.articletopic/Culture.Media.Media*|980","Q55400","tt6572002","Boro the Caterpillar","not exact match",NA,NA
"Brenda Song","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/Geography.Regions.Americas.North_America|600|classification.ores.articletopic/Culture.Biography.Women|585|classification.ores.articletopic/Culture.Biography.Biography*|982","Q180011","tt18815410","The Quarry","not exact match",NA,NA
"Gabriel Macht","classification.ores.articletopic/Geography.Regions.Americas.North_America|507|classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/Culture.Media.Films|851|classification.ores.articletopic/Culture.Media.Media*|924","Q320651","tt2345721","Breaking at the Edge","not exact match",NA,NA
"Nowa Fala (kino francuskie)","classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|859|classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Geography.Regions.Europe.Europe*|826|classification.ores.articletopic/Culture.Media.Films|998|recommendation.image_section/exists|1","Q193541","tt0055032","Jules and Jim","not exact match",NA,NA
"Bruno O’Ya","classification.ores.articletopic/Culture.Media.Films|297|classification.ores.articletopic/Geography.Regions.Europe.Eastern Europe|651|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|613|classification.ores.articletopic/Culture.Biography.Biography*|515|classification.ores.articletopic/Geography.Regions.Europe.Europe*|984","Q2996111","tt0069132","Pulapka","not exact match",NA,NA
"Sam Rockwell","classification.ores.articletopic/Culture.Biography.Biography*|957|classification.ores.articletopic/Culture.Media.Films|979|classification.ores.articletopic/Geography.Regions.Americas.North_America|531|classification.ores.articletopic/Culture.Media.Media*|968","Q316446","tt6266538","Vice","not exact match",NA,NA
"Tomasz Bagiński","classification.ores.articletopic/Geography.Regions.Europe.Europe*|965|classification.ores.articletopic/Culture.Biography.Biography*|890|classification.ores.articletopic/Culture.Media.Media*|787|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|979|classification.ores.articletopic/Culture.Media.Films|515","Q3280869","tt5180504","The Witcher","not exact match",NA,NA
"Paul Atryda","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Literature|953|classification.ores.articletopic/Culture.Media.Films|577|classification.ores.articletopic/Culture.Media.Books|989|classification.ores.articletopic/Culture.Media.Entertainment|1000","Q939956","tt0087182","Dune","not exact match",NA,NA
"Christian Slater","classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Biography.Biography*|863|classification.ores.articletopic/Culture.Media.Films|969","Q204590","tt12010540","The High School Wolfman's Musical Lament!","not exact match",NA,NA
"Sabrina Carpenter","classification.ores.articletopic/Culture.Media.Music|1000|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Biography.Women|899|classification.ores.articletopic/Culture.Media.Films|658|recommendation.image_section/exists|1","Q7396400","tt1528071","Horns","not exact match",NA,NA
"Matt Bomer","classification.ores.articletopic/Culture.Media.Films|973|classification.ores.articletopic/Culture.Biography.Biography*|966|classification.ores.articletopic/Geography.Regions.Americas.North_America|777|classification.ores.articletopic/Culture.Media.Media*|979","Q315340","tt2404435","The Magnificent Seven","not exact match",NA,NA
"Tatum O’Neal","classification.ores.articletopic/Culture.Biography.Biography*|989|classification.ores.articletopic/Culture.Media.Films|896|classification.ores.articletopic/Culture.Media.Media*|909|classification.ores.articletopic/Geography.Regions.Americas.North_America|554|classification.ores.articletopic/Culture.Biography.Women|984","Q230138","tt1977508","Ryan & Tatum: The O'Neals","not exact match",NA,NA
"Emmanuelle","classification.ores.articletopic/Culture.Media.Films|982|classification.ores.articletopic/Culture.Media.Media*|977","Q21197542","tt0071464","Emmanuelle","match",NA,NA
"Joan Crawford","classification.ores.articletopic/History_and_Society.History|500|classification.ores.articletopic/Culture.Biography.Women|912|classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Culture.Media.Films|983|classification.ores.articletopic/Geography.Regions.Americas.North_America|798|classification.ores.articletopic/Culture.Biography.Biography*|972","Q40475","tt0056687","What Ever Happened to Baby Jane?","not exact match",NA,NA
"Jacek Czyż","classification.ores.articletopic/Culture.Biography.Biography*|970|classification.ores.articletopic/Geography.Regions.Europe.Europe*|904|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|874|classification.ores.articletopic/Culture.Media.Films|839|classification.ores.articletopic/Culture.Media.Media*|793","Q11715258","tt0128378","With Fire and Sword","not exact match",NA,NA
"2023 w filmie","classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/History_and_Society.History|930|recommendation.image/exists|1","Q110356949","tt9603212","Mission: Impossible - Dead Reckoning Part One","not exact match",NA,NA
"Cam Gigandet","classification.ores.articletopic/Culture.Media.Media*|943|classification.ores.articletopic/Culture.Biography.Biography*|587|classification.ores.articletopic/Culture.Media.Films|914","Q236074","tt2404435","The Magnificent Seven","not exact match",NA,NA
"Malcolm McDowell","classification.ores.articletopic/Culture.Media.Films|505|classification.ores.articletopic/Culture.Biography.Biography*|751|classification.ores.articletopic/Culture.Media.Media*|957","Q117392","tt12010484","A Run Cycle Through Time!","not exact match",NA,NA
"Elisha Cuthbert","classification.ores.articletopic/Geography.Regions.Americas.North_America|737|classification.ores.articletopic/Culture.Media.Media*|851|classification.ores.articletopic/Culture.Media.Films|803|classification.ores.articletopic/Culture.Biography.Biography*|993|recommendation.image_section/exists|1","Q188500","tt0454763","24: The Game","not exact match",NA,NA
"Misha Cross","classification.ores.articletopic/Culture.Media.Media*|997|classification.ores.articletopic/Culture.Biography.Biography*|969|classification.ores.articletopic/Culture.Media.Films|1000|recommendation.image/exists|1","Q18808555","tt6465172","Star Wars - Underworld - A XXX Parody","not exact match",NA,NA
"Ralph Macchio","classification.ores.articletopic/Culture.Media.Media*|919|classification.ores.articletopic/Culture.Biography.Biography*|997|classification.ores.articletopic/Culture.Media.Films|932|recommendation.image_section/exists|1","Q73346","tt9901232","Journey Home: The Animals of Farthing Wood","not exact match",NA,NA
"Leonard Nimoy","classification.ores.articletopic/Geography.Regions.Americas.North_America|507|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Culture.Media.Television|980|classification.ores.articletopic/Culture.Media.Films|699|classification.ores.articletopic/Culture.Biography.Biography*|998","Q16345","tt0584449","Space Pilot 3000","not exact match",NA,NA
"Nancy Kerrigan","classification.ores.articletopic/History and Society.History|153|classification.ores.articletopic/Culture.Biography.Women|968|classification.ores.articletopic/Culture.Biography.Biography*|979|classification.ores.articletopic/Culture.Media.Films|984|classification.ores.articletopic/Culture.Sports|958","Q239988","tt5580036","I, Tonya","not exact match",NA,NA
"Rose Byrne","classification.ores.articletopic/Culture.Biography.Biography*|990|classification.ores.articletopic/Culture.Biography.Women|907|classification.ores.articletopic/Culture.Media.Media*|919|classification.ores.articletopic/Culture.Media.Films|914","Q228717","tt0914387","Damages","not exact match",NA,NA
"American Horror Story: Murder House","classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Geography.Regions.Americas.North America|528|classification.ores.articletopic/Culture.Media.Films|284|classification.ores.articletopic/Culture.Media.Entertainment|707|classification.ores.articletopic/Culture.Media.Television|997|recommendation.link/exists|1","Q689821","tt1844624","American Horror Story","not exact match",NA,NA
"Steve Holmes","classification.ores.articletopic/Culture.Media.Films|893|classification.ores.articletopic/Culture.Media.Media*|919|classification.ores.articletopic/Culture.Biography.Biography*|500","Q77571","tt0414391","Private Black Label 21: Lust Tango in Paris","not exact match",NA,NA
"Filmografia Angeliny Jolie","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Films|995|recommendation.image/exists|1","Q16878343","tt0084268","Lookin' to Get Out","not exact match",NA,NA
"American Horror Story: Hotel","classification.ores.articletopic/Culture.Media.Films|354|classification.ores.articletopic/Culture.Media.Media*|975|classification.ores.articletopic/Culture.Media.Television|827","Q19361457","tt1844624","American Horror Story","not exact match",NA,NA
"Kiwaczek","classification.ores.articletopic/Culture.Media.Media*|769|classification.ores.articletopic/Geography.Regions.Asia.Asia*|853|classification.ores.articletopic/Geography.Regions.Asia.North Asia|748|classification.ores.articletopic/History and Society.Society|475|classification.ores.articletopic/Culture.Media.Films|493|recommendation.image/exists|1","Q161731","tt0201520","Cheburashka","not exact match",NA,NA
