"title","wikibase_item","Studio"
"يوليوس قيصر (فيلم 1914)","Q3649980","studio = [[Società Italiana Cines]] "
"في إتش إس 2","Q7906333","studio = {{قائمة بسيطة"
"أليس في بلاد العجائب (فيلم 1903)","Q1852843","studio = [[Hepworth Picture Plays]] "
"ليلة الشياطين 1988","Q953091","studio = {{قائمة بسيطة"
"شمس سوداء","Q4921938","studio = |distributor = Japan Shock {{صغير"
"عزيزتي كليمنتين","Q370252","studio = [[توينتيث سينشوري ستوديوز]] "
"انقلاب (فيلم 1984)","Q11019674","studio = سري إسواري للإنتاج "
"توكي بوكي","Q3310901","studio = سينيغريت<br />استوديو كانكوراما "
"إفريقيا متحدة (فيلم)","Q4689603","studio = [[باثي (شركة أفلام)"
"رجل القمر","Q113353851","studio = [[Mahua FunAge]]<br>China Film Co.,Ltd.<br>[[Alibaba Pictures]]<br>Shanghai Ruyi Film and Television Production Co., Ltd.<br>[[Tianjin Maoyan Weiying Culture Media]]<br>Xihongshi Film and Television Culture (Tianjin) Co., Ltd. "
"عودة أرسين لوبين","Q3226385","studio = [[مترو غولدوين ماير]] "
"لوف جايكد (فيلم)","Q61851088","studio = إينر سيتي فيلمز "
"جحيم الجنة (فيلم)","Q18702209","studio = One O Eight Media <br /> BGL Asset Management Ltd <br /> Hashtag Media House "
"100 دولار (فيلم)","Q101245281","studio = | distributor = "
"الظلال (فيلم)","Q828260","studio = بان فيلم "
"كيمي غا نوزومو آين","Q1057155","studio = {{رمز علم"
"زولو (فيلم 2013)","Q3576280","studio = {{قائمة بسيطة"
"نزينغا: ملكة أنغولا (فيلم)","Q22000269","studio = سيمبا كومينيكاساو "
"نابليون ديناميت","Q1133772","studio = {{Plainlist "
"أوسكار ولوسيندا (فيلم)","Q2033052","studio = [[Australian Film Finance Corporation"
"جنة العصابات: القدس","Q2455693","studio = | distributor = [[يونايتد إنترناشونال بيكتشرز]] "
"فريسة (فيلم)","Q108084642","studio = سيناتور فيلم برودكشن"
"أنا لست زنجيك (فيلم)","Q27038025","studio = {{قائمة بسيطة"
"أوليفر بلاك (فيلم)","Q108913368","studio = سيفنث سنس "
"الإسكندر الأكبر (فيلم 1956)","Q619228","studio = [[Rossen Films]]<br>[[C.B. Films S.A.]] "
"هذا ليس دفنا، إنه قيامة","Q75169685","studio = | distributor = أفلام ميمنتو الدولية<br> تريغون فيلم "
"يوم التطهير (فيلم)","Q105730369","studio = فيبيان فيلمز<br>فيلموان إنترتينمنت<br>هواهوا ميديا<br>صندوق غرب أفريقيا للسينما<br>إمباير إنترتينمنت "
"أونيي أوزي (فيلم)","Q22582567","studio = | released = {{تاريخ صدور فيلم"
"أدريان ليكوفرور (فيلم)","Q2825316","studio = [[شركة يونيفيرسال فيلم]] "
"ولد ليقتل (فيلم 1947)","Q1089519","studio = [[آر كي أو بيكتشرز]] "
"ريو غراندي (فيلم 1950)","Q1138393","studio = {{قائمة بسيطة"
"وراء إعادة التنشيط","Q853274","studio = Castelao Producciones<br />[[Fantastic Factory]] "
"نابلي إلي الأبد","Q44638200","studio = {{قائمة بسيطة"
"النهر الأحمر (فيلم 1948)","Q1133647","studio = مونتيري للإنتاج "
"ديفريت (فيلم)","Q16991774","studio = Haile Addis Pictures<br />Truth Aid "
"رسالة من امرأة مجهولة (فيلم 1948)","Q914133","studio = رامبارت للإنتاج "
"زاما (فيلم)","Q22931120","studio = {{قائمة بسيطة"
"18 ساعة (فيلم)","Q39071254","studio = Rocque Pictures "
"الست (فيلم قصير)","Q109236268","studio = أفلام سوزانا ميرغني<br />[[معهد الدوحة السينمائي]] "
"إلفيس و نيكسون","Q18914954","studio = {{Plainlist"
"التمثال (فيلم)","Q2859552","studio = استوديوهات غولدن إيفيكتس <br /> جانغل فيلمووركس "
"كونغ باو! إنتر ذا فيست","Q770850","studio = [[ستيف أويديكيرك"
"الثالث عشر (فيلم)","Q26824229","studio = أفلام كاندو "
"جاف (فيلم)","Q18171042","studio = نيكست بايج للإنتاج "
"ستاندر (فيلم)","Q3290017","studio = [[Grosvenor Park Productions]]<br />[[Seven Arts Pictures]]<br />Stander Productions<br />The Imaginarium<br />ZenHQ "
"إلى الشمال (فيلم)","Q71009416","studio = Anakle Films <br /> [[Inkblot Productions]] "
"طفل الشمس (فيلم)","Q104539036","studio = | distributor = "
"التعامل بخشونة (فيلم 1924)","Q3844586","studio = [[فايمس بلايرز-لاسكي]] "
"76 (فيلم)","Q15927133","studio = أدونيس للإنتاج <br /> برانس ويل تراست "
"كينغستون بارادايس (فيلم)","Q6413571","studio = {{قائمة غير مرقمة"
"العيش في عبودية: التحرر","Q76784638","studio = Play Network Studios <br /> Natives Filmworks <br /> Michelangelo Productions "
"كوك أوف (فيلم)","Q61672502","studio = شركة موفامبانيزدو للأفلام "
"الحب العظيم (فيلم 1918)","Q7737833","studio = [[فيموس بلايرز-لاسكي]] / أرتكرافت "
"المحل في الزاوية","Q782751","studio = [[مترو غولدوين ماير]] "
"غزو (فيلم 1937)","Q1243374","studio = [[مترو جولدوين ماير]] "
"الوحش (فيلم 1903)","Q617230","studio = [[Star Film Company]] "
"البلدة الكبيرة (فيلم)","Q377939","studio = Albacore Productions Inc. "
"إس-كري-إد","Q3181180","studio = [[سنرايز]] "
"الفضاء الداخلي (فيلم)","Q506390","studio = [[أمبلين إنترتاينمنت]] "
"آخر رحلة إلى أبوجا (فيلم)","Q14948577","studio = Nollywood Film Factory "
"رشد (فيلم)","Q108607493","studio = {{قائمة بسيطة"
"آخر الخارجين عن القانون (فيلم 1936)","Q18151564","studio = آر كي أو بيكتشرز "
"اندفاع السكر (فيلم)","Q85321774","studio = GreOH Media <br /> [[Empire Mates Entertainment]] <br /> Jungle FilmWorks "
"ملك الأولاد (فيلم)","Q57779944","studio = Kemi Adetiba Visuals "
"إيماني (فيلم)","Q6003303","studio = | distributor = "
"الغزو 1897 (فيلم)","Q47473350","studio = [[Ice Slide Films]] "
"أولويبيري (فيلم)","Q28453282","studio = | distributor = "
"جسر بلاكفريارس (فيلم)","Q4922901","studio = أعمال بول أنيماتوغراف "
"روبنسون كروزو (فيلم 1902)","Q3230819","studio = [[شركة ستار فيلم]] "
"العشرة (فيلم)","Q1167123","studio = [[مادمان إنترتنمنت"
"نيريا (فيلم)","Q15561322","studio = [[Media for Development International]] "
"3 رجال سيئين","Q1257244","studio = | distributor = [[توينتيث سينشوري ستوديوز"
"جريمة قتل في أجنحة فاخرة (فيلم)","Q17027069","studio = C&C Screen Production Company "
"أنا أغني من البئر (فيلم)","Q18795332","studio = كالاباش إيمجز "
"الأخ (فيلم 2022)","Q113168022","studio = Hawkeye Pictures<br>Conquering Lion Pictures "
"كورا (فيلم)","Q2996959","studio = رولف فوتوبلايز "
"أبراهام لينكون (فيلم قصير 1924)","Q4668998","studio = | released = {{تاريخ صدور فيلم"
"النصر العظيم","Q56651727","studio = Screen Classics "
"عروس إعادة التنشيط","Q913558","studio = Wild Street Pictures "
"أنا لست ساحرة (فيلم)","Q29514875","studio = | distributor = [[Artificial Eye]] (الولايات المتحدة) "
"فيفتي (فيلم)","Q21527649","studio = أفلام إيبوني لايف "
"أطفال الريتز","Q5098562","studio = [[فيرست ناشيونال]] "
"البراءة (فيلم 1923)","Q7712272","studio = [[يونيفرسال بيكشرز]] "
"كلهم أطفالي (فيلم)","Q2326990","studio = | distributor = "
"إحدى الليالي في فيغاس (فيلم)","Q17109281","studio = K.M Productions<br />RVI Motion Media "
"تعال عش معي (فيلم)","Q1145403","studio = [[مترو غولدوين ماير]] "
"أموال جديدة (فيلم)","Q57316047","studio = [[Inkblot Productions]] "
"اللقاء (فيلم)","Q16733838","studio = مورد بيكتشرز بروداكشن "
"وجه آخر","Q15046449","studio = [[آر كي أو بيكتشرز]] "
"قصة شيقة","Q4750085","studio = شركة ويليامسون كينماتوغراف "
"النوع الآخر من الحب","Q55818701","studio = [[فيل غولدستون للإنتاج]] "
"بوكاتشيو (فيلم 1972)","Q2908285","studio = Dino de Laurentiis Cinematografica "
"إنتو ذا صن (فيلم 1992)","Q602491","studio = تريمارك بيكشرز "
"في أمريكا: قصة الأخوات في الروح","Q18170081","studio = Oracle Films International "
"4 فتيات صغيرات","Q1148304","studio = [[40 أكرس وأميل فيلموركس]]<br>[[إتش بي أو]] "
"يوميات امرأة مفقودة","Q15669273","studio = إنتاج ريتشارد أوزوالد "
"ريد غاردن","Q2499784","studio = [[استديو جونزو"
"يمكننا أن نصبح أبطالا","Q58636095","studio = أفلام سينتيلي "
"صندوق الشيطان (فيلم)","Q101245251","studio = إنتاجات السينما الجديدة<br />سانيوكا إيفريكان "
"سالوم (فيلم)","Q108610237","studio = Lacmé<br>رامبل فيش برودكشنز<br>تايبل لاند بيكتشرز "
"المدير التنفيذي (فيلم)","Q29831402","studio = غولدن إيفكتس "
"ألماس في السماء (فيلم)","Q100700071","studio = ليا فاوندايشن "
"اسمعني أتحرك (فيلم)","Q22000441","studio = [[Coal Stove Pictures]] "
"مقاطعة هارلن، الولايات المتحدة الأمريكية","Q1752675","studio = [[أفلام كابين كريك]] "
"ضلع آدم","Q1059199","studio = [[مترو غولدوين ماير]] "
"عبر قلبي (فيلم 1946)","Q16249622","studio = [[باراماونت بيكتشرز]] "
"الملك لير (فيلم 1910)","Q3930878","studio = Film d'Arte Italiana "
"بدرس (فيلم)","Q2927587","studio = [[مجرد رؤية]] "
"رحلة إلى الذات (فيلم)","Q15733761","studio = آلايكات ميديا "
"الممر الأوسط (فيلم)","Q17089975","studio = | released = {{تاريخ صدور فيلم"
"وحيد في باريس","Q3480725","studio = ليز فيلمز مارسيل باجنول <br> أفلام إيمينت "
"الطريق إلى مكة (فيلم)","Q48672400","studio = ديستانت هورايزن "
"هيرو (فيلم 2018)","Q104861685","studio = | distributor = "
"أمريكا (فيلم 1924)","Q4742709","studio = دي دبليو جريفيث للإنتاج "
"الرجل 13","Q7711761","studio = [[مونوغرام بيكشرز]] "
"1914 (فيلم)","Q2631364","studio = [[ريتشارد أوزوالد]] "
"بحثا عن الفودو: الجذور إلى الجنة","Q73791535","studio = Fanaticus Entertainment "
"نوايا جديدة (فيلم)","Q26683573","studio = كيهيراي بيكتشرز "
"فقط الملائكة لها أجنحة","Q1501765","studio = [[كولومبيا بيكتشرز]] "
"أغسطس القوي (فيلم)","Q4821584","studio = فيلم نيرثوس <br> بولسكي توبيس "
"الانتحال العظيم (فيلم 1935)","Q7737803","studio = [[يونيفرسال بيكشرز]] "
"سيبقى لنا الموت كله كي ننام","Q30740036","studio = | distributor = Les Films du Soleil Ô "
"قادم من الجنون","Q100148067","studio = ذا موفمنت برو "
"شادو بارتيز (فيلم)","Q108525564","studio = | distributor = [[نتفليكس]] "
"من خلال عدسة في الظلام (فيلم)","Q17183979","studio = Chimpanzee Productions "
"غش في حكاية (فيلم)","Q4659803","studio = سبارو للإنتاج "
