"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Adam Sandler","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Biography.Biography*|859|classification.ores.articletopic/Culture.Media.Entertainment|665|classification.ores.articletopic/Culture.Media.Films|972|classification.ores.articletopic/Geography.Regions.Americas.North_America|782|recommendation.image_section/exists|1","Q132952","tt0124198","Very Bad Things","not exact match",NA,NA
"River Phoenix","classification.ores.articletopic/Culture.Biography.Biography*|679|classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Geography.Regions.Americas.North_America|562|classification.ores.articletopic/Culture.Media.Media*|936","Q106514","tt2261871","My Own Private River","not exact match",NA,NA
"Paul Newman","classification.ores.articletopic/Geography.Regions.Americas.North_America|629|classification.ores.articletopic/Culture.Media.Media*|899|classification.ores.articletopic/Culture.Media.Films|835|classification.ores.articletopic/Culture.Biography.Biography*|777","Q41871","tt0065215","Winning","not exact match",NA,NA
"Steve McQueen","classification.ores.articletopic/Culture.Biography.Biography*|912|classification.ores.articletopic/Geography.Regions.Americas.North_America|569|classification.ores.articletopic/Culture.Media.Films|712|classification.ores.articletopic/Culture.Media.Media*|817|recommendation.image_section/exists|1","Q159347","tt0060934","The Sand Pebbles","not exact match",NA,NA
"Paolo Sorrentino","classification.ores.articletopic/Culture.Biography.Biography*|731|classification.ores.articletopic/Geography.Regions.Europe.Europe*|592|classification.ores.articletopic/Culture.Media.Films|948|classification.ores.articletopic/Culture.Media.Media*|946","Q374678","tt2358891","The Great Beauty","not exact match",NA,NA
"Grace Kelly","classification.ores.articletopic/Culture.Media.Films|724|classification.ores.articletopic/Culture.Biography.Biography*|951|classification.ores.articletopic/Culture.Media.Media*|808|classification.ores.articletopic/Culture.Biography.Women|896","Q3925","tt0076843","The Turning Point","not exact match",NA,NA
"Alessandro Borghi (attore)","classification.ores.articletopic/Culture.Media.Media*|855|classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Culture.Media.Films|718","Q21321157","tt3844638","Love Pret-a-porte","not exact match",NA,NA
"Sharon Stone","classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Culture.Media.Films|977|recommendation.image_section/exists|1","Q62975","tt0430912","Basic Instinct 2","not exact match",NA,NA
"Roberto Rossellini","classification.ores.articletopic/Geography.Regions.Europe.Europe*|515|classification.ores.articletopic/Culture.Biography.Biography*|629|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Culture.Media.Films|899","Q53003","tt9289168","Le Psychodrame","not exact match",NA,NA
"Amber Heard","classification.ores.articletopic/Culture.Biography.Women|839|classification.ores.articletopic/Geography.Regions.Americas.North_America|718|classification.ores.articletopic/Culture.Media.Media*|952|classification.ores.articletopic/Culture.Biography.Biography*|943|classification.ores.articletopic/Culture.Media.Films|943","Q229166","tt0762138","Syrup","not exact match",NA,NA
"Ewan McGregor","classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Media.Films|966|classification.ores.articletopic/Culture.Biography.Biography*|754|recommendation.image_section/exists|1","Q165518","tt1139328","The Ghost Writer","not exact match",NA,NA
"Alain Delon","classification.ores.articletopic/Culture.Biography.Biography*|808|classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Geography.Regions.Europe.Europe*|743|classification.ores.articletopic/Culture.Media.Films|754|classification.ores.articletopic/Geography.Regions.Europe.Western_Europe|731|recommendation.image_section/exists|1","Q106529","tt0338608","Frank Riva","not exact match",NA,NA
"Lindsay Lohan","classification.ores.articletopic/Culture.Biography.Women|835|classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Music|615|classification.ores.articletopic/Culture.Biography.Biography*|973|classification.ores.articletopic/Geography.Regions.Americas.North_America|651|classification.ores.articletopic/Culture.Media.Films|904","Q44903","tt5206770","Among the Shadows","not exact match",NA,NA
"Channing Tatum","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Films|941|classification.ores.articletopic/Culture.Biography.Biography*|863|classification.ores.articletopic/Geography.Regions.Americas.North_America|870|recommendation.image_section/exists|1","Q212064","tt1046173","G.I. Joe: The Rise of Cobra","not exact match",NA,NA
"Giancarlo Esposito","classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Culture.Media.Media*|899|classification.ores.articletopic/Culture.Media.Films|859","Q726142","tt11364112","Beauty","not exact match",NA,NA
"Pierce Brosnan","classification.ores.articletopic/Culture.Biography.Biography*|938|classification.ores.articletopic/Culture.Media.Films|964|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Geography.Regions.Europe.Europe*|507|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|538|recommendation.image_section/exists|1","Q81520","tt0828434","Premiere Bond: Opening Nights","not exact match",NA,NA
"Jack Black","classification.ores.articletopic/Culture.Media.Media*|970|classification.ores.articletopic/Culture.Media.Films|515|classification.ores.articletopic/Culture.Biography.Biography*|731|classification.ores.articletopic/Geography.Regions.Americas.North_America|760","Q483907","tt0112084","Mr. Show with Bob and David","not exact match",NA,NA
"Taissa Farmiga","classification.ores.articletopic/Geography.Regions.Americas.North_America|817|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Culture.Media.Media*|939|classification.ores.articletopic/Culture.Media.Films|939|classification.ores.articletopic/Culture.Biography.Women|863","Q389017","tt2132285","The Bling Ring","not exact match",NA,NA
"Stefania Sandrelli","classification.ores.articletopic/Culture.Media.Films|970|classification.ores.articletopic/Culture.Media.Media*|965|classification.ores.articletopic/Geography.Regions.Europe.Europe*|607|classification.ores.articletopic/Culture.Biography.Biography*|909","Q238547","tt0221364","Lulù","not exact match",NA,NA
"Idris Elba","classification.ores.articletopic/Culture.Media.Films|782|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/Culture.Biography.Biography*|870|recommendation.image_section/exists|1","Q342604","tt8220330","Idris Elba: Fighter","not exact match",NA,NA
"Sofia Coppola","classification.ores.articletopic/Culture.Media.Films|975|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/Geography.Regions.Americas.North_America|577|classification.ores.articletopic/Culture.Biography.Biography*|851|recommendation.image_section/exists|1","Q193628","tt0159097","The Virgin Suicides","not exact match",NA,NA
"Nicholas Galitzine (attore)","classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/Culture.Media.Films|622|classification.ores.articletopic/Culture.Biography.Biography*|760","Q90902600","tt3064356","The Beat Beneath My Feet","not exact match",NA,NA
"Alba Rohrwacher","classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|600|classification.ores.articletopic/Culture.Biography.Biography*|843|classification.ores.articletopic/Culture.Media.Media*|817|classification.ores.articletopic/Culture.Media.Films|914|classification.ores.articletopic/Geography.Regions.Europe.Europe*|651","Q433601","tt1835980","Bliss","not exact match",NA,NA
"Mario Brega","classification.ores.articletopic/Culture.Media.Media*|777|classification.ores.articletopic/Culture.Biography.Biography*|960|classification.ores.articletopic/Culture.Media.Films|749","Q1040908","tt0062267","Si muore solo una volta","not exact match",NA,NA
"Jerry Calà","classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Biography.Biography*|964|classification.ores.articletopic/Culture.Media.Films|507","Q61831","tt26426184","Chi ha rapito Jerry Calà?","not exact match",NA,NA
"Rooney Mara","classification.ores.articletopic/Culture.Biography.Women|771|classification.ores.articletopic/Culture.Biography.Biography*|863|classification.ores.articletopic/Culture.Media.Media*|926|classification.ores.articletopic/Culture.Media.Films|936|recommendation.image_section/exists|1","Q228766","tt1285016","The Social Network","not exact match",NA,NA
"Rose Byrne","classification.ores.articletopic/Culture.Biography.Women|835|classification.ores.articletopic/Culture.Biography.Biography*|957|classification.ores.articletopic/Culture.Media.Media*|946|classification.ores.articletopic/Culture.Media.Films|914","Q228717","tt1817273","The Place Beyond the Pines","not exact match",NA,NA
"Rock Hudson","classification.ores.articletopic/Culture.Biography.Biography*|917|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Culture.Media.Films|890","Q184378","tt0105268","Rock Hudson's Home Movies","not exact match",NA,NA
"Paul Thomas Anderson","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|996|recommendation.image_section/exists|1","Q25132","tt1560747","The Master","not exact match",NA,NA
"MonsterVerse","classification.ores.articletopic/Culture.Media.Films|930|classification.ores.articletopic/Culture.Media.Media*|990","Q21527684","tt0831387","Godzilla","not exact match",NA,NA
