"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Steven Seagal","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Culture.Biography.Biography*|938|classification.ores.articletopic/Culture.Media.Films|826","Q82110","nm0000219","Steven Seagal","match",NA,NA
"Jane Alexander (attrice 1972)","classification.ores.articletopic/Culture.Media.Media*|644|classification.ores.articletopic/Culture.Biography.Biography*|998","Q3161841","nm2908501","Christian Schiozzi","not exact match",NA,NA
"Adrien Brody","classification.ores.articletopic/Culture.Biography.Biography*|835|classification.ores.articletopic/Culture.Media.Films|924|classification.ores.articletopic/Culture.Media.Media*|936","Q104514","nm0004778","Adrien Brody","match",NA,NA
"Hayao Miyazaki","classification.ores.articletopic/Culture.Media.Media*|867|classification.ores.articletopic/Culture.Media.Films|808|classification.ores.articletopic/Culture.Biography.Biography*|629|classification.ores.articletopic/Culture.Literature|692","Q55400","nm0594503","Hayao Miyazaki","match",NA,NA
"Natalie Portman","classification.ores.articletopic/Culture.Media.Films|909|classification.ores.articletopic/Culture.Biography.Women|771|classification.ores.articletopic/Culture.Biography.Biography*|943|classification.ores.articletopic/Geography.Regions.Americas.North_America|562|classification.ores.articletopic/Culture.Media.Media*|914|recommendation.image_section/exists|1","Q37876","nm0000204","Natalie Portman","match",NA,NA
"Antony Costa","classification.ores.articletopic/Culture.Biography.Biography*|990|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Music|997|classification.ores.articletopic/Culture.Media.Television|569","Q552748","nm1101558","Antony Costa","match",NA,NA
"Peter Falk","classification.ores.articletopic/Culture.Media.Media*|967|classification.ores.articletopic/Culture.Biography.Biography*|914|classification.ores.articletopic/Culture.Media.Films|943|recommendation.image_section/exists|1","Q484881","nm0000393","Peter Falk","match",NA,NA
"Giorgio Armani","classification.ores.articletopic/Geography.Regions.Europe.Europe*|577|classification.ores.articletopic/Culture.Biography.Biography*|982|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|692|recommendation.image_section/exists|1","Q157054","nm0004714","Giorgio Armani","match",NA,NA
"Jean-Claude Van Damme","classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Biography.Biography*|955|classification.ores.articletopic/Culture.Media.Films|966|recommendation.image_section/exists|1","Q308840","nm0000241","Jean-Claude Van Damme","match",NA,NA
"Led Zeppelin","classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Music|998|classification.ores.articletopic/Culture.Biography.Biography*|585","Q2331","nm0006190","Brian May","not exact match",NA,NA
