"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Dustin Hoffman","classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Media.Films|976|classification.ores.articletopic/Geography.Regions.Americas.North_America|760|classification.ores.articletopic/Culture.Media.Media*|979","Q42930","nm163",NA,NA,"nm0000163",NA
"Anne Reid","classification.ores.articletopic/Culture.Media.Television|963|classification.ores.articletopic/Culture.Media.Media*|928|classification.ores.articletopic/Culture.Biography.Biography*|881","Q2290416","nm0717179",NA,NA,"nm0717176",NA
"Steven Gerrard","classification.ores.articletopic/Culture.Sports|997|classification.ores.articletopic/Geography.Regions.Europe.Europe*|977|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|996|classification.ores.articletopic/Culture.Biography.Biography*|985|recommendation.image_section/exists|1","Q459830","nm1350448","Steven Gerrard","match",NA,NA
"David Byrne","classification.ores.articletopic/Culture.Media.Music|973|classification.ores.articletopic/Culture.Biography.Biography*|992|classification.ores.articletopic/Culture.Media.Media*|924","Q336640","nm126154",NA,NA,"nm0126154",NA
"Caitriona Balfe","classification.ores.articletopic/Culture.Biography.Biography*|691|classification.ores.articletopic/Culture.Media.Media*|662|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|653","Q2933352","nm2928020",NA,NA,"nm1495520",NA
"Lola Zackow","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|980|classification.ores.articletopic/Culture.Media.Media*|957|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|554|classification.ores.articletopic/Geography.Regions.Europe.Europe*|515","Q119802740","nm11198177","Lola Zackow","match",NA,NA
"Aurora Aksnes","classification.ores.articletopic/Culture.Biography.Women|708|classification.ores.articletopic/Culture.Biography.Biography*|904|classification.ores.articletopic/Culture.Media.Media*|884|classification.ores.articletopic/Culture.Media.Music|702|classification.ores.articletopic/History and Society.Society|385","Q19329827","nm7828788",NA,NA,"nm1034333",NA
"Felicia Feldt","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Europe.Europe*|851|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|749|classification.ores.articletopic/Culture.Biography.Women|554","Q4947753","nm4865576","Felicia Feldt","match",NA,NA
"Oscar Harryson","classification.ores.articletopic/Culture.Biography.Biography*|984|classification.ores.articletopic/Culture.Media.Media*|909|classification.ores.articletopic/Culture.Media.Films|538","Q117964969","nm13146205","Oscar Harryson","match",NA,NA
"Lena Headey","classification.ores.articletopic/Culture.Media.Media*|950|classification.ores.articletopic/Culture.Media.Films|813|classification.ores.articletopic/History and Society.Society|321|classification.ores.articletopic/Culture.Biography.Biography*|630","Q228789","nm372176",NA,NA,"nm0372176",NA
"Evanescence","classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Biography.Biography*|518|classification.ores.articletopic/Culture.Media.Music|960","Q1777698","nm1341624","Amy Lee","not exact match","nm1419276",NA
"Bruce Boxleitner","classification.ores.articletopic/Culture.Media.Radio|412|classification.ores.articletopic/Culture.Media.Television|798|classification.ores.articletopic/Culture.Biography.Biography*|658|classification.ores.articletopic/Geography.Regions.Americas.North America|717|classification.ores.articletopic/Culture.Media.Media*|929","Q356156","nm310",NA,NA,"nm0000310",NA
"Michael B. Jordan","classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/Culture.Biography.Biography*|997|classification.ores.articletopic/Culture.Media.Media*|938","Q3308007","nm430107",NA,NA,"nm0430107",NA
"Joan Baez","classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Biography.Women|798|classification.ores.articletopic/History and Society.History|699|classification.ores.articletopic/Geography.Regions.Americas.North America|705|classification.ores.articletopic/Culture.Media.Music|676|classification.ores.articletopic/Culture.Biography.Biography*|950|classification.ores.articletopic/History and Society.Society|352","Q131725","nm0267462","Mimi Fariña","not exact match","nm0001926",NA
"Irving Berlin","classification.ores.articletopic/Culture.Media.Media*|977|classification.ores.articletopic/Geography.Regions.Americas.North_America|705|classification.ores.articletopic/Culture.Media.Music|989|classification.ores.articletopic/Culture.Biography.Biography*|982","Q128746","nm927",NA,NA,"nm0000927",NA
"Naila Schuberth","classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Media.Media*|970|classification.ores.articletopic/Culture.Media.Films|977","Q120661638","nm11131021","Naila Schuberth","match",NA,NA
"Kryddan Peterson","classification.ores.articletopic/Geography.Regions.Europe.Europe*|867|classification.ores.articletopic/Culture.Media.Media*|658|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|926|classification.ores.articletopic/Culture.Biography.Biography*|994","Q6045057","nm0677254","Kryddan Peterson","match",NA,NA
"Erin Hunter","classification.ores.articletopic/Culture.Media.Media*|538|classification.ores.articletopic/Geography.Regions.Europe.Europe*|600|classification.ores.articletopic/Culture.Biography.Biography*|989|classification.ores.articletopic/Culture.Biography.Women|712|recommendation.image/exists|1","Q641740","nm7704394","Erin Hunter","match",NA,NA
"Nikanor Teratologen","classification.ores.articletopic/Culture.Biography.Biography*|518|classification.ores.articletopic/Culture.Literature|663|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|960|classification.ores.articletopic/Geography.Regions.Europe.Europe*|981","Q5967236","nm9528123","Niclas Lundkvist","not exact match",NA,NA
"Topless","classification.ores.articletopic/Culture.Visual_arts.Fashion|737|classification.ores.articletopic/Culture.Biography.Women|760|classification.ores.articletopic/History_and_Society.Society|692|classification.ores.articletopic/Culture.Biography.Biography*|546","Q83772","nm2128467","Lina Esco","not exact match",NA,NA
"Nicholas Hoult","classification.ores.articletopic/Culture.Media.Media*|908|classification.ores.articletopic/Culture.Sports|41|classification.ores.articletopic/Culture.Biography.Biography*|741|classification.ores.articletopic/Culture.Media.Films|619","Q298347","nm396558",NA,NA,"nm0396558",NA
"Boyzone","classification.ores.articletopic/Culture.Media.Media*|953|classification.ores.articletopic/Geography.Regions.Europe.Europe*|930|classification.ores.articletopic/Culture.Biography.Biography*|568|classification.ores.articletopic/Culture.Media.Music|854|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|951","Q213495","nm1477874","Boyzone","match",NA,NA
"Lancelot Ncube","classification.ores.articletopic/Culture.Biography.Biography*|936|classification.ores.articletopic/Culture.Media.Films|500|classification.ores.articletopic/Geography.Regions.Europe.Europe*|562|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|615","Q95606830","nm8345076","Lancelot Ncube","match",NA,NA
"Phil Mickelson","classification.ores.articletopic/Culture.Biography.Biography*|869|classification.ores.articletopic/Culture.Sports|999","Q325374","nm0585311","Phil Mickelson","match",NA,NA
"Ice-T","classification.ores.articletopic/Geography.Regions.Americas.North_America|637|classification.ores.articletopic/Culture.Media.Music|999|classification.ores.articletopic/Culture.Media.Media*|1000|classification.ores.articletopic/Culture.Biography.Biography*|960","Q309941","nm1384",NA,NA,"nm0001384",NA
"Karin Dreijer","classification.ores.articletopic/Geography.Regions.Europe.Europe*|955|classification.ores.articletopic/Culture.Biography.Biography*|941|classification.ores.articletopic/Culture.Media.Music|962|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|969|classification.ores.articletopic/Culture.Media.Media*|936","Q260570","nm3974786","Fever Ray","not exact match","nm2508519",NA
"Olle Einarsson","classification.ores.articletopic/Culture.Media.Media*|500|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|970|classification.ores.articletopic/Geography.Regions.Europe.Europe*|808|classification.ores.articletopic/Culture.Biography.Biography*|562","Q121406135","nm12738039","Olle Einarsson","match",NA,NA
"Soilwork","classification.ores.articletopic/Culture.Biography.Biography*|890|classification.ores.articletopic/Culture.Media.Music|952|classification.ores.articletopic/Culture.Media.Media*|926","Q257615","nm0000226","Will Smith","not exact match","nm2444850",NA
"Sage Linder","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|992|classification.ores.articletopic/Culture.Media.Media*|968|classification.ores.articletopic/Culture.Biography.Women|569","Q121599600","nm8919543","Sage Linder","match",NA,NA
"Marianne Bernadotte","classification.ores.articletopic/Geography.Regions.Europe.Europe*|969|classification.ores.articletopic/Culture.Biography.Biography*|991|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|989","Q5177069","nm1960272",NA,NA,"nm0511391",NA
"Pete Townshend","classification.ores.articletopic/Culture.Biography.Biography*|953|classification.ores.articletopic/Culture.Media.Music|986|classification.ores.articletopic/Culture.Media.Media*|926","Q26933","nm0870228",NA,NA,"nm0870175",NA
"Irina Eidsvold Tøien","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Films|987|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Culture.Biography.Women|658","Q121334940","nm0879578","Irina Eidsvold Tøien","match",NA,NA
"Louis Tomlinson","classification.ores.articletopic/Culture.Media.Television|699|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|921|classification.ores.articletopic/Culture.Media.Music|946|classification.ores.articletopic/Culture.Biography.Biography*|943|classification.ores.articletopic/Culture.Media.Media*|926|classification.ores.articletopic/Geography.Regions.Europe.Europe*|972|recommendation.image_section/exists|1","Q3624971","nm4108424","One Direction","not exact match","nm4164873",NA
"Ching Shih","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|1000|classification.ores.articletopic/History_and_Society.Politics_and_government|787|classification.ores.articletopic/Culture.Biography.Biography*|523|classification.ores.articletopic/Geography.Regions.Asia.Asia*|997","Q266715","nm5080543","Ruibo Qian","not exact match",NA,NA
"Liberace","classification.ores.articletopic/Culture.Media.Media*|887|classification.ores.articletopic/Culture.Biography.Biography*|959|classification.ores.articletopic/Geography.Regions.Americas.North America|708|classification.ores.articletopic/Culture.Media.Radio|362","Q347528","nm508766",NA,NA,"nm0508766",NA
"Sara Young","classification.ores.articletopic/Culture.Biography.Biography*|995|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|946|classification.ores.articletopic/Geography.Regions.Europe.Europe*|924|classification.ores.articletopic/Culture.Media.Media*|907|classification.ores.articletopic/Culture.Media.Entertainment|899","Q4990841","nm7624588",NA,NA,"nm7392499",NA
"Marilyn Monroes vita klänning","classification.ores.articletopic/History and Society.History|195|classification.ores.articletopic/Culture.Biography.Biography*|381|classification.ores.articletopic/Culture.Visual arts.Fashion|983|classification.ores.articletopic/Culture.Visual arts.Visual arts*|992|classification.ores.articletopic/STEM.Space|673|recommendation.link/exists|1","Q247262","nm0871359","Travilla","not exact match",NA,NA
"Suheib Saleh","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|949|classification.ores.articletopic/Geography.Regions.Europe.Europe*|943|classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Media.Films|912|classification.ores.articletopic/Culture.Biography.Women|904","Q122773011","nm10587051","Suheib Saleh","match",NA,NA
"Suzanne Axell","classification.ores.articletopic/Culture.Sports|49|classification.ores.articletopic/Geography.Regions.Europe.Europe*|969|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|965|classification.ores.articletopic/Culture.Biography.Women|915|classification.ores.articletopic/Culture.Biography.Biography*|987|classification.ores.articletopic/History and Society.History|257","Q4937055","nm4166104","Suzanne Axell","match",NA,NA
"Svensk film","classification.ores.articletopic/Geography.Regions.Europe.Europe*|955|classification.ores.articletopic/Culture.Biography.Biography*|351|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|985|classification.ores.articletopic/Culture.Media.Films|790|recommendation.image_section/exists|1","Q1199168","nm0005815","Sven Nykvist","not exact match",NA,NA
