"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Μόργκαν Φρίμαν","classification.ores.articletopic/Culture.Media.Media*|856|classification.ores.articletopic/Geography.Regions.Americas.North America|787|classification.ores.articletopic/Culture.Media.Films|764|classification.ores.articletopic/History and Society.Society|448|classification.ores.articletopic/Culture.Sports|50|classification.ores.articletopic/Culture.Biography.Biography*|755|recommendation.image_section/exists|1","Q48337","tt0102798","Robin Hood: Prince of Thieves","not exact match",NA,NA
"Σάσα Μπάρον Κόεν","classification.ores.articletopic/Culture.Media.Media*|932|classification.ores.articletopic/Culture.Biography.Biography*|847|classification.ores.articletopic/Culture.Media.Films|743|recommendation.image_section/exists|1","Q29055","tt8679236","Who Is America?","not exact match",NA,NA
"Μιγκέλ Εράν","classification.ores.articletopic/Geography.Regions.Europe.Europe*|622|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|822|classification.ores.articletopic/Culture.Biography.Biography*|953|classification.ores.articletopic/Culture.Media.Films|812|classification.ores.articletopic/Culture.Media.Media*|880","Q23226202","tt5969653",NA,NA,NA,NA
"Νίκολας Χουλτ","classification.ores.articletopic/Culture.Media.Media*|908|classification.ores.articletopic/Culture.Sports|41|classification.ores.articletopic/Culture.Biography.Biography*|741|classification.ores.articletopic/Culture.Media.Films|619","Q298347","tt3361792","Tolkien","not exact match",NA,NA
"Cowboy Bebop","classification.ores.articletopic/Culture.Media.Media*|724|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|993|classification.ores.articletopic/Culture.Literature|896|classification.ores.articletopic/Culture.Media.Films|500|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|979","Q232246","tt0213338","Cowboy Bebop","match",NA,NA
"Παραγγελιά!","classification.ores.articletopic/Culture.Media.Media*|993|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|998|classification.ores.articletopic/Geography.Regions.Europe.Europe*|962|classification.ores.articletopic/Culture.Media.Films|1000","Q122871103","tt0081304","Parangelia!","not exact match",NA,NA
"Ντόναλντ Ντακ","classification.ores.articletopic/Culture.Literature|961|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Culture.Media.Films|807|recommendation.image_section/exists|1","Q6550","tt0025997","The Wise Little Hen","not exact match",NA,NA
"Ζέτα Αποστόλου","classification.ores.articletopic/Culture.Media.Media*|965|classification.ores.articletopic/Geography.Regions.Europe.Europe*|945|classification.ores.articletopic/Culture.Biography.Biography*|899|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|956|classification.ores.articletopic/Culture.Media.Films|945","Q104520478","tt0194753","The Girl Can't Stop","not exact match",NA,NA
"Ναγκίσα Όσιμα","classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Geography.Regions.Asia.East_Asia|793|classification.ores.articletopic/Geography.Regions.Asia.Asia*|600|classification.ores.articletopic/Culture.Biography.Biography*|995|classification.ores.articletopic/Culture.Media.Films|904","Q55403","tt0109003","100 Years of Japanese Cinema","not exact match",NA,NA
"Λουκίνο Βισκόντι","classification.ores.articletopic/Culture.Performing_arts|562|classification.ores.articletopic/Culture.Biography.Biography*|939|classification.ores.articletopic/Geography.Regions.Europe.Europe*|766|classification.ores.articletopic/Culture.Media.Media*|930|classification.ores.articletopic/Culture.Media.Films|658|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|718","Q13888","tt0074686","L'Innocente","not exact match",NA,NA
"Ηλίας Κοτέας","classification.ores.articletopic/Geography.Regions.Americas.North_America|826|classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Culture.Media.Media*|754|classification.ores.articletopic/Culture.Biography.Biography*|993","Q379808","tt0787373","No Reason","not exact match",NA,NA
"Πήτερ Ο' Τουλ","classification.ores.articletopic/Geography.Regions.Europe.Europe*|515|classification.ores.articletopic/Culture.Media.Media*|956|classification.ores.articletopic/Culture.Biography.Biography*|914|classification.ores.articletopic/Culture.Media.Films|943","Q103876","tt0068909","Man of La Mancha","not exact match",NA,NA
