"title","wikibase_item","Distributor"
"Scream (τηλεοπτική σειρά)","Q18645277","distributor = [[The Weinstein Company]] "
"Agents of S.H.I.E.L.D.","Q537911","distributor = Disney-ABC Domestic Television "
"Ashes in the Snow","Q22947464","distributor = [[Vertical Entertainment]] "
