"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Эксплуатационное кино","classification.ores.articletopic/Culture.Media.Films|973|classification.ores.articletopic/Culture.Media.Media*|992","Q1067324","tt1307861","American Grindhouse","not exact match",NA,NA
"Рапунцель (Дисней)","classification.ores.articletopic/Culture.Literature|888|classification.ores.articletopic/Culture.Media.Films|955|classification.ores.articletopic/Culture.Media.Media*|958|recommendation.image_section/exists|1","Q4902053","tt0398286","Tangled","not exact match",NA,NA
"Локи (1-й сезон)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|782|classification.ores.articletopic/Culture.Media.Media*|980|classification.ores.articletopic/Culture.Media.Films|847|classification.ores.articletopic/Culture.Media.Television|592|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|766|classification.ores.articletopic/Culture.Literature|737|recommendation.image_section/exists|1","Q107185252","tt9140554","Loki","not exact match",NA,NA
"Список эпизодов мультсериала «Звёздные войны: Повстанцы»","classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Culture.Media.Films|999","Q20740016","tt2930604","Star Wars Rebels","not exact match",NA,NA
"Кевин Маккаллистер","classification.ores.articletopic/Geography.Regions.Americas.North_America|948|classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Culture.Media.Media*|991|classification.ores.articletopic/Culture.Media.Films|901|recommendation.image_section/exists|1","Q55653512","tt0099785","Home Alone","not exact match",NA,NA
"Хайнц Фуфелшмертц","classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Culture.Media.Television|890|classification.ores.articletopic/Culture.Media.Films|968|classification.ores.articletopic/Culture.Literature|629|recommendation.link/exists|1","Q2996360","tt852863",NA,NA,NA,NA
"Джеймс Хоулетт (киноперсонаж)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|961|classification.ores.articletopic/Culture.Literature|962|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|952|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Culture.Media.Media*|890|recommendation.image_section/exists|1","Q97275436","tt0354226","X2 - Wolverine's Revenge","not exact match",NA,NA
"Список фильмов о Шерлоке Холмсе","classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Culture.Media.Media*|974","Q121157358","tt0218791","Sherlock Holmes in the 22nd Century","not exact match",NA,NA
"Винни-Пух (Дисней)","classification.ores.articletopic/Culture.Media.Entertainment|411|classification.ores.articletopic/Culture.Media.Films|999|classification.ores.articletopic/Culture.Media.Media*|979|recommendation.image_section/exists|1","Q1427030","tt1449283","Winnie the Pooh","not exact match",NA,NA
"Кинофантастика","classification.ores.articletopic/Culture.Media.Entertainment|984|classification.ores.articletopic/Culture.Media.Media*|996|classification.ores.articletopic/Culture.Media.Films|938|recommendation.image_section/exists|1","Q2973181","tt8344332","James Cameron's Story of Science Fiction","not exact match",NA,NA
"Кинематографическая вселенная Marvel: Первая фаза","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|985|classification.ores.articletopic/Culture.Media.Media*|982|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|975|classification.ores.articletopic/Culture.Media.Films|968|classification.ores.articletopic/Culture.Literature|968","Q51963292","tt0800369","Thor","not exact match",NA,NA
"Убойная сила (сезон 6)","classification.ores.articletopic/Geography.Regions.Europe.Europe*|644|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|515|classification.ores.articletopic/Culture.Media.Media*|972|classification.ores.articletopic/Culture.Media.Films|961","Q4468698","tt0271242","Uboynaya sila","not exact match",NA,NA
"Аврора (Дисней)","classification.ores.articletopic/Culture.Media.Music|231|classification.ores.articletopic/Culture.Literature|880|classification.ores.articletopic/Culture.Media.Films|889|classification.ores.articletopic/Culture.Biography.Biography*|366|classification.ores.articletopic/Culture.Media.Media*|935","Q519034","tt1175494","DTV Valentine","not exact match",NA,NA
"Джеймс Роудс (Кинематографическая вселенная Marvel)","classification.ores.articletopic/Culture.Media.Films|777|classification.ores.articletopic/Culture.Literature|951|classification.ores.articletopic/Culture.Media.Television|592|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|966|classification.ores.articletopic/Culture.Media.Media*|948|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|948","Q23895040","tt1228705","Iron Man 2","not exact match",NA,NA
"Фильмография Мэрилин Монро","classification.ores.articletopic/Culture.Biography.Biography*|817|classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/Culture.Media.Media*|996","Q1539082","tt0053291","Some Like It Hot","not exact match",NA,NA
"Белль (Дисней)","classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Films|979|classification.ores.articletopic/Culture.Biography.Women|523","Q2502489","tt0101414","Beauty and the Beast","not exact match",NA,NA
"Эш Уильямс","classification.ores.articletopic/Culture.Media.Media*|874|classification.ores.articletopic/Culture.Literature|672|classification.ores.articletopic/Culture.Media.Films|817","Q2552758","tt4189022","Ash vs Evil Dead","not exact match",NA,NA
"Питер Паркер (киноперсонаж, 2002)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|972|classification.ores.articletopic/Culture.Literature|962|classification.ores.articletopic/Culture.Media.Films|644|classification.ores.articletopic/Culture.Media.Media*|919|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|959","Q60464931","tt0290983","Spider-Man","not exact match",NA,NA
"Убойная сила (сезон 5)","classification.ores.articletopic/Geography.Regions.Europe.Europe*|699|classification.ores.articletopic/Culture.Media.Films|615|classification.ores.articletopic/Culture.Media.Media*|924","Q4468697","tt0271242","Uboynaya sila","not exact match",NA,NA
"2005 год в кино","classification.ores.articletopic/Culture.Media.Films|986|classification.ores.articletopic/Culture.Media.Media*|973","Q742202","tt0287457","Genesis","not exact match",NA,NA
"Базз Лайтер","classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Entertainment|934|classification.ores.articletopic/Culture.Media.Films|949","Q1986193","tt0120363","Toy Story 2","not exact match",NA,NA
"Мистер Картофельная голова","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Entertainment|988|classification.ores.articletopic/Culture.Media.Films|340|recommendation.link/exists|1","Q549344","tt0315688","The Mr. Potato Head Show","not exact match",NA,NA
"Премия «Пэксан» за лучшую женскую роль (телевидение)","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|998|classification.ores.articletopic/Culture.Media.Television|665|classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Geography.Regions.Asia.Asia*|996|classification.ores.articletopic/Culture.Media.Films|890","Q65121879","tt1361356","East of Eden","not exact match",NA,NA
"Список наград и номинаций трилогии «Властелин колец»","classification.ores.articletopic/History and Society.Society|592|classification.ores.articletopic/Culture.Media.Films|991|classification.ores.articletopic/Culture.Media.Media*|961","Q11351020","tt0120737","The Lord of the Rings: The Fellowship of the Ring","not exact match",NA,NA
"Дау (проект)","classification.ores.articletopic/Culture.Media.Media*|743|classification.ores.articletopic/Geography.Regions.Europe.Europe*|731|classification.ores.articletopic/Culture.Media.Films|692|recommendation.image/exists|1","Q4155216","tt1728616","Dau","not exact match",NA,NA
"Список самых кассовых кукольных мультфильмов","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|990","Q27972240","tt0073000","The Pinchcliffe Grand Prix","not exact match",NA,NA
"Вступительная заставка","classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Media.Films|724","Q441606","tt0028249","Show Boat","not exact match",NA,NA
"Королева крика","classification.ores.articletopic/Culture.Literature|622|classification.ores.articletopic/Culture.Media.Films|880|classification.ores.articletopic/Culture.Media.Media*|863","Q1381535","tt0310549","Scream Queens","not exact match",NA,NA
"Мулан (Дисней)","classification.ores.articletopic/Culture.Media.Media*|964|classification.ores.articletopic/Culture.Biography.Women|803|classification.ores.articletopic/Culture.Media.Films|955|classification.ores.articletopic/Culture.Biography.Biography*|644|recommendation.image_section/exists|1","Q246838","tt0120762","Mulan","not exact match",NA,NA
"Злая королева (Дисней)","classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Biography.Biography*|803|classification.ores.articletopic/Culture.Media.Media*|968","Q252044","tt0237277","Golden Anniversary of Snow White and the Seven Dwarfs","not exact match",NA,NA
"Классическая серия фильмов ужасов студии Universal","classification.ores.articletopic/Culture.Media.Media*|976|classification.ores.articletopic/Culture.Media.Films|948","Q2037884","tt0022835","Dr. Jekyll and Mr. Hyde","not exact match",NA,NA
"Отто Октавиус (киноперсонаж)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|952|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Culture.Media.Films|754|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|934|classification.ores.articletopic/Culture.Literature|934","Q63761127","tt1111830","Spider-Man: Friend or Foe","not exact match",NA,NA
"Сокровище (фильм, 2009)","classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/Geography.Regions.Americas.North_America|500|classification.ores.articletopic/Culture.Media.Films|1000|recommendation.image_section/exists|1","Q269331","tt0929632","Precious","not exact match",NA,NA
"Список персонажей серии фильмов «Люди Икс»","classification.ores.articletopic/Culture.Media.Media*|843|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|793|classification.ores.articletopic/Culture.Literature|863|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|812|classification.ores.articletopic/Culture.Media.Films|515","Q4435782","tt1877832","X-Men: Days of Future Past","not exact match",NA,NA
"Стереокинематограф","classification.ores.articletopic/Culture.Media.Films|909|classification.ores.articletopic/Culture.Media.Media*|870","Q229390","tt0013506","The Power of Love","not exact match",NA,NA
"Джокер (Джек Напье)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|994|classification.ores.articletopic/Culture.Literature|993|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|989|classification.ores.articletopic/Culture.Media.Films|637|classification.ores.articletopic/Culture.Media.Media*|737","Q24049262","tt0096895","Batman","not exact match",NA,NA
"Мумия (кинофраншиза)","classification.ores.articletopic/Culture.Media.Films|992|classification.ores.articletopic/Culture.Media.Media*|992|recommendation.image/exists|1","Q3823300","tt1104123","The Scorpion King 2: Rise of a Warrior","not exact match",NA,NA
"Филип Марлоу","classification.ores.articletopic/Culture.Media.Films|870|classification.ores.articletopic/Culture.Media.Media*|971|classification.ores.articletopic/Culture.Literature|771","Q623732","tt3465830","The Long Goodbye","not exact match",NA,NA
"Утерянный фильм","classification.ores.articletopic/Culture.Media.Media*|995|classification.ores.articletopic/Culture.Media.Films|995","Q1268687","tt0440913","Japanese King Kong","not exact match",NA,NA
"Мьёльнир (Marvel Comics)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|970|classification.ores.articletopic/Culture.Media.Media*|831|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|968|classification.ores.articletopic/Culture.Literature|967|classification.ores.articletopic/Culture.Media.Films|507|recommendation.image_section/exists|1","Q1401384","tt0314724","Stan Lee's Mutants, Monsters & Marvels","not exact match",NA,NA
"Фильм-тайна","classification.ores.articletopic/Culture.Media.Films|973|classification.ores.articletopic/Culture.Media.Media*|991","Q1200678","tt0452623","Gone Baby Gone","not exact match",NA,NA
"Джей Джона Джеймсон (киноперсонаж)","classification.ores.articletopic/Culture.Media.Films|760|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|962|classification.ores.articletopic/Culture.Literature|960|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|977|classification.ores.articletopic/Culture.Media.Media*|949|classification.ores.articletopic/Culture.Media.Television|515","Q109253048","tt0290983","Spider-Man","not exact match",NA,NA
"Ренессанс «Диснея»","classification.ores.articletopic/Culture.Media.Films|985|classification.ores.articletopic/Culture.Media.Media*|993","Q906232","tt0101414","Beauty and the Beast","not exact match",NA,NA
"Академия Амбрелла (1-й сезон)","classification.ores.articletopic/Culture.Media.Television|743|classification.ores.articletopic/Geography.Regions.Americas.North_America|718|classification.ores.articletopic/Culture.Media.Films|622|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|585|classification.ores.articletopic/Culture.Media.Media*|994","Q62565908","tt1312171","The Umbrella Academy","not exact match",NA,NA
"Широкоформатный кинематограф","classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Culture.Media.Films|990","Q261242","tt1560747","The Master","not exact match",NA,NA
"Фильмография Роберта Родригеса","classification.ores.articletopic/Culture.Media.Films|992|classification.ores.articletopic/Culture.Media.Media*|995","Q4484394","tt0105236","Reservoir Dogs","not exact match",NA,NA
"Флинт Марко (киноперсонаж)","classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|955|classification.ores.articletopic/Culture.Media.Television|592|classification.ores.articletopic/Culture.Media.Media*|970|classification.ores.articletopic/Culture.Media.Films|867|classification.ores.articletopic/Culture.Literature|959|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|975","Q63761188","tt0837564","Spider-Man 3","not exact match",NA,NA
"Список эпизодов мультсериала «Скуби-Ду! Мистическая корпорация»","classification.ores.articletopic/Culture.Media.Media*|912|classification.ores.articletopic/Culture.Media.Films|515","Q461281","tt1660055","Scooby-Doo! Mystery Incorporated","not exact match",NA,NA
"Пираты Карибского моря: Проклятие Чёрной жемчужины (саундтрек)","classification.ores.articletopic/Culture.Media.Films|772|classification.ores.articletopic/Culture.Media.Music|815|classification.ores.articletopic/Culture.Media.Media*|982","Q1935773","tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl","not exact match",NA,NA
"Women in prison","classification.ores.articletopic/Culture.Media.Films|632|classification.ores.articletopic/Culture.Biography.Biography*|501|classification.ores.articletopic/Culture.Literature|748|classification.ores.articletopic/History and Society.Society|485","Q583768","tt0165695","Contrainte par corps","not exact match",NA,NA
"Blackmagic Design","classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Culture.Media.Films|835","Q2498553","tt1392190","Mad Max: Fury Road","not exact match",NA,NA
"Мурзилка (персонаж)","classification.ores.articletopic/History_and_Society.Military_and_warfare|839|classification.ores.articletopic/Culture.Media.Media*|835|classification.ores.articletopic/Culture.Media.Films|523|classification.ores.articletopic/Geography.Regions.Asia.Asia*|523","Q97662296","tt0235318","The Creators of 'Foxy Grandpa'","not exact match",NA,NA
"Селина Кайл (трилогия «Тёмный рыцарь»)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|984|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|986|classification.ores.articletopic/Culture.Literature|990|classification.ores.articletopic/Culture.Media.Films|692|classification.ores.articletopic/Culture.Media.Media*|737","Q121314371","tt3976222","The Dark Knight Rises","not exact match",NA,NA
"Флора, Фауна и Меривеза","classification.ores.articletopic/Culture.Media.Films|751|classification.ores.articletopic/Culture.Media.Media*|951|classification.ores.articletopic/Culture.Literature|709","Q4491097","tt0381471","Once Upon a Dream: The Making of Walt Disney's 'Sleeping Beauty'","not exact match",NA,NA
"Фильм категории Z","classification.ores.articletopic/Culture.Media.Media*|887|classification.ores.articletopic/Culture.Media.Films|958","Q1117103","tt2648138","The Melonheads","not exact match",NA,NA
"Список эпизодов телесериала «Волшебники из Вэйверли Плэйс»","classification.ores.articletopic/Culture.Media.Television|500|classification.ores.articletopic/Culture.Media.Films|990|classification.ores.articletopic/Culture.Media.Media*|992","Q918192","tt0799922","Wizards of Waverly Place","not exact match",NA,NA
"Список персонажей телесериала «Книга Бобы Фетта»","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Entertainment|577|classification.ores.articletopic/Culture.Media.Media*|994|classification.ores.articletopic/Culture.Literature|607","Q111182614","tt13668894","The Book of Boba Fett","not exact match",NA,NA
"Галактический сенат","classification.ores.articletopic/Culture.Media.Films|961|classification.ores.articletopic/Culture.Media.Media*|949","Q1056528","tt0120915","Star Wars: Episode I - The Phantom Menace","not exact match",NA,NA
"Гордость и предубеждение (значения)","classification.ores.articletopic/Culture.Media.Films|715|classification.ores.articletopic/Culture.Media.Media*|928","Q232485","tt0414386","Pride and Prejudice","not exact match",NA,NA
"Макс Диллон (киноперсонаж)","classification.ores.articletopic/Culture.Media.Entertainment|452|classification.ores.articletopic/Culture.Literature|990|classification.ores.articletopic/Culture.Media.Films|494","Q110871130","tt3262076","The Amazing Spider-Man 2","not exact match",NA,NA
"16-мм киноплёнка","classification.ores.articletopic/Culture.Media.Media*|767|classification.ores.articletopic/Culture.Media.Films|975","Q194383","tt0185937","The Blair Witch Project","not exact match",NA,NA
"Список наград и номинаций фильма «Однажды в Голливуде»","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Media.Films|1000","Q81972874","tt7131622","Once Upon a Time in Hollywood","not exact match",NA,NA
"Список наград и номинаций фильма «127 часов»","classification.ores.articletopic/Culture.Media.Films|1000|classification.ores.articletopic/Culture.Media.Media*|1000","Q6604802","tt1542344","127 Hours","not exact match",NA,NA
"Анаморфированный киноформат","classification.ores.articletopic/Culture.Media.Films|567|classification.ores.articletopic/Culture.Visual arts.Visual arts*|759|recommendation.image/exists|1","Q11295","tt0057413","The Pink Panther","not exact match",NA,NA
"Нала (Король Лев)","classification.ores.articletopic/Culture.Media.Media*|877|classification.ores.articletopic/Culture.Literature|577|classification.ores.articletopic/Culture.Media.Films|749","Q2365445","tt0110357","The Lion King","not exact match",NA,NA
"Курт Коннорс (киноперсонаж, 2012)","classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|971|classification.ores.articletopic/Culture.Literature|960|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|956|classification.ores.articletopic/Culture.Media.Films|890|classification.ores.articletopic/Culture.Media.Television|538|classification.ores.articletopic/Culture.Media.Media*|969","Q110871142","tt2249079","The Amazing Spider-Man","not exact match",NA,NA
"Мьёльнир и Громсекира","classification.ores.articletopic/Culture.Media.Films|672|classification.ores.articletopic/Culture.Literature|951|classification.ores.articletopic/Culture.Visual_arts.Visual_arts*|932|classification.ores.articletopic/Culture.Visual_arts.Comics_and_Anime|949|classification.ores.articletopic/Culture.Media.Media*|904","Q115826004","tt0314724","Stan Lee's Mutants, Monsters & Marvels","not exact match",NA,NA
"Плот (рассказ)","classification.ores.articletopic/Culture.Media.Media*|980|classification.ores.articletopic/Culture.Media.Films|285|classification.ores.articletopic/Culture.Literature|959","Q7759254","tt0092796","Creepshow 2","not exact match",NA,NA
"Yo Ho (A Pirate’s Life for Me)","classification.ores.articletopic/Culture.Media.Films|379|classification.ores.articletopic/Culture.Media.Media*|990|classification.ores.articletopic/Culture.Media.Music|542","Q1984654","tt0366370","Mickey's Fun Songs: Beach Party at Walt Disney World","not exact match",NA,NA
