"title","weighted_tags","wikibase_item","FilmID","primaryTitle","status","QID.imdb","imdb.status"
"Filmåret 2004","classification.ores.articletopic/Culture.Media.Media*|963|classification.ores.articletopic/Culture.Media.Films|977","Q643599","tt0378254","Lilla Jönssonligan på kollo","not exact match",NA,NA
"Beck – Döden i Samarra","classification.ores.articletopic/Geography.Regions.Europe.Europe*|982|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|976|classification.ores.articletopic/Culture.Media.Media*|928|classification.ores.articletopic/Culture.Media.Films|731","Q105739546","tt13585338","Döden i Samarra","not exact match",NA,NA
"Hornblowers äventyr","classification.ores.articletopic/Culture.Media.Television|665|classification.ores.articletopic/Culture.Media.Media*|962|classification.ores.articletopic/Culture.Media.Films|545|recommendation.image/exists|1","Q735749","tt0129686","Horatio Hornblower: The Duel","not exact match",NA,NA
"Filmåret 1974","classification.ores.articletopic/Culture.Media.Films|992|classification.ores.articletopic/Culture.Media.Media*|984","Q829629","tt0071798","The Maids","not exact match",NA,NA
"Filmåret 1964","classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Films|977|classification.ores.articletopic/History_and_Society.History|507","Q766884","tt0058783","Åsa-Nisse i popform","not exact match",NA,NA
"Encounters: Jakten på nya ufo-bevis","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/Culture.Media.Films|998","Q122578946","tt28692332","Encounters","not exact match",NA,NA
"Filmåret 1979","classification.ores.articletopic/Culture.Media.Media*|987|classification.ores.articletopic/Culture.Media.Films|986|classification.ores.articletopic/History_and_Society.History|615","Q753322","tt0078748","Alien","not exact match",NA,NA
"Filmåret 2001","classification.ores.articletopic/Culture.Media.Media*|986|classification.ores.articletopic/Culture.Media.Films|998","Q753352","tt0213149","Pearl Harbor","not exact match",NA,NA
"Filmåret 1953","classification.ores.articletopic/Culture.Media.Media*|978|classification.ores.articletopic/Culture.Media.Films|998","Q829639","tt0046571","Åsa-Nisse på semester","not exact match",NA,NA
"Kuriren (TV-serie)","classification.ores.articletopic/Culture.Media.Media*|967|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|793|classification.ores.articletopic/Culture.Media.Films|743|classification.ores.articletopic/Geography.Regions.Europe.Europe*|607|classification.ores.articletopic/Culture.Media.Television|523","Q18291475","tt4440814","Kuriren","not exact match",NA,NA
"Marie Bonaparte","classification.ores.articletopic/Culture.Media.Films|270|classification.ores.articletopic/Culture.Biography.Biography*|920|classification.ores.articletopic/Culture.Biography.Women|866|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|817|classification.ores.articletopic/History and Society.History|912|classification.ores.articletopic/Geography.Regions.Europe.Europe*|982","Q115472","tt0363801","Princesse Marie","not exact match",NA,NA
"Kink.com","classification.ores.articletopic/Culture.Media.Media*|988|classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/History and Society.Society|308|classification.ores.articletopic/STEM.STEM*|652|classification.ores.articletopic/STEM.Biology|235","Q217680","tt2017634","Kink","not exact match",NA,NA
"Juggernaut (seriefigur)","classification.ores.articletopic/Culture.Literature|998|classification.ores.articletopic/Culture.Visual arts.Visual arts*|956|classification.ores.articletopic/Culture.Media.Films|500","Q841372","tt0376994","X-Men: The Last Stand","not exact match",NA,NA
"Precious (film)","classification.ores.articletopic/Culture.Media.Films|964|classification.ores.articletopic/Culture.Media.Media*|979|recommendation.image_section/exists|1|recommendation.image/exists|1","Q269331","tt0929632","Precious","not exact match",NA,NA
"Filmåret 1967","classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Culture.Media.Films|951|classification.ores.articletopic/History_and_Society.History|515","Q615531","tt0062536","Åsa-Nisse i agentform","not exact match",NA,NA
"Filmåret 1959","classification.ores.articletopic/Culture.Media.Media*|971|classification.ores.articletopic/Culture.Media.Films|998","Q829591","tt0053475","Åsa-Nisse jubilerar","not exact match",NA,NA
"Filmåret 1966","classification.ores.articletopic/Culture.Media.Films|979|classification.ores.articletopic/Culture.Media.Media*|968","Q753342","tt0061224","Åsa-Nisse i raketform","not exact match",NA,NA
"Bröllop i kikar'n","classification.ores.articletopic/Culture.Media.Films|870|classification.ores.articletopic/Culture.Media.Media*|843|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|991|classification.ores.articletopic/Geography.Regions.Europe.Europe*|967","Q97385633","tt12700910","Bröllop i kikar'n","match",NA,NA
"Filmåret 1956","classification.ores.articletopic/Culture.Media.Media*|985|classification.ores.articletopic/Culture.Media.Films|998","Q829644","tt0049988","Åsa-Nisse flyger i luften","not exact match",NA,NA
"Filmåret 1972","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Media*|985","Q754016","tt0068235","Au Pair Girls","not exact match",NA,NA
"Faderland","classification.ores.articletopic/Culture.Media.Books|600|classification.ores.articletopic/Culture.Media.Films|546|classification.ores.articletopic/Culture.Media.Media*|859","Q845167","tt0109779","Fatherland","not exact match",NA,NA
"Filmåret 1968","classification.ores.articletopic/History_and_Society.History|585|classification.ores.articletopic/Culture.Media.Films|961|classification.ores.articletopic/Culture.Media.Media*|979","Q685713","tt0063856","Åsa-Nisse och den stora kalabaliken","not exact match",NA,NA
"Filmåret 1949","classification.ores.articletopic/Culture.Media.Media*|931|classification.ores.articletopic/Culture.Media.Films|985","Q269454","tt0049988","Åsa-Nisse flyger i luften","not exact match",NA,NA
"Gaypornografi","classification.ores.articletopic/Culture.Media.Media*|999|classification.ores.articletopic/STEM.STEM*|615|classification.ores.articletopic/History_and_Society.Society|964|classification.ores.articletopic/STEM.Biology|884|classification.ores.articletopic/Culture.Media.Films|1000","Q1067692","tt0213916","Le ménage moderne de Madame Butterfly","not exact match",NA,NA
"Dam i nöd","classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/Culture.Literature|672|classification.ores.articletopic/Culture.Media.Films|615","Q2293837","tt0020932","The Gorilla Mystery","not exact match",NA,NA
"Filmåret 1936","classification.ores.articletopic/Culture.Media.Media*|973|classification.ores.articletopic/Culture.Media.Films|973|classification.ores.articletopic/History_and_Society.History|817","Q848090","tt0027977","Modern Times","not exact match",NA,NA
"Filmåret 1952","classification.ores.articletopic/Culture.Media.Media*|954|classification.ores.articletopic/Culture.Media.Films|988","Q755658","tt0045357","Åsa-Nisse på nya äventyr","not exact match",NA,NA
"B-Reel Films","classification.ores.articletopic/Culture.Media.Media*|901|classification.ores.articletopic/Geography.Regions.Europe.Europe*|703|classification.ores.articletopic/Culture.Media.Films|957|classification.ores.articletopic/Geography.Regions.Europe.Northern Europe|655","Q108368234","tt10400028","I Am Zlatan","not exact match",NA,NA
"Brännvin i kikar'n","classification.ores.articletopic/Geography.Regions.Europe.Europe*|998|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|1000|classification.ores.articletopic/Culture.Media.Media*|754|classification.ores.articletopic/Culture.Media.Films|569","Q31888333","tt7661082","Brännvin i kikar'n","match",NA,NA
"Marcus Vögeli","classification.ores.articletopic/Culture.Biography.Biography*|994|classification.ores.articletopic/Culture.Media.Media*|973|classification.ores.articletopic/Culture.Media.Films|946|classification.ores.articletopic/Geography.Regions.Americas.North_America|644","Q122790668","tt4238825",NA,NA,NA,NA
"Filmåret 1937","classification.ores.articletopic/Culture.Media.Films|997|classification.ores.articletopic/Culture.Media.Media*|982","Q848066","tt0029583","Snow White and the Seven Dwarfs","not exact match",NA,NA
"Havsfilosofen","classification.ores.articletopic/Culture.Biography.Biography*|507|classification.ores.articletopic/Culture.Media.Media*|974|classification.ores.articletopic/Geography.Regions.Europe.Europe*|637|classification.ores.articletopic/Culture.Media.Films|957|classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|957","Q121742682","tt26746100","Philosopher of the Sea","not exact match",NA,NA
"Filmåret 1951","classification.ores.articletopic/Culture.Media.Films|993|classification.ores.articletopic/Culture.Media.Media*|934","Q289601","tt0043456","The Day the Earth Stood Still","not exact match",NA,NA
