"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Шахбокс","classification.ores.articletopic/Culture.Biography.Biography*|590|classification.ores.articletopic/Culture.Sports|992|recommendation.image_section/exists|1","Q490499","nm5896355","Anya Taylor-Joy","not exact match",NA,NA
"Романов, Алексей Андреевич (великий князь)","classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|979|classification.ores.articletopic/Geography.Regions.Asia.Asia*|960|classification.ores.articletopic/Culture.Biography.Biography*|959|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|949","Q21066162","nm0874743","Aleksey Nikolaeyvitch Romanov","not exact match",NA,NA
"Фильмография Мэрилин Монро","classification.ores.articletopic/Culture.Biography.Biography*|817|classification.ores.articletopic/Culture.Media.Films|996|classification.ores.articletopic/Culture.Media.Media*|996","Q1539082","nm0000054","Marilyn Monroe","not exact match",NA,NA
"Полянский, Дмитрий Степанович","classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|966|classification.ores.articletopic/Geography.Regions.Asia.North_Asia|963|classification.ores.articletopic/Geography.Regions.Europe.Europe*|959|classification.ores.articletopic/Geography.Regions.Asia.Asia*|941|classification.ores.articletopic/Culture.Biography.Biography*|831|classification.ores.articletopic/History_and_Society.Military_and_warfare|538","Q1232703","nm0245855","Dmitriy Dykhovichnyy","not exact match",NA,NA
"Kaws","classification.ores.articletopic/Culture.Visual arts.Visual arts*|987|classification.ores.articletopic/Culture.Biography.Biography*|909","Q3194367","nm1891678","Mic Neumann","not exact match",NA,NA
"Сампрас, Пит","classification.ores.articletopic/Culture.Sports|997|classification.ores.articletopic/Culture.Biography.Biography*|646","Q9446","nm1528441","Pete Sampras","not exact match",NA,NA
"Миссис Дэллоуэй","classification.ores.articletopic/Culture.Biography.Biography*|718|classification.ores.articletopic/Culture.Media.Media*|577|classification.ores.articletopic/Culture.Media.Books|749|classification.ores.articletopic/Culture.Biography.Women|546|classification.ores.articletopic/Culture.Literature|839","Q752584","nm0331296","Marleen Gorris","not exact match",NA,NA
"Водорезова, Елена Германовна","classification.ores.articletopic/Geography.Regions.Asia.North_Asia|847|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|831|classification.ores.articletopic/Geography.Regions.Europe.Europe*|712|classification.ores.articletopic/Culture.Sports|979|classification.ores.articletopic/Culture.Biography.Women|607|classification.ores.articletopic/Culture.Biography.Biography*|976|classification.ores.articletopic/Geography.Regions.Asia.Asia*|867","Q273999","nm3469807","Aleksandra Ponyatovskaya","not exact match",NA,NA
"Ковбой Мальборо","classification.ores.articletopic/Culture.Biography.Biography*|294|classification.ores.articletopic/Geography.Regions.Americas.North America|541|classification.ores.articletopic/History and Society.Business and economics|780","Q917388","nm0493872","George Lazenby","not exact match",NA,NA
"Шенк, Николас","classification.ores.articletopic/Culture.Biography.Biography*|527|classification.ores.articletopic/Geography.Regions.Americas.North America|859","Q143548","nm1560621","Pansy Schenck","not exact match",NA,NA
"Элизабет Беннет","classification.ores.articletopic/Culture.Literature|954|classification.ores.articletopic/History and Society.History|242|classification.ores.articletopic/Culture.Biography.Women|952|classification.ores.articletopic/Culture.Biography.Biography*|610|classification.ores.articletopic/Culture.Media.Media*|819|classification.ores.articletopic/Culture.Media.Books|809","Q2223341","nm0000383","Jennifer Ehle","not exact match",NA,NA
"Супрун, Ульяна","classification.ores.articletopic/Geography.Regions.Europe.Europe*|880|classification.ores.articletopic/Culture.Biography.Biography*|874|classification.ores.articletopic/Geography.Regions.Europe.Eastern_Europe|983","Q21600039","nm7654254",NA,NA,NA,NA
"Шепард, Мэттью","classification.ores.articletopic/Culture.Biography.Biography*|561|classification.ores.articletopic/Geography.Regions.Americas.North America|775|classification.ores.articletopic/History and Society.Society|786|classification.ores.articletopic/Geography.Regions.Asia.East Asia|750","Q313244","nm0791658","Matthew Shepard","not exact match",NA,NA
"Блобель, Пауль","classification.ores.articletopic/Geography.Regions.Europe.Europe*|953|classification.ores.articletopic/Culture.Biography.Biography*|824|classification.ores.articletopic/History and Society.History|348|classification.ores.articletopic/History and Society.Military and warfare|794|classification.ores.articletopic/Geography.Regions.Europe.Eastern Europe|569|classification.ores.articletopic/Geography.Regions.Europe.Western Europe|918","Q57984","nm0171829","Kenneth Colley","not exact match",NA,NA
"Фильмография Мадонны","classification.ores.articletopic/Culture.Media.Media*|984|classification.ores.articletopic/Culture.Biography.Biography*|798|classification.ores.articletopic/Culture.Biography.Women|569|classification.ores.articletopic/Culture.Media.Films|917|recommendation.image_section/exists|1","Q2622543","nm0000187","Madonna","not exact match",NA,NA
"Список наград и номинаций Тома Хэнкса","classification.ores.articletopic/Culture.Media.Media*|798|classification.ores.articletopic/Culture.Biography.Biography*|436|classification.ores.articletopic/Culture.Media.Films|889|classification.ores.articletopic/History and Society.Society|861","Q6606947","nm0000158","Tom Hanks","not exact match",NA,NA
