"title","weighted_tags","wikibase_item","PersonID","primaryName","status","QID.imdb","imdb.status"
"Halle Berry","classification.ores.articletopic/Geography.Regions.Americas.North_America|737|classification.ores.articletopic/Culture.Media.Media*|870|classification.ores.articletopic/Culture.Media.Films|912|classification.ores.articletopic/Culture.Biography.Biography*|982","Q1033016","nm932",NA,NA,"nm0000932",NA
"Hafþór Júlíus Björnsson","classification.ores.articletopic/Geography.Regions.Europe.Northern_Europe|831|classification.ores.articletopic/Geography.Regions.Europe.Europe*|771|classification.ores.articletopic/Culture.Sports|531|classification.ores.articletopic/Culture.Biography.Biography*|991|recommendation.image_section/exists|1","Q5638484","nm5491087",NA,NA,"nm5485781",NA
"Wayne Rooney","classification.ores.articletopic/Culture.Biography.Biography*|629|classification.ores.articletopic/Culture.Sports|999|classification.ores.articletopic/Geography.Regions.Europe.Europe*|592|recommendation.image_section/exists|1","Q266613","nm1640775","Wayne Rooney","match",NA,NA
"Filmografía de Clint Eastwood","classification.ores.articletopic/Culture.Media.Media*|781|classification.ores.articletopic/Culture.Biography.Biography*|453","Q2543252","nm0000142","Clint Eastwood","not exact match",NA,NA
"Luis Fernando Peña","classification.ores.articletopic/Culture.Media.Media*|812|classification.ores.articletopic/Culture.Biography.Biography*|989|classification.ores.articletopic/Culture.Media.Films|867|classification.oneoff.T301028/mexico","Q5983433","nm0679213",NA,NA,"nm0671526",NA
"Michelle Rodríguez (actriz mexicana)","classification.ores.articletopic/Geography.Regions.Americas.North_America|914|classification.ores.articletopic/Culture.Biography.Biography*|977|classification.ores.articletopic/Culture.Media.Media*|859|classification.oneoff.T301028/mexico","Q100710388","nm5252090","Michelle Rodríguez","not exact match",NA,NA
"Megadeth","classification.ores.articletopic/Culture.Media.Media*|981|classification.ores.articletopic/Culture.Media.Music|975|classification.ores.articletopic/Culture.Biography.Biography*|577|recommendation.image_section/exists|1","Q83431","nm0615962","Dave Mustaine","not exact match","nm1655103",NA
"Steve Martin","classification.ores.articletopic/Culture.Media.Media*|975|classification.ores.articletopic/Geography.Regions.Americas.North_America|724|classification.ores.articletopic/Culture.Media.Films|699|classification.ores.articletopic/Culture.Media.Music|546|classification.ores.articletopic/Culture.Biography.Biography*|863|recommendation.image_section/exists|1","Q16473","nm188",NA,NA,"nm0000188",NA
"María José (cantante)","classification.ores.articletopic/Culture.Media.Music|980|classification.ores.articletopic/Geography.Regions.Americas.North_America|737|classification.ores.articletopic/Culture.Biography.Biography*|999|classification.ores.articletopic/Culture.Biography.Women|644|classification.ores.articletopic/Culture.Media.Media*|968|classification.oneoff.T301028/mexico","Q3296452","nm3132250","María José Loyola","not exact match",NA,NA
"Esperanza Gómez","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Media.Media*|983|classification.ores.articletopic/Culture.Media.Films|973|classification.ores.articletopic/Culture.Biography.Women|912","Q2413897","nm3918941",NA,NA,"nm2275133",NA
"Filmografía de Keanu Reeves","classification.ores.articletopic/Culture.Media.Films|704|classification.ores.articletopic/Culture.Biography.Biography*|569|classification.ores.articletopic/Culture.Media.Media*|939","Q12631003","nm206",NA,NA,NA,NA
"Laura Flores","classification.ores.articletopic/Culture.Biography.Biography*|960|classification.ores.articletopic/Culture.Media.Media*|737|classification.oneoff.T301028/mexico","Q742554","nm0282863",NA,NA,"nm0098168",NA
"Luke Perry","classification.ores.articletopic/Culture.Media.Media*|798|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Culture.Media.Films|835|classification.ores.articletopic/Geography.Regions.Americas.North_America|672|recommendation.image_section/exists|1","Q318165","nm580",NA,NA,"nm0000580",NA
"Laura Escanes","classification.ores.articletopic/Culture.Biography.Women|826|classification.ores.articletopic/Culture.Biography.Biography*|996","Q77296363","nm10403089","Laura Escanes","match",NA,NA
"Amparo Conde","classification.ores.articletopic/Culture.Media.Media*|843|classification.ores.articletopic/Culture.Media.Films|808|classification.ores.articletopic/Geography.Regions.Americas.South_America|995|classification.ores.articletopic/Culture.Biography.Biography*|993","Q102432519","nm3349091","Amparo Conde","match",NA,NA
"Matthew Gray Gubler","classification.ores.articletopic/Culture.Biography.Biography*|997","Q313501","nm1693763",NA,NA,"nm1131557",NA
"Temple Grandin","classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Biography.Women|644|classification.ores.articletopic/STEM.STEM*|665","Q232810","nm1278469","Tom Barret","not exact match","nm0334880",NA
"Florencia Vigna","classification.ores.articletopic/Geography.Regions.Americas.South_America|921|classification.ores.articletopic/Culture.Media.Media*|585|classification.ores.articletopic/Culture.Biography.Biography*|651|classification.oneoff.T301028/argentina","Q85869750","nm7914264","Flor Vigna","not exact match",NA,NA
"Julián Figueroa (cantante)","classification.ores.articletopic/Culture.Media.Music|990|classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Biography.Biography*|998|classification.ores.articletopic/Geography.Regions.Americas.North_America|880","Q117493380","nm7123997",NA,NA,"nm5524962",NA
"Evan Rachel Wood","classification.ores.articletopic/Culture.Biography.Women|672|classification.ores.articletopic/Geography.Regions.Americas.North_America|731|classification.ores.articletopic/Culture.Media.Films|965|classification.ores.articletopic/Culture.Biography.Biography*|962|classification.ores.articletopic/Culture.Media.Media*|979|classification.ores.articletopic/History_and_Society.Society|515|recommendation.image_section/exists|1","Q229230","nm939697",NA,NA,"nm0939697",NA
"Carmen Ordóñez","classification.ores.articletopic/Geography.Regions.Europe.Europe*|679|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|585|classification.ores.articletopic/Culture.Biography.Biography*|996|classification.ores.articletopic/Culture.Biography.Women|569","Q4895658","nm1412726","Carmen Ordóñez","match",NA,NA
"Óscar Arnulfo Romero","classification.ores.articletopic/Culture.Philosophy_and_religion|782|classification.ores.articletopic/Geography.Regions.Americas.Central_America|826|classification.ores.articletopic/Culture.Biography.Biography*|978","Q293455","nm0133996","Carlos Kaniowsky","not exact match",NA,NA
"Caitriona Balfe","classification.ores.articletopic/Geography.Regions.Americas.North_America|507|classification.ores.articletopic/Culture.Media.Media*|712|classification.ores.articletopic/Culture.Media.Films|754|classification.ores.articletopic/Culture.Biography.Biography*|712|recommendation.image_section/exists|1","Q2933352","nm2928020",NA,NA,"nm1495520",NA
"Park Min-young","classification.ores.articletopic/Geography.Regions.Asia.East_Asia|949|classification.ores.articletopic/Geography.Regions.Asia.Asia*|930|classification.ores.articletopic/Culture.Media.Films|658|classification.ores.articletopic/Culture.Media.Media*|926|classification.ores.articletopic/Culture.Biography.Biography*|960|recommendation.image_section/exists|1","Q242673","nm4464149",NA,NA,"nm2241337",NA
"Sara Ramírez","classification.ores.articletopic/Culture.Media.Films|585|classification.ores.articletopic/Geography.Regions.Americas.North_America|705|classification.ores.articletopic/Culture.Media.Media*|998|classification.ores.articletopic/History_and_Society.Society|839|classification.ores.articletopic/Culture.Biography.Biography*|1000|classification.ores.articletopic/Culture.Biography.Women|936|classification.ores.articletopic/Culture.Media.Music|997|recommendation.image_section/exists|1|recommendation.image/exists|1|classification.oneoff.T301028/mexico","Q40069","nm708381",NA,NA,"nm0708381",NA
"Ana Terradillos","classification.ores.articletopic/Culture.Biography.Biography*|996","Q56239061","nm9953505","Ana Terradillos","match",NA,NA
"Jerry Buss","classification.ores.articletopic/Culture.Sports|512|classification.ores.articletopic/Culture.Biography.Biography*|837|classification.ores.articletopic/Geography.Regions.Americas.North America|918","Q1509908","nm1343942",NA,NA,"nm0124406",NA
"Azul Guaita","classification.ores.articletopic/Geography.Regions.Americas.North_America|855|classification.ores.articletopic/Culture.Biography.Biography*|993|classification.oneoff.T301028/mexico","Q106402031","nm10297335","Azul Guaita","match",NA,NA
"Amaia Romero","classification.ores.articletopic/Culture.Media.Media*|989|classification.ores.articletopic/Culture.Biography.Women|538|classification.ores.articletopic/Geography.Regions.Europe.Southern_Europe|946|classification.ores.articletopic/Geography.Regions.Europe.Europe*|817|classification.ores.articletopic/Culture.Media.Music|972|classification.ores.articletopic/Culture.Biography.Biography*|585|recommendation.image_section/exists|1","Q45212227","nm2575180","Sohail Ali Toni","not exact match","nm4977202",NA
