"title","wikibase_item","Distributor"
"Zorro (série télévisée, 1990)","Q780983","distributor = [[Peter Rodgers Organization]]<br />[[Zorro Productions, Inc.]]<ref>{{lien web"
"Mortal Kombat: Legacy","Q950355","distributor = Warner Bros. Digital Distribution "
"Mars Needs Women","Q3849862","distributor = [[American International Television]] "
